水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L)
4.2,8.02,12.99,636.6,5.1,1.5,0.025,0.012,4.67
4.3,7.78,12.19,1160.1,7.6,2.15,0.179,0.042,13.81
6.5,7.69,12.52,893.9,6.1,3.77,0.228,0.071,9.69
10,7.32,9.35,841.4,1.8,4.61,0.039,0.067,11.21
12.6,7.9,8.65,1247.6,3,2.28,0.067,0.074,10.65
4.8,8.46,14.65,1398.8,2.4,4.2,0.025,0.019,0.89
8.7,7.26,9.08,920.3,9.9,2.4,0.065,0.089,8.43
12.1,7.75,12,924.7,6.4,2.34,0.426,0.118,9.79
6.6,7.66,11.82,731.9,2.2,1.07,0.061,0.019,8.14
1,7.73,14.11,1260.4,3.2,2.58,0.097,0.03,8.03
2.5,7.78,17.63,1367.6,5,3.87,0.118,0.05,7.74
1.3,8.4,14.37,1318.5,4,2.96,0.706,0.148,9.8
0.8,8.46,11.72,1295.6,11.3,3.25,0.396,0.098,9.15
2.7,7.87,9.73,396,1,1.73,0.173,0.005,1.03
1.4,8.23,11.99,474.2,2.9,2.13,0.025,0.005,1.85
2.5,8.18,12.02,483.3,1.4,1.88,0.025,0.005,2.21
0.6,7.96,12.44,790.2,3.6,0.72,0.025,0.005,9.22
4.7,7.97,11.52,817.2,4.6,2.13,0.025,0.005,3.82
3.4,7.79,10.05,655.6,2.4,1.13,0.164,0.005,11.02
4.2,8.55,15.54,761.2,5.5,3.19,0.188,0.033,2.21
6.1,8.5,14.28,725.6,3.1,2.76,0.134,0.02,1.52
4.2,8.72,16.22,668.1,4,4.3,0.113,0.055,2.33
6.3,8.22,11.09,1263.6,2,4.19,0.386,0.022,1.67
4.3,8.15,14.09,266.1,0.9,1.1,0.059,0.005,1.14
5.1,8.69,16.28,847.4,3,3.82,0.121,0.037,2.55
2.1,8.57,14.56,1180.6,5.9,4,0.025,0.076,10.51
0.4,8.1,11.98,645.7,3.7,3.46,0.258,0.014,2.55
2.9,8.44,15.82,1005.8,9.4,4.36,0.208,0.056,7.63
2.4,8.93,27.63,1064.1,2.5,3.92,0.025,0.035,9.92
6.4,8.28,15.37,1599.2,4.7,4.92,0.251,0.097,4.2
6.3,8.94,22.84,13206,10.6,10.62,0.256,0.204,2.36
2,8.49,15.48,8119.7,28.7,10.72,0.296,0.129,1.5
4.4,8.39,11.66,1745.9,12.1,6.5,0.542,0.055,3.9
5.9,8.52,12.8,4553.2,8.8,8.17,0.422,0.118,2.92
4.2,8.78,19.62,2098,18.8,6.16,0.395,0.074,8.72
7.7,8.66,12.63,1655,20.6,6.54,0.717,0.098,11.25
3.2,8.15,11.35,609,1.3,2.7,0.333,0.018,2.65
2.8,8.11,15.05,803.5,4.8,0.98,0.025,0.019,12.78
3.9,7.87,13.69,950.7,1.7,1.7,0.077,0.047,14.29
3.8,8.04,13.78,831.8,14.3,1.3,0.025,0.015,12.4
3.7,7.83,16.87,831.3,7.9,1.93,0.032,0.027,2.45
2,8.43,13.17,753.9,9.5,0.87,0.046,0.019,5.85
12.9,8.49,9.73,1442.1,19.5,0.86,0.377,0.044,5.3
5.9,8.51,12.01,1089.7,11.6,0.87,0.682,0.02,9.29
3.2,8.66,12.46,558.6,4,1.39,0.026,0.013,2.37
8.4,7.87,10.48,1577.9,10.3,7.79,1.336,0.172,11.45
1.9,8.12,12.25,627,1.6,2.17,0.025,0.021,5.15
2,8.09,10.58,1607.6,3.9,4.46,0.97,0.144,11.54
3,8.54,19.82,1607.5,1.3,3.76,0.048,0.021,2.71
3.2,8.27,10.91,692,2.2,1.14,0.34,0.038,5.81
0.2,8.17,14.67,45181.1,17.4,16.69,0.536,0.109,4.77
9.1,8.24,13.64,562,0.8,1.08,0.025,0.011,5.06
4.5,8.16,17.76,710.1,1,2.99,0.031,0.005,3.58
5.5,8,17.52,1338.3,3,3.31,0.105,0.019,8.43
0.4,8.25,14.6,45887.8,16.4,5.64,1.021,0.151,2.29
5,6.07,8.05,40739,13.5,5.09,0.2,0.031,1.72
6.4,8.48,10.73,629,7.1,1.56,0.025,0.005,4.15
2.8,8.24,12.84,1194.5,25.9,2.45,0.466,0.063,5.92
0.9,8.51,13.53,1963.2,20.4,3.28,0.788,0.064,8.38
2.8,8.57,12.67,1388.5,23,4.97,0.805,0.128,9.22
5.6,8.13,11.55,872.5,8.6,1.92,0.165,0.076,10.14
2,8.23,13.21,488.3,0.01,1.14,0.025,0.006,3.48
1.8,8.11,14.21,1771.6,6.2,2.43,0.025,0.022,4.68
4.2,8.35,12.36,1759.9,6.1,2.99,0.025,0.058,5.61
3.7,8.5,13.4,634.8,5.6,1.98,0.025,0.01,4.33
2.7,8.57,11.04,594.8,12.7,0.65,0.055,0.02,7.63
1.4,7.47,5.02,1056.9,3.1,2.63,1.719,0.049,15.48
2.2,8.35,10.08,1251.9,8.5,1.64,0.084,0.005,6.43
0.4,8.68,10.59,1533.5,13.4,2.46,0.47,0.099,7.11
2.3,8.02,7.91,889.4,20.6,1.45,0.301,0.093,6.51
1.8,8.27,12.83,752.8,0.7,1.3,0.025,0.01,7.25
1.8,8.33,11.18,542.2,1.2,0.87,0.025,0.005,2.8
2.4,8.29,12.7,1175.7,0.2,0.95,0.025,0.005,2.23
0.1,7.91,10.78,507.5,1.6,1.31,0.025,0.005,4.57
1.1,8.06,11.38,1026.9,8.7,2.69,0.47,0.101,9.64
3.1,8.13,11.12,1000.9,1,1.44,0.025,0.027,11.64
0.5,7.97,11.53,680.3,3.5,2.22,0.025,0.005,8.36
2.8,7.6,8.76,691.1,8.1,1.04,0.091,0.035,10.2
0.6,7.98,12.13,1023.3,2.1,1.01,0.025,0.005,8.79
2.8,7.5,8.99,530.3,0.7,0.71,0.025,0.013,10.18
5.9,8.27,12.13,2451.2,14.3,6.31,0.079,0.074,0.97
2.6,8.25,17.28,1829.3,25.1,5.87,0.039,0.242,2.26
10.6,7.84,7.57,1493.9,12.1,4.71,0.025,0.027,1.38
2.9,8.84,24.73,12382.9,8.2,9.31,0.035,0.089,1.46
20,8.43,7.82,691.9,31.1,5.06,0.035,0.065,4.38
3,7.48,10.41,840,6.3,2.96,0.181,0.028,1.62
2.6,8.33,16.99,1168.7,2.5,3.27,0.035,0.087,10.04
3.2,8.44,17.14,1078.9,3.3,4.28,0.083,0.099,10.3
3.7,8.19,13.44,1075.5,3.4,4.25,0.079,0.033,1.28
4.8,8.17,11.69,955.7,3.2,3.48,0.079,0.032,4.35
3.2,8.63,22.87,1237.8,3.4,5.74,0.048,0.049,9.46
4.2,8.96,16.37,1390.1,16.8,4.05,0.027,0.032,4.67
2.1,8.67,11.85,626.9,7.7,1.75,0.025,0.006,3.01
5.4,8.46,10.67,1079.9,2.1,5.69,0.025,0.016,0.54
3.7,7.88,10.73,1342.9,15.4,3.46,0.814,0.138,7.29
2.1,8.33,10.71,717.5,6.2,1.55,0.025,0.005,2.02
1.7,8.41,12.21,616.5,1.6,1.51,0.025,0.005,1.34
1.6,8.22,8.84,1103.1,7.2,1.72,0.516,0.147,14.66
3.4,8.35,11.65,568.7,4.6,0.92,0.109,0.04,7.2
6.6,8.17,7.95,1429.9,3.3,1.84,0.025,0.058,0.58
1,8.38,10.95,1051.4,5.6,2.23,0.082,0.045,8.97
1.6,8.54,9.67,1111.5,110.2,2.63,0.22,0.069,3.45
0.8,8.07,9.4,2023,4.8,3.4,0.284,0.047,6.75
3,8.26,11.62,610.6,11.5,1.03,0.093,0.026,5.32
2.3,8.07,12.05,815.7,4.2,1.63,0.146,0.021,5.13
4.8,7.63,7.72,828.7,5.4,2.77,0.038,0.027,5.48
6,7.76,8.63,722.3,1.5,2.23,0.125,0.022,1.59
4.5,8.04,10.75,1165.1,5.7,2.39,0.224,0.063,9.91
3.4,8.09,11.75,524.2,2.1,2.5,0.038,0.016,1.26
3.4,7.88,11.24,853.1,9.1,0.53,0.026,0.026,6.24
5.8,8.12,12.62,943.9,7.6,1.21,0.025,0.04,4.98
2.9,8.5,13.91,1171.5,4.5,3.16,0.143,0.062,3.72
0.6,7.56,6.06,885.7,1.6,1.57,0.025,0.023,4.15
2,8,12.08,701.5,4.3,0.52,0.025,0.014,3.77
1,8.18,10.54,2230.7,8.1,3.83,1.053,0.073,13.68
1.1,8.26,12.2,1432.7,152.9,4.5,1.175,0.186,8
1.5,8.48,13.11,1044.1,9.6,3.22,0.074,0.029,5.2
5.6,7.95,11.55,882.2,4.2,0.79,0.025,0.012,5.58
5.4,7.74,11.02,1985,18.9,5.27,0.594,0.153,11.82
1,8.35,10.72,808.6,30.6,1.44,0.743,0.093,6.32
0.6,7.95,9.71,841,89,2.39,0.956,0.144,6.77
7.9,7.96,9.49,506,3.1,1.08,0.025,0.005,3.96
1.1,8.09,8.23,790.9,4.9,1.51,1.223,0.111,5.24
4.1,8.52,11.26,1333.8,47.7,3.41,1.388,0.096,8.48
1.3,8.35,10.83,1166.3,14.8,1.85,0.39,0.034,9.44
0.7,8.22,8.84,649.8,30.4,1.81,0.785,0.121,6.61
0.4,8.01,10.02,695.2,18.6,0.8,0.42,0.005,6.57
0.7,8.38,11.06,1363,7.7,3.13,1.105,0.088,16.94
2.2,8.53,11.3,1303.8,9.5,1.97,0.025,0.005,9.44
0.8,8.02,11.33,1038.2,61,2.43,0.025,0.141,6.82
1.6,8.34,9.22,1175.9,10.6,2.88,0.423,0.212,13.38
1,8.11,12.12,616,3.4,1.34,0.025,0.005,2.84
0.4,7.78,11.65,1175.3,29.6,3.51,0.524,0.098,6.5
2.4,8.35,11.05,1177.6,188,1.44,0.037,0.01,3.4
0.7,8.39,11.34,1146.2,139.1,1.88,0.062,0.01,3.42
2.5,8.16,11.21,1390.8,24.7,2.37,0.118,0.041,4.4
0.6,8.29,13.01,1040.1,93.7,1.69,0.025,0.029,3.19
5.5,6.8,6.93,116.9,6.7,1.48,0.046,0.01,0.17
9,6.25,6.74,117.1,1.9,0.82,0.025,0.007,1.18
4.4,7.14,6.49,232.4,11.1,17.66,0.025,0.064,1.04
3.2,6.54,9.41,95,2.2,3.55,0.051,0.021,0.82
0.8,8.32,12.63,1028.6,63.7,1.75,0.049,0.071,4.03
4,7.75,6.95,865.3,7.4,0.78,0.025,0.007,5.4
9.7,7.08,8.8,993.2,1.8,4.69,0.545,0.09,9.32
6.8,7.47,12.11,891.9,4,2.72,0.511,0.167,7.33
6.6,7.78,12.22,813.4,11.8,2.78,0.025,0.093,7.76
2.8,7.28,11.06,729.1,6.9,2.24,0.631,0.055,7.38
5.1,7.36,11.08,680.4,10.8,2.76,0.694,0.06,7.27
1.7,7.28,10.24,475.6,0.1,1.36,0.048,0.023,3.04
2.6,7.35,12.4,289.2,5.1,0.74,0.025,0.008,4.95
1.6,7.73,11.45,655.7,3.3,2.52,0.903,0.086,9.99
0.5,7.73,12.64,629.1,5.2,3.32,0.082,0.055,10.92
1.6,7.97,12.2,688.2,3.2,2.61,0.391,0.087,11.42
3.3,7.41,11.08,124.9,1.3,1.83,0.025,0.011,2.65
1.4,7.31,13.86,200,6,1.81,0.2,0.157,4.17
0.8,7.48,12.17,748.8,7.1,3.19,0.955,0.121,13.26
1.1,7.72,8.33,712.9,5.2,1.77,0.659,0.061,6.42
2.4,7.9,11.73,349.4,0.1,0.89,0.076,0.011,4.58
2.8,8.2,10.1,809.5,13.3,1.35,0.148,0.048,14.14
1.9,7.82,11.99,389.5,0.4,0.91,0.025,0.011,4.91
3.3,7.5,13.6,228.8,1.4,2.27,0.025,0.029,3.4
1.9,7.69,9.35,584.1,31,1.04,0.097,0.066,8.1
0.4,7.84,14.75,625.7,2,2.01,0.348,0.042,5.99
2.6,7.22,8.29,281.3,1.7,1.29,0.033,0.013,4.28
1.6,7.43,16.31,272.1,1.2,0.51,0.025,0.018,5.21
2.5,7.42,11.2,305.3,2.7,1.22,0.025,0.018,3.65
1.6,7.67,9.32,339.1,1.3,1.37,0.025,0.009,3.62
0.9,7.26,13.1,109.4,1.2,0.25,0.025,0.005,3.65
6.8,7.41,10.76,143.6,1.9,2.47,0.042,0.018,1.86
3.8,7.27,10.61,157,0.6,0.34,0.028,0.013,3.46
