º‡≤‚ ±º‰,ÀÆ÷ ¿‡±,ÀÆŒ¬(°Ê),pH(Œﬁ¡ø∏Ÿ),»‹Ω‚—ı(mg/L),µÁµº¬ (¶ÃS/cm),◊«∂»(NTU),∏ﬂ√ÃÀ·—Œ÷∏ ˝(mg/L),∞±µ™(mg/L),◊‹¡◊(mg/L),◊‹µ™(mg/L)
2024/1/3 16:00,¢Ò,3.9,8.2,13.72,605.4,3.5,1.42,0.025,0.008,1.89
2024/1/3 16:00,¢Ú,4.5,7.89,13.63,1159.3,7.9,1.82,0.183,0.036,14.18
2024/1/3 16:00,¢Û,8,7.48,11.29,921.6,4.5,4.4,0.17,0.085,11.18
2024/1/3 16:00,¢Û,10.4,7.7,12.75,835.2,1.9,4.6,0.144,0.09,11.81
2024/1/3 16:00,¢Ú,13.3,8.41,11.59,1233.3,2.3,2.24,0.041,0.066,11.36
2024/1/3 16:00,¢Û,5.1,8.46,14.5,1395.5,2.5,4.35,0.025,0.018,0.88
2024/1/3 16:00,¢Ú,9.2,7.3,10.51,903.8,3.3,2.32,0.032,0.081,9.2
2024/1/3 16:00,¢Û,12.6,7.71,11.56,920.4,6.3,2.86,0.442,0.121,10.04
2024/1/3 16:00,¢Ò,7.5,7.78,13.13,734.8,2.7,1.12,0.048,0.018,8.27
2024/1/3 16:00,¢Ú,1.6,7.78,14.94,1244.8,3.9,2.67,0.09,0.031,8.75
2024/1/3 16:00,¢Û,3.1,7.92,21.74,1345.1,5,4.6,0.044,0.05,7.61
2024/1/3 16:00,¢Û,1.6,8.32,13.73,1317.1,3.2,2.8,0.76,0.146,9.79
2024/1/3 16:00,¢Ú,1,8.67,16.05,1288.1,8.5,3.3,0.341,0.098,9.09
2024/1/3 16:00,¢Ò,3.7,8.05,11.27,389,0.9,1.7,0.101,0.005,0.94
2024/1/3 16:00,¢Ú,1.6,8.24,12.01,469.1,1.8,2.15,0.025,0.005,1.85
2024/1/3 16:00,¢Ò,1.2,8.04,13.11,784.7,1.6,0.71,0.025,0.005,9.34
2024/1/3 16:00,¢Ú,4.8,7.96,11.24,814.1,4.3,2.13,0.09,0.005,3.71
2024/1/3 16:00,¢Ò,4.7,7.71,10.06,661.6,1,0.94,0.149,0.005,11.12
2024/1/3 16:00,¢Ú,4.4,8.65,16.52,750.6,5.3,3.21,0.187,0.035,2.21
2024/1/3 16:00,¢Ú,6.2,8.55,14.6,736.7,3.2,2.8,0.141,0.019,1.49
2024/1/3 16:00,¢Û,4.4,8.83,17.48,667.3,4.4,4.49,0.102,0.058,2.31
2024/1/3 16:00,¢Û,6.5,8.26,11.83,1261.6,1.5,4.06,0.373,0.021,1.64
2024/1/3 16:00,¢Ò,4.6,8.14,14.08,266,0.8,1.11,0.067,0.005,1.19
2024/1/3 16:00,¢Ú,5.4,8.72,16.9,848.4,2.7,3.85,0.116,0.042,2.55
2024/1/3 16:00,¢Û,2.3,8.68,15.32,1170.7,5.1,4.43,0.025,0.077,10.51
2024/1/3 16:00,¢Ú,0.6,8.08,11.91,648.2,5.6,3.61,0.254,0.018,2.53
2024/1/3 16:00,¢Û,3.2,8.45,15.99,1008.6,11.1,4.38,0.167,0.044,7.79
2024/1/3 16:00,¢Ú,3,8.94,29.3,1046,2.2,3.86,0.025,0.03,9.9
2024/1/3 16:00,¢Û,6.7,8.4,17.13,1588.9,4.7,4.92,0.222,0.085,4.21
2024/1/3 16:00,¢Ù,6.5,8.91,22.43,13077.2,10.9,9.98,0.322,0.19,2.38
2024/1/3 16:00,¢ı,2.6,8.52,15,8536.3,26.4,11.35,0.152,0.138,1.61
2024/1/3 16:00,¢Ù,7.2,8.53,12.51,4220.5,7.8,7.79,0.441,0.08,3.07
2024/1/3 16:00,¢Ù,4,8.76,20.61,2159.5,27.1,6.96,0.355,0.077,9
2024/1/3 16:00,¢Û,8.8,8.36,12.29,1496,22.1,5.64,0.532,0.088,9.64
2024/1/3 16:00,¢Ú,3.7,8.18,11.47,604.9,1.4,2.67,0.32,0.019,2.7
2024/1/3 16:00,¢Ò,2.7,8.16,15.26,817.4,3.8,1.05,0.025,0.016,12.98
2024/1/3 16:00,¢Ú,4.2,7.91,13.27,949.7,3.2,1.97,0.074,0.047,13.46
2024/1/3 16:00,¢Ú,4.2,8.13,14.04,825.3,15.8,2.03,0.025,0.02,11.7
2024/1/3 16:00,¢Ú,3.9,7.87,17.68,836.2,8.4,2.04,0.031,0.029,2.54
2024/1/3 16:00,¢Ò,2.3,8.49,13.42,755,7.6,0.99,0.042,0.017,7.38
2024/1/3 16:00,¢Ú,12.6,8.49,10.19,1459.1,6.7,0.76,0.412,0.041,5.38
2024/1/3 16:00,¢Ú,6.2,8.53,12.04,1076.6,12.3,0.87,0.453,0.017,8.84
2024/1/3 16:00,¢Ò,3.3,8.68,12.91,560.9,3.3,1.31,0.025,0.012,2.37
2024/1/3 16:00,¢Ù,8.7,7.91,11.43,1573.1,11.2,8.26,1.012,0.159,11.61
2024/1/3 16:00,¢Ú,1.8,8.13,12.28,627.7,1.3,2,0.025,0.019,5.12
2024/1/3 16:00,¢Ù,2.1,8.15,11.18,1592.3,5,5.14,1.006,0.157,11.72
2024/1/3 16:00,¢Û,3.3,8.54,20.01,1601.2,1.4,4.16,0.052,0.023,2.77
2024/1/3 16:00,¢Ú,3.4,8.3,11.29,690.6,1.6,1.14,0.335,0.037,5.81
2024/1/3 16:00,¢Ù,1.5,8.15,16.23,15513.6,5.1,8.57,0.175,0.046,7.62
2024/1/3 16:00,¢Ò,7.9,8.43,15.03,561.7,0.9,0.71,0.025,0.015,5.12
2024/1/3 16:00,¢Ú,4.6,8.19,17.96,710.1,1.1,3.22,0.025,0.005,3.53
2024/1/3 16:00,¢Ú,5.3,8.37,18.6,924.6,4,3.41,0.049,0.026,8.41
2024/1/3 16:00,¢Ù,1.7,8.06,14.01,3130.4,35.1,3.65,1.139,0.158,10.64
2024/1/3 16:00,¢Û,8,6.19,8.89,39673.1,12.2,5.36,0.321,0.031,1.85
2024/1/3 16:00,¢Ò,6.8,8.49,10.86,628.8,6,1.65,0.025,0.005,4.18
2024/1/3 16:00,¢Ú,3.1,8.27,13.16,1190.4,40.3,2.6,0.448,0.077,5.43
2024/1/3 16:00,¢Û,2.4,8.68,15.45,1906.2,22.2,3.52,0.698,0.058,7.99
2024/1/3 16:00,¢Û,2.9,8.7,13.88,1349.7,21.6,4.92,0.595,0.12,9.2
2024/1/3 16:00,¢Ú,6.6,8.23,13.47,884.8,6.9,2.2,0.177,0.092,10.3
2024/1/3 16:00,¢Ò,3,8.54,15.21,479.9,0.2,0.55,0.025,0.007,3.45
2024/1/3 16:00,¢Ú,1.8,8.07,13.84,1776.9,6.1,2.4,0.025,0.024,4.91
