º‡≤‚ ±º‰,ÀÆ÷ ¿‡±,ÀÆŒ¬(°Ê),pH(Œﬁ¡ø∏Ÿ),»‹Ω‚—ı(mg/L),µÁµº¬ (¶ÃS/cm),◊«∂»(NTU),∏ﬂ√ÃÀ·—Œ÷∏ ˝(mg/L),∞±µ™(mg/L),◊‹¡◊(mg/L),◊‹µ™(mg/L)
2024/1/1 4:00,¢Ò,4,7.95,12.82,648,3.5,1.21,0.025,0.012,5.23
2024/1/1 4:00,¢Ú,4.4,7.78,12.3,1148.5,7.7,1.95,0.042,0.043,13.9
2024/1/1 4:00,¢Ú,6.8,7.67,12.31,908.6,5.2,3.86,0.13,0.074,10.1
2024/1/1 4:00,¢Û,10.2,7.26,9.16,834.8,2.1,4.68,0.05,0.074,11.82
2024/1/1 4:00,¢Ú,12.7,7.87,8.85,1248.9,2.3,2.22,0.066,0.073,10.16
2024/1/1 4:00,¢Û,4.8,8.47,14.47,1392.7,2.5,4.2,0.025,0.017,0.9
2024/1/1 4:00,¢Ú,8.9,7.19,8.88,935.6,10.8,2.45,0.177,0.083,10.17
2024/1/1 4:00,¢Û,12.6,7.74,12,929.7,3.7,2.03,0.368,0.101,11.11
2024/1/1 4:00,¢Ò,6.5,7.69,11.78,708.7,2.6,1.2,0.058,0.018,7.8
2024/1/1 4:00,¢Ú,0.9,7.77,14.13,1259.3,3.3,2.64,0.129,0.031,8.45
2024/1/1 4:00,¢Ú,2.6,7.77,18.02,1364.2,4.8,3.64,0.12,0.046,7.73
2024/1/1 4:00,¢Û,1.1,8.43,14.54,1334.5,2.7,2.9,0.779,0.144,10.28
2024/1/1 4:00,¢Ú,0.8,8.49,11.56,1317,12.4,3.06,0.271,0.086,9.27
2024/1/1 4:00,¢Ò,2.8,7.86,9.39,392.3,1.5,1.83,0.148,0.005,1.07
2024/1/1 4:00,¢Ú,1.2,8.25,12.37,487.1,1,2.3,0.025,0.005,1.92
2024/1/1 4:00,¢Ò,2.6,8.18,11.99,478.5,2.8,1.72,0.025,0.005,2.18
2024/1/1 4:00,¢Ò,0.6,7.96,12.36,793.1,3.1,0.97,0.025,0.005,9.23
2024/1/1 4:00,¢Ú,4.7,8.09,11.9,807.8,6.9,2.14,0.086,0.005,3.84
2024/1/1 4:00,¢Ò,2.9,7.79,10.04,664.4,3.3,0.88,0.097,0.005,11.11
2024/1/1 4:00,¢Ú,4,8.49,15.14,751,3.1,3.18,0.192,0.035,2.17
2024/1/1 4:00,¢Û,4.6,8.37,15.77,632.4,4,5.11,0.133,0.054,2.35
2024/1/1 4:00,¢Û,5.9,8.15,10.18,1273.9,2.2,4.04,0.448,0.025,1.69
2024/1/1 4:00,¢Ú,4.5,8.16,14.2,263.4,1.2,1.1,0.153,0.005,1.15
2024/1/1 4:00,¢Û,5,8.63,15.48,831.4,2.7,4.01,0.149,0.044,2.5
2024/1/1 4:00,¢Û,2.1,8.61,14.91,1184.8,5.5,4.03,0.025,0.078,10.59
2024/1/1 4:00,¢Ú,0.3,8.09,11.94,646,4.1,3.5,0.269,0.012,2.54
2024/1/1 4:00,¢Û,3.8,8.56,18.18,996.4,11.4,4.77,0.157,0.051,7.48
2024/1/1 4:00,¢Û,6.3,8.13,13.57,1572.4,5.5,4.77,0.343,0.095,4.01
2024/1/1 4:00,¢ı,5.9,8.91,22.84,13309.3,13.3,11.66,0.232,0.219,2.42
2024/1/1 4:00,¢ı,1.8,8.35,12.43,8401.6,31.8,10.08,0.185,0.128,1.55
2024/1/1 4:00,¢ı,5.9,8.72,14.05,5989.5,10.9,10.71,0.599,0.195,3.32
2024/1/1 4:00,¢Ù,4,8.8,18.24,2069.2,22.6,6.21,0.376,0.082,8.69
2024/1/1 4:00,¢ı,7.7,8.51,13.02,2351.9,18.5,10.69,1.631,0.173,12.1
2024/1/1 4:00,¢Ú,3,8.14,11.4,609.3,1.4,2.66,0.339,0.016,2.68
2024/1/1 4:00,¢Ò,2.8,8.12,15.21,825.8,4.7,1.01,0.025,0.019,13.01
2024/1/1 4:00,¢Ú,3.5,7.87,13.23,945.9,1.4,1.45,0.119,0.047,14.29
2024/1/1 4:00,¢Ò,3.8,7.74,13.66,832.1,11.3,1.35,0.025,0.016,12.09
2024/1/1 4:00,¢Ú,3.7,7.86,16.37,808.5,6.7,2.04,0.043,0.025,2.17
2024/1/1 4:00,¢Ú,2,8.46,13.22,761.5,7.8,0.8,0.057,0.029,5.95
2024/1/1 4:00,¢Ú,13.4,8.5,9.84,1422.2,13.6,0.59,0.318,0.039,5.21
2024/1/1 4:00,¢Û,5.9,8.53,12.1,1084.6,10.8,1.11,0.72,0.023,9.14
2024/1/1 4:00,¢Ò,4.1,8.67,11.93,275.1,1.3,1.32,0.025,0.009,1
2024/1/1 4:00,¢ı,8.6,7.82,10.6,1532.7,11.5,7.74,1.564,0.162,12.85
2024/1/1 4:00,¢Ú,1.7,8.14,12.45,629.5,1.5,2.2,0.025,0.021,5.19
2024/1/1 4:00,¢Û,2.3,8.18,11.57,1635.1,4.8,4.74,0.931,0.145,12.73
2024/1/1 4:00,¢Ú,2.3,8.54,19.35,1712.2,2.4,3.93,0.049,0.027,2.58
2024/1/1 4:00,¢Ú,2.9,8.29,10.98,680.8,2.2,1.16,0.266,0.043,5.71
2024/1/1 4:00,¢Ú,22.5,8.62,8.41,0.004,0.2,2,0.03,0.025,3.95
2024/1/1 4:00,¡”¢ı,0.6,8.15,14.95,42891.4,9.8,16.78,0.543,0.168,5.06
2024/1/1 4:00,¢Ò,7.3,8.25,13.65,557.8,0.5,0.86,0.025,0.011,4.96
2024/1/1 4:00,¢Ú,4.1,7.98,17.22,710.9,0.9,3.03,0.033,0.005,3.54
2024/1/1 4:00,¢Ú,3.8,8.09,17.84,1210.1,2.5,1.73,0.34,0.035,7.12
2024/1/1 4:00,¢Ú,5,8.5,18.82,771.8,2.8,3.35,0.038,0.025,7.34
2024/1/1 4:00,¢Û,0.9,8.15,13.86,37426.7,11.7,5.52,0.957,0.118,3.78
2024/1/1 4:00,¢Û,5.6,6.04,7.82,40521.4,12.6,5.31,0.362,0.031,1.99
2024/1/1 4:00,¢Ò,6.8,8.49,10.42,627.9,7.3,1.84,0.025,0.005,4.17
2024/1/1 4:00,¢Ú,2.5,8.28,13.17,1156.4,25,2.48,0.435,0.08,5.82
2024/1/1 4:00,¢Û,0.9,8.53,14.09,1902.9,23.3,3.07,0.766,0.084,8.46
2024/1/1 4:00,¢Û,2.9,8.51,12.06,1422.2,19.6,4.37,0.586,0.127,9.51
2024/1/1 4:00,¢Ú,5.7,8.13,11.45,854,9.4,2.01,0.155,0.087,10.22
2024/1/1 4:00,¢Ò,1.7,8.23,13.4,489.7,0.02,0.35,0.025,0.005,3.48
2024/1/1 4:00,¢Ú,1.9,8.11,14.33,1745.7,6,2.37,0.025,0.019,5.02
2024/1/1 4:00,¢Ú,3.9,8.35,12.38,1855,6.6,3.08,0.025,0.055,5.82
2024/1/1 4:00,¢Ò,3.8,8.53,13.33,619.2,2.8,1.91,0.025,0.009,4.11
2024/1/1 4:00,¢Ú,2.7,8.57,11.04,593.3,11.1,0.54,0.04,0.02,7.52
2024/1/1 4:00,¢Ù,1,7.59,5.09,975.1,5.6,2.36,1.037,0.042,16
2024/1/1 4:00,¢Ò,2.3,8.33,9.99,1224.9,10.2,1.64,0.089,0.005,6.36
2024/1/1 4:00,¢Û,0.4,8.63,10.42,1527,10.2,2.64,0.522,0.091,7.27
2024/1/1 4:00,¢Ú,2.1,8.02,7.89,897.6,28.5,1.45,0.214,0.089,6.65
2024/1/1 4:00,¢Ò,1.8,8.27,12.89,770.6,0.8,1.35,0.025,0.005,7.26
2024/1/1 0:00,¢Ò,1.6,8.4,11.51,540.1,1,0.76,0.025,0.005,2.87
2024/1/1 4:00,¢Ò,2.4,8.28,12.66,1180.3,0.2,0.79,0.025,0.005,2.22
2024/1/1 4:00,¢Ò,0.2,7.9,10.79,506.1,2.5,1.52,0.025,0.013,4.34
2024/1/1 4:00,¢Û,1.4,8.05,11.27,1017.3,6.7,2.28,0.514,0.1,9.78
2024/1/1 4:00,¢Ú,3.1,8.14,11.25,988.3,0.9,1.13,0.025,0.034,11.85
2024/1/1 4:00,¢Ú,0.5,7.99,11.53,674.4,2.9,2.28,0.025,0.005,8.3
2024/1/1 4:00,¢Ú,1.5,7.58,12.01,704.1,5.1,1.31,0.074,0.035,9.45
2024/1/1 4:00,¢Ò,0.6,8,12.1,1050.1,1.6,1.04,0.025,0.005,8.94
2024/1/1 4:00,¢Ò,2.9,7.5,8.93,524.5,0.9,0.36,0.025,0.013,10.07
2024/1/1 4:00,¢Ù,6,8.18,10.26,2376.9,14,6.06,0.158,0.074,1.1
2024/1/1 4:00,¢Ù,2.3,8.14,15.45,1749.2,31.6,5.71,0.105,0.271,2.22
2024/1/1 4:00,¢Û,10.2,7.81,8.58,1487.1,11.6,4.53,0.027,0.028,1.49
2024/1/1 4:00,¢Ù,2.6,8.82,22.86,12289.3,6.5,9.36,0.025,0.084,1.49
2024/5/5 4:00,¢Û,20,8.43,7.82,691.9,31.1,5.06,0.035,0.065,4.38
2024/5/5 12:00,¢Û,16.3,8.71,6.25,654.8,15.5,4.5,0.128,*,*
2024/1/1 4:00,¢Ú,3.5,7.44,10.19,878.5,6.2,2.99,0.193,0.028,1.67
2024/1/1 4:00,¢Ú,2.4,8.23,15.99,1172.5,2.9,3.36,0.07,0.081,10.43
2024/1/1 4:00,¢Ú,2.4,8.38,17.19,1117.2,3.6,3.83,0.072,0.077,10.25
2024/1/1 4:00,¢Û,3,8.09,12.29,1112.7,3.5,4.01,0.13,0.03,1.35
2024/1/1 4:00,¢Ú,4.8,8.06,10.1,951.6,2.7,3.41,0.099,0.032,4.28
2024/1/1 4:00,¢Û,3.6,8.54,21.58,1251.9,2.5,5.64,0.055,0.045,11.61
2024/1/1 4:00,¢Û,4.1,8.99,16.24,1414.1,17.4,4.3,0.025,0.036,4.92
2024/1/1 4:00,¢Ò,2.1,8.52,11.97,313.7,1.7,0.54,0.025,0.005,1.37
2024/1/1 4:00,¢Û,5.3,8.5,11.41,1010.3,2.5,5.89,0.025,0.016,0.53
2024/1/1 4:00,¢Û,2.7,7.9,11.07,1372.8,31.4,3.2,0.603,0.117,6.99
2024/1/1 4:00,¢Ò,2.1,8.38,10.74,718.9,6.4,1.55,0.025,0.005,2.03
2024/1/1 4:00,¢Ò,1.6,8.38,11.96,615.6,1.8,1.65,0.025,0.005,1.32
2024/1/1 4:00,¢Û,1.6,8.18,8.79,1105.2,6.5,1.71,0.463,0.141,14.92
2024/1/1 4:00,¢Ú,3.3,8.33,11.61,567,6.8,1.1,0.097,0.038,7.05
2024/1/1 4:00,¢Ú,6.6,8.16,7.9,1432,3.2,1.69,0.025,0.058,0.63
2024/1/1 4:00,¢Ú,1.1,8.32,10.59,1010.9,3.7,1.56,0.025,0.043,8.23
2024/1/1 4:00,¢Ú,1.6,8.53,9.76,1081.8,93.8,2.46,0.225,0.061,3.43
2024/1/1 4:00,¢Ú,0.8,8.06,9.29,1783.4,3.5,3.28,0.283,0.047,6.15
2024/1/1 4:00,¢Ú,2.8,8.32,11.66,580.9,8.6,0.89,0.029,0.023,5.8
2024/1/1 4:00,¢Ú,2.3,8.09,12.12,826.8,4.8,1.82,0.116,0.021,5.04
2024/1/1 4:00,¢Ú,4.6,7.65,7.55,823.1,5.2,2.5,0.033,0.027,5.33
2024/1/1 4:00,¢Ú,5.8,7.77,8.73,708.7,2.1,2.24,0.127,0.02,1.38
2024/1/1 4:00,¢Ú,4.4,8.02,10.71,1174.5,6.2,1.94,0.26,0.068,10.34
2024/1/1 4:00,¢Ú,3.2,8.08,11.73,524.1,3.3,2.46,0.043,0.014,1.28
2024/1/1 4:00,¢Ú,3.1,7.88,11.33,837.1,9.7,0.61,0.028,0.028,5.69
2024/1/1 4:00,¢Ú,5.7,8.13,12.45,934.1,7.7,1.19,0.036,0.04,5.05
2024/1/1 4:00,¢Ú,2.6,8.43,12.91,1192.5,6.2,2.82,0.256,0.057,3.86
2024/1/1 4:00,¢Ú,0.6,7.63,6.72,979.3,2,2.21,0.109,0.03,4.22
2024/1/1 4:00,¢Ò,2,8.02,12.15,706.8,2.8,0.57,0.025,0.014,4.05
2024/1/1 4:00,¢Û,0.8,8.29,11.16,1172.4,15.3,2.86,0.63,0.051,6.08
2024/1/1 4:00,¢ı,1.4,8.23,12.44,1497.8,96.7,4.8,1.918,0.156,9.68
2024/1/1 4:00,¢Ú,1.5,8.46,13.2,1072.5,8.3,3.38,0.217,0.033,5.37
2024/1/1 4:00,¢Ò,5.6,8.02,10.89,891.9,4.7,0.8,0.025,0.012,5.8
2024/1/1 4:00,¢Û,4.9,7.69,10.41,1957.9,19.3,5.06,0.528,0.143,12.64
2024/1/1 4:00,¢Û,0.9,8.37,10.61,798.2,19.8,1.26,0.655,0.088,6.28
2024/1/1 4:00,¢Û,3.6,7.93,9.95,836.8,99.3,1.05,0.947,0.142,6.66
2024/1/1 4:00,¢Ò,7.8,7.96,9.45,506.2,3.5,0.99,0.025,0.005,3.94
2024/1/1 4:00,¢Ù,1.2,8.09,8.28,804.6,4.9,1.49,1.335,0.114,5.47
2024/1/1 4:00,¢Ù,3.8,8.52,11.19,1319.6,46.7,3.43,1.183,0.094,8.38
2024/1/1 4:00,¢Û,1.5,8.3,10.68,1248.5,16.1,1.51,0.599,0.036,12.03
2024/1/1 4:00,¢Û,0.4,8.22,9.07,663.3,24.4,1.5,0.673,0.11,6.85
2024/1/1 4:00,¢Ú,0.8,8.02,9.9,715.6,20.6,1.01,0.375,0.005,6.92
2024/1/1 4:00,¢Û,0.7,8.36,11.07,1338.5,5.7,3.05,0.834,0.088,17.01
2024/1/1 4:00,¢Ú,2.1,8.52,11.33,1328.3,9.3,2.94,0.025,0.005,9.28
2024/1/1 4:00,¢Û,3.7,8.09,11.47,1011.3,57.5,0.9,0.025,0.1,6.17
2024/1/1 4:00,¡”¢ı,1.6,8.36,8.82,1235.4,6.4,5.08,3.15,0.176,16.13
2024/1/1 4:00,¢Ò,0.9,8.26,12.25,606.3,3.3,1.72,0.025,0.005,2.68
2024/1/1 4:00,¢Û,0.4,7.87,11.54,1386.2,43.1,4.04,0.593,0.126,7.68
