监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L)
2024/1/17 20:00,Ⅰ,4,7.9,11.98,630.7,2.8,1.46,0.025,0.009,4.91
2024/1/17 20:00,Ⅱ,4.2,7.93,13.82,1070.3,4.3,2.36,0.025,0.024,14.11
2024/1/17 20:00,Ⅳ,6.9,7.45,12.03,916.8,6.6,6.36,0.156,0.107,8.33
2024/1/17 20:00,Ⅳ,9,7.76,11.5,856.2,1.9,6.54,0.036,0.056,14.33
2024/1/17 20:00,Ⅱ,13.1,8,9.83,1214.6,4.3,3.32,0.061,0.055,9.92
2024/1/17 20:00,Ⅲ,5.1,8.42,13.65,1407.5,2.1,4.42,0.03,0.017,0.81
2024/1/17 20:00,Ⅲ,8.8,7.63,11.57,920.4,5.9,2.29,0.084,0.108,7.2
2024/1/17 20:00,Ⅱ,13.1,7.76,11.64,957.7,3,2.7,0.025,0.058,9.49
2024/1/17 20:00,Ⅰ,6.9,7.85,13.05,686.7,3.2,1.46,0.053,0.017,7.44
2024/1/17 20:00,Ⅱ,1.2,7.77,14.6,1192.5,2.7,2.67,0.124,0.033,7.24
2024/1/17 20:00,Ⅱ,2.3,7.82,14.77,1394.5,4.9,3.23,0.207,0.037,7.78
2024/1/17 20:00,Ⅲ,2,8.31,13.53,1348.5,3,3.45,0.979,0.162,9.33
2024/1/17 20:00,Ⅲ,1.6,8.45,13.96,1327.9,6.9,3.7,0.606,0.15,9.22
2024/1/17 20:00,Ⅰ,4.2,8.3,13.12,416,1.3,1.7,0.025,0.005,1.16
2024/1/17 20:00,Ⅱ,0.8,8.3,12.52,480.7,1.4,2.35,0.025,0.005,1.89
2024/1/17 20:00,Ⅰ,1.6,8.14,12.77,504.6,1.3,0.77,0.025,0.005,3.13
2024/1/17 20:00,Ⅰ,0.7,8.38,12.69,768.8,1.3,1.05,0.025,0.005,9.07
2024/1/17 20:00,Ⅰ,4.7,7.89,12.15,787.3,3,1.88,0.025,0.005,4.14
2024/1/17 20:00,Ⅱ,3.6,7.95,9.61,665.8,2.2,1.01,0.31,0.005,11.27
2024/1/17 20:00,Ⅱ,4.8,8.4,13.26,892.1,3.2,3.22,0.222,0.036,2.05
2024/1/17 20:00,Ⅱ,6.8,8.45,14.67,808.5,4.1,3.11,0.153,0.02,1.44
2024/1/17 20:00,Ⅲ,4.4,8.58,16.71,776.7,3.1,4.14,0.08,0.094,2.02
2024/1/17 20:00,Ⅲ,6.8,8.5,16.59,1173.3,3.3,4.3,0.188,0.026,1.53
2024/1/17 20:00,Ⅰ,5.5,8.18,13.74,259.9,1.4,1.24,0.041,0.005,1.26
2024/1/17 20:00,Ⅱ,5.3,8.41,12.78,910.7,4.7,3.69,0.14,0.044,2.57
2024/1/17 20:00,Ⅲ,2.5,8.61,14.25,1182.7,5.4,4.26,0.092,0.073,9.31
2024/1/17 20:00,Ⅲ,1.4,8.14,11.84,653.7,6.3,4.09,0.19,0.02,2.49
2024/1/17 20:00,Ⅱ,2.8,8.32,14.37,1045.6,4.4,3.8,0.192,0.045,9.3
2024/1/17 20:00,Ⅱ,2.4,8.83,29.97,1052.8,4.1,3.91,0.093,0.059,9.89
2024/1/17 20:00,Ⅲ,6.2,8.06,13.39,1701.8,4.5,4.5,0.216,0.074,5.18
2024/1/17 20:00,Ⅳ,6.2,8.77,15.99,13334.3,14,8.85,0.454,0.125,2.45
2024/1/17 20:00,Ⅴ,1.8,8.11,11.65,11311.7,28.1,10.1,0.712,0.152,2.13
2024/1/17 20:00,Ⅳ,3.8,8.48,11.89,1508.2,12.2,6.47,0.394,0.063,3.86
2024/1/17 20:00,劣Ⅴ,7.6,9.05,18.7,5731,17,10.48,0.175,0.134,3.01
2024/1/17 20:00,Ⅲ,4.6,8.84,16.68,1950.1,12.1,5.42,0.162,0.054,6.92
2024/1/17 20:00,劣Ⅴ,8.2,9.05,14.77,1830.4,16,7.78,0.276,0.081,6.98
2024/1/17 20:00,Ⅱ,4.5,8.24,11.28,599.9,1.8,2.61,0.267,0.013,2.49
2024/1/17 20:00,Ⅱ,3.2,8.04,13.46,736.9,4.6,0.98,0.027,0.021,12.17
2024/1/17 20:00,Ⅱ,4.2,7.62,12.44,974.8,1.1,2.59,0.184,0.058,12.08
2024/1/17 20:00,Ⅰ,4.1,8.02,13.26,757.4,14,0.97,0.025,0.015,12.07
2024/1/17 20:00,Ⅱ,2.8,7.92,18.83,846.6,7.8,1.99,0.051,0.026,3.34
2024/1/17 20:00,Ⅱ,2.3,8.55,13.15,722.3,14.6,0.85,0.203,0.026,4.68
2024/1/17 20:00,Ⅱ,12.7,8.26,10.05,1430.9,8.5,0.71,0.417,0.043,5.32
2024/1/17 20:00,Ⅱ,6,8.57,11.42,1103.3,16,1.01,0.141,0.021,8.39
2024/1/17 20:00,Ⅰ,4.1,8.68,11.54,624,2.1,1.53,0.03,0.013,2.76
2024/1/17 20:00,Ⅳ,8,7.91,10.34,1643.6,13.3,5.96,1.037,0.181,10.46
2024/1/17 20:00,Ⅱ,2.3,8.16,12.75,636.1,3.5,2.15,0.037,0.012,5.12
2024/1/17 20:00,Ⅲ,3.2,8.34,15.91,1579.2,5.7,4.93,0.868,0.157,11.51
2024/1/17 20:00,Ⅲ,2.1,8.43,18.86,1542,3.3,4.25,0.059,0.025,4.37
2024/1/17 20:00,Ⅱ,3.3,8.29,10.6,749.3,2,1.59,0.361,0.041,5.71
