ÀÆ÷ ¿‡±,ÀÆŒ¬(°Ê),pH(Œﬁ¡ø∏Ÿ),»‹Ω‚—ı(mg/L),µÁµº¬ (¶ÃS/cm),◊«∂»(NTU),∏ﬂ√ÃÀ·—Œ÷∏ ˝(mg/L),∞±µ™(mg/L),◊‹¡◊(mg/L),◊‹µ™(mg/L)
¢Ò,3.7,8.08,13.42,643.8,4.5,1.64,0.025,0.012,4.59
¢Ú,4.5,7.75,12.03,1149.2,7.4,2.07,0.047,0.047,13.8
¢Ú,6,7.72,12.63,888.4,5,3.5,0.171,0.075,9.77
¢Û,9.7,7.36,9.45,843.4,1.5,4.43,0.048,0.069,11.74
¢Ú,12.6,7.9,8.57,1248,3,2.12,0.06,0.074,10.19
¢Û,4.8,8.47,14.42,1389.9,2.5,4.26,0.025,0.018,0.88
¢Ú,9,7.25,8.98,930.6,13.7,2.54,0.151,0.088,8.61
¢Û,12.5,7.76,12.28,923.2,4.6,2.23,0.438,0.108,10.81
¢Ò,6.9,7.67,11.64,715.1,5.7,1.17,0.062,0.019,8.01
¢Ú,1.2,7.73,14.11,1240.9,3.8,2.4,0.113,0.029,8.46
¢Ú,2.5,7.77,17.7,1361.8,4.5,3.84,0.158,0.049,8.01
¢Û,1.2,8.42,14.36,1323.5,2.7,2.83,0.778,0.146,10.12
¢Ú,0.8,8.46,11.96,1305,12.3,3.15,0.33,0.091,9.21
¢Ò,2.4,7.89,9.78,395.5,1,1.83,0.133,0.005,1.04
¢Ú,1.4,8.24,12.27,481.4,2.5,2.13,0.025,0.005,1.88
¢Ò,2.4,8.18,12.06,482.8,1.6,1.8,0.025,0.005,2.19
¢Ò,0.6,7.96,12.39,790.1,5.8,0.7,0.025,0.005,9.27
¢Ú,4.8,8.06,11.69,806.7,5.4,2.14,0.086,0.005,3.76
¢Ò,3.8,7.7,9.5,663.9,0.9,0.75,0.104,0.005,10.88
¢Ú,4,8.54,15.28,752.6,3.3,3.23,0.194,0.036,2.21
¢Ú,6,8.46,14.21,695.3,2.9,2.65,0.138,0.019,1.39
¢Û,4,8.67,16.05,666.1,3.8,4.11,0.126,0.056,2.34
¢Û,6.1,8.22,11.03,1268.7,2.4,4.12,0.388,0.022,1.66
¢Ò,4.5,8.13,13.98,264.6,2.6,1.11,0.072,0.005,1.16
¢Ú,5.3,8.65,15.95,839,3.2,3.75,0.134,0.044,2.55
¢Ú,2.2,8.56,14.68,1177.3,6.3,3.96,0.025,0.074,10.59
¢Ú,0.3,8.1,11.94,645.5,4.8,3.58,0.263,0.013,2.53
¢Û,3.1,8.45,15.9,994.3,10.4,4.35,0.217,0.049,7.43
¢Û,2.4,8.93,27.04,1056.6,3,4.04,0.025,0.052,9.85
¢Û,6.4,8.21,14.91,1572.9,5,4.74,0.293,0.092,4.12
¢ı,6.3,8.98,23.9,13116.8,10.1,11.34,0.248,0.216,2.46
¢ı,2.1,8.4,13.51,8302.1,25.8,10.64,0.195,0.132,1.51
¢Ù,3.8,8.37,11.64,1731.6,12.2,6.61,0.562,0.049,3.89
¢Ù,5.8,8.55,12.15,5432,8.3,8.16,0.56,0.113,2.96
¢Û,3.7,8.76,18.43,2101,15.7,5.92,0.428,0.078,8.81
¢Ù,7.9,8.66,14.21,2311.6,21.1,8.2,0.972,0.104,9.87
¢Ú,3.2,8.13,11.34,609,1.4,2.66,0.33,0.016,2.65
¢Ò,2.8,8.12,15.38,818.7,4.7,1.05,0.025,0.019,12.67
¢Ú,4,7.87,12.66,946.6,1.4,1.58,0.086,0.047,14.04
¢Ò,3.8,7.76,13.65,826.6,11.6,1.55,0.025,0.018,12.19
¢Ú,3.6,7.85,16.57,823,7.5,1.97,0.039,0.025,2.17
¢Ú,1.9,8.43,13.23,764.5,16.1,1.02,0.029,0.023,5.82
¢Ú,13.1,8.49,9.84,1439,21.7,0.79,0.313,0.046,4.95
¢Û,6,8.52,11.94,1131.2,10.5,1.41,0.923,0.024,9.6
