监测时间,水温,pH,溶解氧,高锰酸钾,氨氮,总磷,总氮,电导率,浊度
2022/1/1 0:00,15.6,7.152,8.155,0.78,0.025,0.0071,0.7881,118.556,2.299
2022/1/1 0:00,9.59,8.18,9.83,3.62,0.29,0.18,3.61,463.68,271.82
2022/1/1 0:00,15.56,7.766,8.892,1.64,0.025,0.0134,0.1958,135.617,4.483
2022/1/1 0:00,11.83,8.14,9.662,1.68,0.025,0.0453,1.866,290.9,7.4
2022/1/1 0:00,8.82,7.5,11.111,2.042,0.087,0.057,1.565,373.9,34.4
2022/1/1 0:00,9.97,7.76,12.135,1.8,0.0503,0.0388,2.432,330.1,7.6
2022/1/1 0:00,14.83,7.05,7.99,1.181,0.025,0.012,1.221,159.29,11.93
2022/1/1 0:00,12.46,7.58,9.663,1.02,0.1,0.0689,2.299,314.3,12.2
2022/1/1 0:00,10.9,7.388,9.621,3.39,0.1374,0.0732,2.5586,353.247,46.147
2022/1/1 4:00,15.58,7.17,8.262,0.66,0.025,0.0085,0.7946,118.526,2.237
2022/1/1 4:00,9.39,8.15,9.68,3.37,0.29,0.17,3.5,466.31,239.7
2022/1/1 4:00,15.54,7.745,8.776,1.67,0.025,0.0137,0.3091,135.856,4.536
2022/1/1 4:00,11.62,7.88,9.019,1.672,0.025,0.0352,1.73,286.9,6.8
2022/1/1 4:00,8.71,7.47,10.918,2.572,0.0984,0.0536,1.492,374.4,32.6
2022/1/1 4:00,9.36,7.76,12.24,2.1,0.053,0.038,2.403,366.4,8.6
2022/1/1 4:00,14.89,7.06,8.01,1.506,0.025,0.012,1.263,158.6,11.79
2022/1/1 4:00,12.08,7.55,9.851,1.459,0.1,0.046,2.261,323.8,11.5
2022/1/1 4:00,10.59,7.458,9.779,3.44,0.1265,0.0721,2.6039,322.427,52.202
2022/1/1 8:00,15.6,7.166,8.261,0.76,0.025,0.0078,0.9238,118.513,2.232
2022/1/1 8:00,9.53,8.16,9.81,3.36,0.29,0.16,2.26,470.7,233.02
2022/1/1 8:00,15.54,7.754,8.812,1.96,0.025,0.0189,0.3886,135.998,4.518
2022/1/1 8:00,11.63,7.82,9.239,1.649,0.025,0.0502,1.769,290.4,8.5
2022/1/1 8:00,8.71,7.46,10.837,2.537,0.101,0.0537,2.036,375,30.3
2022/1/1 8:00,9.74,7.6,12.13,1.4,0.059,0.0348,2.636,308.7,6.6
2022/1/1 8:00,14.88,7.03,7.9,1.402,0.025,0.012,1.11,158.21,11.61
2022/1/1 8:00,12.33,7.56,9.675,1.042,0.11,0.034,2.169,313,11.1
2022/1/1 8:00,10.56,7.453,10.211,3.24,0.1004,0.0779,2.557,310.787,88.888
2022/1/1 12:00,15.78,7.176,8.355,0.77,0.025,0.0056,0.8592,118.507,2.178
2022/1/1 12:00,9.76,8.16,9.83,2.47,0.31,0.14,3.48,470.45,270.35
2022/1/1 12:00,16.09,8.465,9.037,0.5065,0.025,0.005,0.05,115.472,2.729
2022/1/1 12:00,15.71,7.771,8.851,1.7,0.025,0.0131,0.4376,135.807,2.239
2022/1/1 12:00,10.81,7.82,11.672,1.62,0.1276,0.0682,1.099,242.8,24
2022/1/1 12:00,11.53,7.82,10.454,1.61,0.025,0.0377,1.863,291.2,16.1
2022/1/1 12:00,8.71,7.46,10.773,2.772,0.1093,0.0572,1.897,376.2,26.4
2022/1/1 12:00,13.95,8.45,12.75,1,0.025,0.01,1.05,131.99,4.58
2022/1/1 12:00,9.78,7.77,12.187,1.7,0.0631,0.0376,2.423,321.1,7.2
2022/1/1 12:00,15.13,7.08,8.07,1.309,0.025,0.012,1.082,158.07,11.91
2022/1/1 12:00,12.4,7.56,9.672,0.876,0.1,0.034,2.159,310.5,10.8
2022/1/1 12:00,10.62,7.459,9.708,3.36,0.1351,0.0777,2.5493,316.747,66.76
2022/1/1 16:00,9.74,8.19,9.92,3.34,0.24,0.17,1.51,465.98,243.45
2022/1/1 16:00,16.01,8.464,8.81,0.5494,0.025,0.005,1.6597,115.33,2.878
2022/1/1 16:00,15.66,7.766,8.796,2.79,0.025,0.0164,0.3733,135.996,2.234
2022/1/1 16:00,11.08,7.61,11.92,1.73,0.1057,0.0684,0.992,241.9,20.1
2022/1/1 16:00,12.2,7.89,9.498,1.688,0.025,0.0403,1.94,287.7,7.4
2022/1/1 16:00,8.92,7.44,10.726,2.485,0.1455,0.0555,1.561,376.8,23.5
2022/1/1 16:00,13.93,8.51,12.98,1.02,0.025,0.01,0.97,132.39,4.92
2022/1/1 16:00,10.78,7.61,11.755,1.8,0.0619,0.0376,2.455,333.2,7.9
2022/1/1 16:00,15.2,7.09,8.05,1.251,0.025,0.012,1.179,158.65,11.88
2022/1/1 16:00,11.83,7.67,9.888,1.22,0.11,0.0466,2.497,334.5,11.8
2022/1/1 16:00,10.52,7.521,10.759,3.49,0.1132,0.072,2.5086,285.361,63.102
2022/1/1 20:00,15.54,7.167,8.248,1.05,0.025,0.0078,0.8269,118.487,2.273
2022/1/1 20:00,9.68,8.21,9.99,3.51,0.28,0.17,2.97,461.55,313.67
2022/1/1 20:00,15.88,8.441,8.708,0.4451,0.025,0.005,0.765,115.389,2.745
2022/1/1 20:00,9.61,8.14,9.381,3.059,0.24,0.0764,1.986,375.1,14.1
2022/1/1 20:00,15.51,7.738,8.738,3.17,0.025,0.0164,0.2509,136.209,2.275
2022/1/1 20:00,11.34,7.99,11.826,2.1,0.0372,0.0526,1.445,294,30.3
2022/1/1 20:00,12.03,7.98,9.518,1.874,0.025,0.0476,1.871,291.7,15
2022/1/1 20:00,8.81,7.45,10.663,2.624,0.1396,0.0542,1.559,376.7,29.4
2022/1/1 20:00,13.8,8.47,12.55,1.13,0.025,0.01,1.07,132.93,5.16
2022/1/1 20:00,10.61,7.55,11.851,1.5,0.0701,0.0381,2.344,303,7.9
2022/1/1 20:00,14.89,7.05,7.84,1.239,0.025,0.016,1.228,160.28,11.87
2022/1/1 20:00,12.19,7.64,9.686,1.47,0.11,0.045,2.231,320.4,11.3
2022/1/1 20:00,10.42,7.513,10.697,3.34,0.1204,0.0757,2.3427,293.174,96.088
2022/1/2 0:00,15.48,7.141,8.186,0.8,0.025,0.0063,0.7623,118.102,2.234
2022/1/2 0:00,9.47,8.19,9.9,3.34,0.34,0.17,3.4,456.81,272.68
2022/1/2 0:00,15.79,8.434,8.695,0.5093,0.025,0.005,0.7973,115.231,2.695
2022/1/2 0:00,9.48,8.15,9.426,2.944,0.28,0.0689,1.94,371.2,14.8
2022/1/2 0:00,15.43,7.773,8.806,3.32,0.025,0.0191,0.3978,135.845,2.284
2022/1/2 0:00,10.83,7.78,11.898,2.029,0.0786,0.0581,1.322,268,19.2
2022/1/2 0:00,12.03,7.81,9.222,1.68,0.0283,0.0433,1.883,286.7,9.5
2022/1/2 0:00,8.6,7.43,10.469,2.511,0.1356,0.0547,1.488,377.5,27.5
2022/1/2 0:00,13.85,8.42,12.5,0.94,0.025,0.01,1.03,128.56,5.15
2022/1/2 0:00,9.86,7.58,12.068,1.6,0.0615,0.039,2.432,299.7,6.5
2022/1/2 0:00,14.76,7.07,7.88,1.158,0.025,0.012,1.137,158.79,11.71
2022/1/2 0:00,12.03,7.61,9.855,1.064,0.1,0.0373,2.15,323.2,12.3
2022/1/2 0:00,10.33,7.505,9.869,3.14,0.1503,0.0854,2.2939,298.856,100.935
2022/1/2 4:00,15.43,7.153,8.216,0.71,0.025,0.0089,0.7623,118.352,2.249
2022/1/2 4:00,9.09,8.18,9.85,3.06,0.32,0.17,3.57,459.86,220.05
2022/1/2 4:00,15.76,8.418,8.663,0.5161,0.025,0.005,0.7813,115.234,2.723
2022/1/2 4:00,9.24,8.15,9.31,2.797,0.28,0.0598,1.908,368.3,10.7
2022/1/2 4:00,15.33,7.751,8.887,3.92,0.025,0.0189,0.3213,136.082,2.355
2022/1/2 4:00,10.42,8.06,12.104,1.784,0.0823,0.0657,1.078,256,15.5
2022/1/2 4:00,11.73,7.76,8.799,1.688,0.025,0.0399,1.925,283.8,7.3
2022/1/2 4:00,8.39,7.42,10.356,2.233,0.1427,0.0576,1.632,378.8,25.7
2022/1/2 4:00,13.81,8.43,12.5,1.01,0.025,0.01,1.03,127.62,4.81
2022/1/2 4:00,9.49,7.59,12.168,1.7,0.0524,0.0405,2.29,302.3,7.6
2022/1/2 4:00,14.68,7.05,7.94,1.181,0.025,0.014,1.11,157.51,12.17
2022/1/2 4:00,11.43,7.72,10.183,1.298,0.1,0.038,2.38,346.7,13.8
2022/1/2 4:00,10.12,7.504,10.404,2.82,0.1551,0.0917,2.3012,302.931,118.395
2022/1/2 8:00,15.47,7.16,8.302,0.76,0.025,0.01,0.7752,118.416,2.21
2022/1/2 8:00,9.04,8.15,9.82,3.09,0.27,0.16,2.29,459.51,208.66
2022/1/2 8:00,15.75,8.415,8.693,0.5606,0.025,0.005,0.7954,115.289,2.726
2022/1/2 8:00,9,8.16,9.359,2.752,0.21,0.0636,1.802,366.6,12
2022/1/2 8:00,15.29,7.756,8.834,2.19,0.025,0.0159,0.4621,135.578,2.281
2022/1/2 8:00,10.41,7.84,12.104,1.891,0.0717,0.063,1.795,269.2,19
2022/1/2 8:00,11.63,7.73,8.928,1.587,0.0349,0.0406,2.016,287.4,8.4
2022/1/2 8:00,8.18,7.4,10.221,1.79,0.1444,0.0545,2.065,379.4,21.8
2022/1/2 8:00,13.75,8.42,12.61,1.04,0.025,0.01,1.09,127.6,4.85
2022/1/2 8:00,8.52,7.6,12.446,2.1,0.0596,0.0377,2.421,285.1,8.5
2022/1/2 8:00,14.57,7.06,7.94,1.32,0.025,0.012,1.075,158.5,12.06
2022/1/2 8:00,12.16,7.57,9.752,0.992,0.11,0.0476,1.986,312.5,13.2
2022/1/2 8:00,10.06,7.498,9.677,2.83,0.0927,0.0916,2.3225,305.482,117.607
2022/1/2 12:00,16.04,7.193,8.403,0.76,0.025,0.0056,0.9755,118.532,2.068
2022/1/2 12:00,10.1,8.15,9.56,3.49,0.25,0.17,2.51,459.65,252.43
2022/1/2 12:00,16.02,8.438,8.74,0.5553,0.025,0.005,0.7992,115.316,2.702
2022/1/2 12:00,10.01,8.25,10.089,2.868,0.19,0.0713,1.778,364,15.5
2022/1/2 12:00,15.79,7.777,8.879,1.79,0.025,0.0159,0.2234,136.148,2.139
