水温,pH,溶解氧,高锰酸钾,氨氮,总磷,总氮,电导率,浊度
8.4,8.08,10.91,1.82,0.102,0.051,1.87,415.8,20.7
9.5,7.49,9.38,2.2,0.168,0.025,1.24,197,25.7
8,8.04,10.73,1.74,0.109,0.05,1.69,418.2,18.2
9.1,7.52,10.37,2.45,0.173,0.027,1.24,198.9,30.8
7.8,8.02,10.59,1.65,0.119,0.048,2.4,418.6,15.9
9.4,7.53,9.53,2.38,0.133,0.027,1.28,181.8,25.4
8.3,8.05,10.9,1.74,0.117,0.044,2.1,418.8,13.9
9.9,7.59,9.8,1.85,0.097,0.026,1.17,182.7,29.3
8.9,8.07,11,1.59,0.121,0.046,2.05,418.8,13.2
9.7,7.64,9.78,1.79,0.076,0.026,1.19,183.2,23.8
8.4,8.06,10.83,1.78,0.136,0.049,2,419.8,13.7
9.7,7.65,9.64,1.79,0.098,0.033,1.15,185.5,56.6
8.1,8.03,10.68,1.72,0.141,0.048,1.8,421.3,13.4
9.7,7.68,10.28,1.88,0.14,0.033,1.16,194.1,66
7.8,7.99,10.42,1.7,0.144,0.048,1.9,423.8,13.4
9.4,7.65,9.39,1.87,0.192,0.038,1.24,210.3,75.4
7.5,7.93,10.18,1.56,0.151,0.049,2.21,429.2,12.4
9.1,7.6,9.6,1.87,0.23,0.038,1.29,212.8,48.2
8.1,7.86,10.23,2.04,0.207,0.051,2.23,439,12.2
9.6,7.65,9.37,1.86,0.207,0.038,1.28,212.1,52.4
8.6,7.81,10.21,2.12,0.278,0.056,2.17,450.4,11.7
9.7,7.65,10.37,1.84,0.218,0.039,1.28,209.9,64.3
8.5,7.77,10.08,2.66,0.338,0.059,2.12,463.5,14
9.8,7.66,9.53,1.79,0.235,0.04,1.22,211.5,60.2
8.3,7.75,10.14,2.12,0.358,0.059,2.22,472.4,15.1
9.6,7.65,9.18,1.83,0.242,0.041,1.2,213.7,56.8
8.1,7.77,10.45,2.38,0.333,0.055,2.06,474.9,15.9
9.3,7.63,9.32,2.02,0.243,0.041,1.27,219.2,49.6
8,7.76,13.49,4.32,0.482,0.095,1.98,354.8,188.3
8,7.81,10.7,1.89,0.306,0.055,2.51,470.8,15.3
9.4,7.61,9.08,1.92,0.296,0.045,1.27,226.1,58
8.7,7.78,13.12,4.63,0.484,0.1,2.8,354.3,197.6
8.5,7.85,10.96,1.56,0.243,0.05,2.36,462.4,13.7
9.7,7.6,9.14,1.92,0.283,0.038,1.29,230.4,52.5
8.8,7.79,13.09,4.21,0.465,0.103,2.11,357.3,189.3
8.7,7.85,10.84,1.5,0.213,0.049,2.08,458.3,12.7
9.7,7.64,9.33,1.06,0.272,0.043,1.37,233.4,58
8.5,7.78,13.16,4.25,0.465,0.099,2.05,372.3,157.7
8.6,7.82,10.62,1.56,0.205,0.048,2.09,457.7,11.5
10,7.66,8.99,1.25,0.149,0.051,1.26,239.7,70.5
8.7,7.77,13.37,3.77,0.48,0.095,2.05,374.9,164.1
8.5,7.81,10.57,1.68,0.202,0.048,1.78,459.3,11.3
9.7,7.61,9.12,1.29,0.132,0.054,1.23,241.3,68
8.6,7.78,13.34,3.71,0.47,0.095,1.99,369.7,166.5
8.6,7.8,10.77,1.98,0.21,0.047,1.95,468.2,12.8
10.1,7.59,9.7,1.22,0.125,0.054,1.31,249.6,80.1
8.6,7.78,13.12,4.35,0.477,0.098,2.16,366.1,229.9
8.8,7.84,10.92,1.57,0.221,0.048,2.34,470.3,13.6
10.1,7.6,8.72,1.43,0.142,0.055,1.38,256.9,73.3
9.2,7.78,12.97,4.5,0.249,0.099,2.34,372.9,221.2
9.2,7.89,11.03,1.82,0.214,0.047,2.17,464.4,11.8
10.6,7.61,8.72,1.24,0.126,0.057,1.37,268.1,70.5
9.4,7.77,13.18,4.62,0.496,0.1,2.32,380.1,209.8
9.6,7.89,10.95,1.52,0.207,0.046,1.99,460.6,11.1
10.4,7.64,8.8,1.23,0.156,0.066,1.31,290.9,103.8
9,7.77,13.06,3.92,0.238,0.099,2.05,387.4,174.9
