省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
北京市,海河流域,鼓楼外大街,2024/9/19 8:00,Ⅱ,23.1,7.52,6.43,856.8,9,1.46,0.03,0.027,7.73,*,*,正常
北京市,海河流域,广北滨河路（桥）,2024/9/19 16:00,Ⅱ,23.4,8.26,10.32,757.8,5,2,0.046,0.028,4.24,*,*,正常
北京市,海河流域,沙窝,2024/9/19 16:00,Ⅱ,25.9,8.17,12.03,850.4,11,3.5,0.08,0.082,6.17,*,*,正常
北京市,海河流域,新八里桥,2024/9/19 16:00,Ⅱ,24.8,8.05,8.08,776,6.7,3.6,0.066,0.096,8.68,*,*,正常
北京市,海河流域,大红门闸上,2024/9/19 16:00,Ⅱ,22.8,7.93,9.17,1248.4,8.5,2.95,0.112,0.075,9.43,*,*,正常
北京市,海河流域,清河闸,2024/9/19 16:00,Ⅲ,22.6,7.61,5.62,953.6,4.1,2.45,0.09,0.071,6.74,*,*,正常
北京市,海河流域,花园路,2024/9/19 16:00,Ⅱ,22.6,8.42,13.12,992.8,3.7,1.94,0.044,0.046,7.66,*,*,正常
北京市,海河流域,白石桥,2024/9/19 16:00,Ⅱ,23.8,7.89,9.21,856.4,11,1.52,0.1,0.028,8.81,*,*,正常
北京市,海河流域,八间房漫水桥,2024/9/19 16:00,Ⅲ,24.1,8.3,6.92,998.1,20.8,4.28,0.029,0.113,5.08,*,*,正常
北京市,海河流域,罗庄,2024/9/19 16:00,Ⅲ,25.7,8.2,6.71,1160.8,9.9,3.17,0.037,0.146,6.99,*,*,正常
北京市,海河流域,小屯桥,2024/9/19 16:00,Ⅲ,25.3,8.36,8.69,1165.5,24.5,3.44,0.042,0.158,7.37,*,*,正常
北京市,海河流域,东店,2024/9/19 16:00,Ⅳ,24,8.37,8.76,654.8,65.3,6.89,0.357,0.166,3.89,*,*,正常
北京市,海河流域,密云水库,2024/9/19 16:00,Ⅱ,25.2,8.79,9.69,404.4,3.8,3.08,0.025,0.005,1.26,*,*,正常
北京市,海河流域,大关桥,2024/9/19 16:00,Ⅱ,24.7,8.36,8.2,427.7,9.6,2.89,0.025,0.005,2.32,*,*,正常
北京市,海河流域,辛庄桥,2024/9/19 16:00,Ⅰ,21,8.21,11.61,569.6,1.9,1.06,0.025,0.005,2.68,*,*,正常
北京市,海河流域,谷家营,2024/9/19 16:00,Ⅲ,24.3,8.42,14.22,634.3,22.9,4.69,0.145,0.07,2.52,*,*,正常
北京市,海河流域,后城,2024/9/19 16:00,Ⅰ,16.5,8.09,7.9,595.4,3.1,1.26,0.025,0.005,10.95,*,*,正常
天津市,海河流域,三岔口,2024/9/19 16:00,Ⅴ,26.2,7.65,2.55,1057.6,23.8,4.97,0.352,0.104,1.63,*,*,正常
天津市,海河流域,北洋桥,2024/9/19 16:00,Ⅳ,27,7.76,4.84,932.1,9.7,4.59,0.297,0.078,1.72,*,*,正常
天津市,海河流域,井冈山桥,2024/9/19 16:00,Ⅴ,26.7,7.49,2.75,874.4,33,5.2,0.586,0.144,1.82,*,*,正常
天津市,海河流域,大红桥,2024/9/19 16:00,Ⅲ,26.4,7.85,7.93,800.1,11.7,5.56,0.26,0.141,1.49,*,*,正常
天津市,海河流域,曹庄子泵站,2024/9/19 16:00,Ⅰ,27.4,8.17,9.42,268.2,2.7,1.44,0.026,0.005,1.1,*,*,正常
天津市,海河流域,生产圈闸,2024/9/19 16:00,Ⅲ,25.5,8.17,6.27,693.2,15.6,4.03,0.153,0.084,1.23,*,*,正常
天津市,海河流域,尔王庄泵站,2024/9/19 16:00,Ⅳ,26.6,7.65,4.64,261,3.2,1.73,0.025,0.011,0.92,*,*,正常
天津市,海河流域,大套桥,2024/9/19 16:00,Ⅳ,25.7,8.39,10.18,719.2,18,6.28,0.055,0.087,4.64,*,*,正常
天津市,海河流域,黄白桥,2024/9/19 16:00,Ⅳ,26.9,8.9,9.79,922.9,17.6,6.45,0.084,0.229,2.47,*,*,正常
天津市,海河流域,塘汉公路桥,2024/9/19 16:00,劣Ⅴ,22.8,7.86,1.27,1308.2,22.3,5.47,0.083,0.147,2.67,*,*,正常
天津市,海河流域,海河大闸,2024/9/19 16:00,Ⅳ,26.1,8.2,6.26,6792.1,44.2,7.74,0.172,0.1,1.24,*,*,正常
天津市,海河流域,北排水河防潮闸,2024/9/19 16:00,Ⅳ,23,8.05,4.99,2235.7,107.5,4.7,0.028,0.074,1.01,*,*,正常
天津市,海河流域,沧浪渠出境,2024/9/19 16:00,Ⅳ,26.2,7.77,8.31,18365.7,215.6,7.43,0.856,0.162,2.04,*,*,正常
天津市,海河流域,蓟运河防潮闸,2024/9/19 16:00,Ⅳ,26.5,7.84,4.92,1648.3,24.6,5.16,0.271,0.238,2.04,*,*,正常
