监测时间,水温,pH,溶解氧,电导率,浊度,高锰酸盐指数,氨氮,总磷,总氮
2024/1/2 12:00,10.1,7.7,11.01,489.8,1.3,24.51,0.05,0.005,2.86
2024/1/1 16:00,0.7,6.62,7.35,87.7,0.7,21.96,0.025,0.007,0.33
2024/1/1 8:00,15.4,7.48,8.2,557.2,49.2,21.76,0.025,0.152,5.08
2024/1/3 20:00,6,7.72,12.05,1003.5,18.6,21.56,0.075,0.026,5.85
2024/1/4 0:00,5.7,7.7,11.84,1000.4,16.9,21.56,0.075,0.026,5.85
2024/1/4 4:00,1.1,8.26,12.2,1424.1,82.2,19.71,1.482,0.137,8.49
2024/1/4 8:00,4.3,7.14,6.49,233.9,11.2,18.42,0.025,0.071,1.04
2024/1/3 20:00,4.4,7.14,6.47,234.2,11.1,18.4,0.025,0.068,1.11
2024/1/4 0:00,4.3,7.14,6.52,233.2,11.2,18.4,0.025,0.068,1.11
2024/1/3 4:00,4.4,7.14,6.49,232.4,11.1,17.66,0.025,0.064,1.04
2024/1/3 8:00,4.3,7.16,6.48,233.6,11.1,17.66,0.025,0.064,1.04
2024/1/2 16:00,4.6,7.16,6.56,235.2,11.2,17.4,0.025,0.066,1.14
2024/1/2 12:00,4.6,7.17,6.54,236.2,11.1,17.34,0.025,0.07,1.09
2024/1/1 20:00,5.6,8.07,12.68,273.8,162.2,17.23,0.025,0.047,0.33
2024/1/1 4:00,0.6,8.15,14.95,42891.4,9.8,16.78,0.543,0.168,5.06
2024/1/3 4:00,0.2,8.17,14.67,45181.1,17.4,16.69,0.536,0.109,4.77
2024/1/3 8:00,0.2,8.16,14.36,44936.2,13.2,16.69,0.536,0.109,4.77
2024/1/4 4:00,0.03,8.2,14.84,46848,13.7,16.2,0.656,0.065,4.12
,0.4,8.17,15.19,44433.4,13.2,15.88,0.598,0.083,4.57
2024/1/4 8:00,0.02,8.2,14.64,47669.5,11.1,15.86,0.609,0.044,3.66
,1.7,8.28,9.77,721.9,16.6,15.68,0.162,0.051,3.93
2024/1/1 8:00,0.2,8.15,14.35,47368.2,17.1,15.66,0.815,0.061,3.62
2024/1/2 8:00,0.1,8.15,14.97,41194.5,9.7,14.56,0.568,0.07,4.42
2024/1/3 12:00,10.1,8.1,13.58,450.4,16.2,13.18,0.025,0.113,2.5
2024/1/3 12:00,1.4,8.26,17.28,26687.1,10.3,12.79,0.332,0.086,6.14
2024/1/1 12:00,1.3,8.23,17.17,32560.8,4.8,12.69,0.506,0.058,5.26
2024/1/4 8:00,12.3,8.37,7.87,520,15.5,12.64,0.134,0.047,1.11
2024/1/1 8:00,11.9,8.36,7.53,519.2,16.2,12.54,0.122,0.048,1.11
2024/1/4 8:00,13.3,8.26,9.31,274.9,1666.2,12.36,1.883,1.521,5.26
2024/1/3 8:00,12,8.36,7.95,518.5,15.6,12.35,0.16,0.048,1.13
2024/1/2 0:00,12,8.39,7.88,516.4,15,12.34,0.162,0.05,1.09
2024/1/3 0:00,12.3,8.38,8.14,518.2,15.8,12.26,0.13,0.051,1.09
2024/1/1 4:00,12,8.38,7.65,518.8,16,12.15,0.144,0.048,1.07
2024/1/4 4:00,12.2,8.39,8.1,520.2,19.9,12.14,0.134,0.052,1.09
2024/1/2 20:00,12.5,8.39,8.32,521.9,14.9,12.08,0.163,0.048,1.09
2024/1/2 8:00,11.9,8.36,7.74,520.5,15.3,12.08,0.128,0.045,1.12
2024/1/3 20:00,13,8.45,8.74,518.8,16.8,12.04,0.138,0.049,1.1
2024/1/1 20:00,12.7,8.45,7.95,522.6,18.5,12.04,0.13,0.051,1.09
2024/1/3 12:00,12.3,8.38,8.19,521,14.8,12,0.128,0.049,1.1
2024/1/3 4:00,12.2,8.38,8.1,517.3,15.7,11.94,0.133,0.051,1.06
2024/1/1 12:00,12,8.39,7.8,518.8,15.7,11.9,0.118,0.05,1.07
2024/1/2 8:00,18.7,7.41,7.85,113.2,18.6,11.89,0.042,0.06,1.58
2024/1/1 20:00,2.2,8.26,19.27,20054.2,13.5,11.84,0.238,0.179,7.5
2024/1/2 0:00,2,8.11,18.02,16439.5,7.3,11.84,0.238,0.179,7.5
2024/1/3 20:00,6.2,8.04,12.64,274.2,191.4,11.8,0.025,0.06,0.25
2024/1/4 0:00,6,8.05,12.53,274.5,233.7,11.8,0.025,0.06,0.25
,11.8,8.36,7.78,513.5,15.4,11.78,0.148,0.051,1.08
2024/1/2 16:00,12.7,8.38,8.18,521.8,15,11.71,0.152,0.05,1.14
2024/1/3 20:00,2.6,8.41,12.15,8965.8,28.2,11.69,0.252,0.143,1.8
2024/1/4 0:00,2.6,8.42,12.64,9548.1,32.5,11.69,0.252,0.143,1.8
2024/1/1 4:00,5.9,8.91,22.84,13309.3,13.3,11.66,0.232,0.219,2.42
2024/1/1 16:00,12.4,8.43,8.26,518.6,14.3,11.65,0.115,0.049,1.1
2024/1/2 12:00,1.7,8.25,18.35,25821,6,11.62,0.266,0.086,6.11
2024/1/2 12:00,12,8.35,7.75,522.4,15.6,11.62,0.142,0.05,1.09
2024/1/4 0:00,12.4,8.42,8.51,519,14.6,11.53,0.134,0.05,1.07
2024/1/1 8:00,6,8.91,23.01,13272,14.3,11.51,0.118,0.219,2.44
2024/1/2 16:00,2.2,8.45,14.9,8378.7,27,11.41,0.148,0.136,1.59
2024/1/3 16:00,14.4,8.42,8.51,514.3,17.1,11.38,0.146,0.046,1.13
2024/1/1 16:00,6.9,8.81,15.65,5993.3,11.8,11.38,0.547,0.171,3.22
2024/1/1 12:00,6.2,8.74,14.84,6022.8,11.4,11.36,0.595,0.189,3.34
2024/1/1 16:00,2,8.41,13.93,8427.9,29.4,11.36,0.161,0.139,1.62
2024/1/1 20:00,2,8.32,11.61,8771,32.7,11.36,0.442,0.144,1.75
2024/1/2 0:00,1.8,8.57,17.66,7381.6,26.9,11.36,0.442,0.144,1.75
2024/1/3 16:00,2.6,8.52,15,8536.3,26.4,11.35,0.152,0.138,1.61
,6.3,8.98,23.9,13116.8,10.1,11.34,0.248,0.216,2.46
2024/1/2 16:00,2.7,7.74,21.9,1202.3,10.8,11.23,0.407,0.172,5.61
2024/1/3 12:00,2.3,8.64,19.04,7660.4,27.3,11.23,0.243,0.125,1.41
2024/1/1 12:00,7,8.91,21.64,13301.9,11.5,11.18,0.154,0.198,2.37
2024/1/3 12:00,2.4,7.56,18.86,1227.9,9.5,11.11,0.367,0.163,5.51
2024/7/11 16:00,25.8,8.59,8.22,466.2,36.7,11.06,0.47,0.087,1.56
2024/7/11 16:00,25.8,8.59,8.22,466.2,36.7,11.06,0.47,0.087,1.56
2024/7/11 16:00,25.8,8.59,8.22,466.2,36.7,11.06,0.47,0.087,1.56
2024/7/11 16:00,25.8,8.59,8.22,466.2,36.7,11.06,0.47,0.087,1.56
2024/7/11 16:00,25.8,8.59,8.22,466.2,36.7,11.06,0.47,0.087,1.56
2024/7/11 16:00,25.8,8.59,8.22,466.2,36.7,11.06,0.47,0.087,1.56
,25.8,8.59,8.22,466.2,36.7,11.06,0.47,0.087,1.56
2024/1/4 8:00,2.3,8.46,13.52,8927.3,31.9,10.97,0.357,0.143,1.73
2024/1/1 20:00,6.3,8.98,24.58,13108.4,11.8,10.86,0.119,0.19,2.21
2024/1/2 0:00,6.5,8.96,23.66,13024.8,10.2,10.86,0.119,0.19,2.21
2024/1/2 12:00,2.4,7.54,18.86,1271.9,8.4,10.84,0.471,0.174,5.7
2024/1/3 12:00,4.5,8.3,14.72,1937.4,6.6,10.82,0.305,0.097,10.48
2024/1/1 16:00,6.4,8.93,23.17,13041.1,12.7,10.75,0.25,0.196,2.34
2024/1/2 12:00,2,8.46,13.97,8699.6,39.4,10.73,0.304,0.136,1.6
2024/1/3 4:00,2,8.49,15.48,8119.7,28.7,10.72,0.296,0.129,1.5
2024/1/3 8:00,2.3,8.42,12.17,8688.5,27.1,10.72,0.296,0.129,1.5
2024/1/1 4:00,5.9,8.72,14.05,5989.5,10.9,10.71,0.599,0.195,3.32
2024/1/1 4:00,7.7,8.51,13.02,2351.9,18.5,10.69,1.631,0.173,12.1
,4.3,7.19,6.57,236.3,11.6,10.69,0.025,0.067,1.02
2024/1/1 8:00,7.8,8.56,13.56,2249.9,19.1,10.66,1.425,0.153,11.42
,2.1,8.4,13.51,8302.1,25.8,10.64,0.195,0.132,1.51
2024/1/3 4:00,6.3,8.94,22.84,13206,10.6,10.62,0.256,0.204,2.36
2024/1/3 8:00,6.2,8.91,22.56,13083,10.4,10.62,0.256,0.204,2.36
2024/1/1 16:00,6.9,9.11,17.36,1781.3,16.3,10.62,0.264,0.127,9.58
2024/1/2 8:00,5.9,8.9,23.07,13072.4,17.3,10.62,0.275,0.212,2.42
2024/1/1 12:00,7.8,8.68,14.19,2447.6,19.9,10.57,1.189,0.13,10.55
2024/1/1 8:00,5.7,8.72,13.98,5968.2,11.3,10.48,0.615,0.223,3.45
2024/1/2 20:00,6.2,8.96,23.12,13032.8,11,10.44,0.19,0.192,2.32
2024/1/3 0:00,6.1,8.95,23.67,12786.5,12.3,10.44,0.19,0.192,2.32
2024/1/1 8:00,2.1,8.26,10.56,8635.3,27.9,10.41,0.212,0.125,1.62
2024/8/19 8:00,33.6,9.8,4.75,436.3,301,10.39,0.547,0.399,1.88
2024/8/19 8:00,33.6,9.8,4.75,436.3,301,10.39,0.547,0.399,1.88
2024/8/19 8:00,33.6,9.8,4.75,436.3,301,10.39,0.547,0.399,1.88
2024/8/19 8:00,33.6,9.8,4.75,436.3,301,10.39,0.547,0.399,1.88
2024/8/19 8:00,33.6,9.8,4.75,436.3,301,10.39,0.547,0.399,1.88
2024/8/19 8:00,33.6,9.8,4.75,436.3,301,10.39,0.547,0.399,1.88
,33.6,9.8,4.75,436.3,301,10.39,0.547,0.399,1.88
2024/1/2 16:00,1.8,8.27,18.54,17182.4,8.6,10.36,0.223,0.124,7.35
2024/1/2 16:00,6.1,8.98,24.13,13048.2,11.9,10.34,0.183,0.18,2.24
2024/1/1 20:00,6.9,9.12,16.75,1729.2,15.6,10.33,0.279,0.119,9.13
2024/1/2 0:00,6.8,9.01,16.44,1685.8,14.4,10.33,0.279,0.119,9.13
2024/1/2 12:00,9.9,9.01,20.43,4122.3,19.2,10.32,0.026,0.451,6.62
2024/1/4 4:00,1.9,8.49,14.04,9236,51.3,10.32,0.374,0.14,1.64
2024/1/3 16:00,3.4,7.66,20.78,1255.9,9.9,10.27,0.342,0.161,5.43
2024/1/1 16:00,7.8,8.74,14.58,2457.7,20.2,10.27,1.032,0.112,10.31
2024/1/2 20:00,2.3,8.35,11.99,8803.8,29.6,10.21,0.321,0.137,1.7
2024/1/3 0:00,2.3,8.33,11.32,8925.8,28.4,10.21,0.321,0.137,1.7
2024/1/1 12:00,1.8,8.34,12.39,9154.1,56.2,10.21,0.261,0.142,1.61
,18.8,7.44,8.46,111.6,16.6,10.18,0.047,0.06,1.62
2024/1/4 8:00,6.1,8.85,22.19,13147.5,14.8,10.15,0.276,0.203,2.41
2024/1/1 16:00,1.8,8.26,17.79,25802,3.4,10.14,0.325,0.031,6.01
2024/1/3 12:00,6.6,8.91,22.61,12915.9,10.9,10.11,0.327,0.204,2.49
2024/1/3 12:00,10.2,9.1,23.6,4299.5,16.3,10.11,0.025,0.302,4.66
2024/1/1 4:00,1.8,8.35,12.43,8401.6,31.8,10.08,0.185,0.128,1.55
2024/1/2 8:00,2.1,8.29,10.73,8763.6,25.8,10.07,0.236,0.125,1.57
2024/1/2 16:00,3.3,8.91,27.62,12361.2,9.3,10,0.146,0.09,1.62
2024/1/3 12:00,2.9,8.87,25.91,12420.2,9.6,10,0.025,0.093,1.65
2024/1/2 12:00,6.5,8.76,18.76,13382.6,20.5,9.98,0.361,0.202,2.42
2024/1/3 16:00,6.5,8.91,22.43,13077.2,10.9,9.98,0.322,0.19,2.38
