AQI,PM2.5,PM2.5_24h,PM10,PM10_24h,SO2,SO2_24h,NO2,NO2_24h,O3,O3_24h,O3_8h,O3_8h_24h,CO,CO_24h,has_outliers
17.0,6.0,24.0,15.0,54.0,2.0,4.0,10.0,33.0,55.0,71.0,62.0,65.0,0.21,0.57,False
17.0,5.0,71.0,15.0,117.0,5.0,13.0,15.0,56.0,54.0,60.0,48.0,48.0,0.38,1.11,False
103.0,77.0,61.0,135.0,109.0,12.0,14.0,70.0,60.0,4.0,49.0,15.0,30.0,1.08,1.1,False
33.0,10.0,67.0,33.0,121.0,3.0,12.0,7.0,58.0,63.0,62.0,34.0,34.0,0.28,1.42,False
51.0,18.0,69.0,51.0,113.0,4.0,17.0,11.0,56.0,64.0,67.0,36.0,36.0,0.28,1.54,False
174.0,132.0,114.0,179.0,151.0,22.0,20.0,84.0,71.0,13.0,43.0,14.0,30.0,2.1,1.98,True
54.0,18.0,53.0,58.0,92.0,5.0,12.0,42.0,68.0,31.0,38.0,16.0,20.0,0.41,1.0,False
18.0,10.0,22.0,16.0,48.0,9.0,7.0,11.0,17.0,56.0,75.0,61.0,71.0,0.46,0.6,False
25.0,16.0,38.0,25.0,68.0,5.0,12.0,34.0,33.0,29.0,73.0,57.0,64.0,0.6,1.07,False
17.0,9.0,34.0,17.0,81.0,3.0,8.0,14.0,44.0,54.0,67.0,59.0,60.0,0.22,0.75,False
43.0,10.0,92.0,43.0,133.0,3.0,15.0,21.0,65.0,51.0,51.0,27.0,29.0,0.53,1.23,False
63.0,33.0,122.0,76.0,160.0,13.0,22.0,45.0,69.0,30.0,47.0,18.0,34.0,0.4,1.18,False
156.0,119.0,92.0,146.0,124.0,19.0,18.0,88.0,74.0,6.0,31.0,7.0,23.0,1.63,1.75,True
58.0,28.0,63.0,66.0,115.0,10.0,32.0,50.0,61.0,23.0,66.0,35.0,45.0,0.56,1.32,True
44.0,20.0,34.0,44.0,69.0,14.0,14.0,56.0,39.0,12.0,72.0,36.0,67.0,0.85,0.89,False
46.0,14.0,44.0,46.0,81.0,14.0,21.0,21.0,34.0,48.0,59.0,46.0,48.0,0.51,1.03,False
61.0,21.0,48.0,71.0,75.0,11.0,14.0,18.0,39.0,49.0,79.0,48.0,69.0,0.51,0.79,False
79.0,58.0,45.0,71.0,65.0,14.0,15.0,29.0,31.0,32.0,52.0,35.0,44.0,0.7,0.8,False
69.0,50.0,70.0,51.0,87.0,27.0,32.0,26.0,46.0,52.0,57.0,37.0,45.0,0.66,0.93,True
66.0,48.0,19.0,67.0,36.0,7.0,5.0,79.0,54.0,7.0,62.0,19.0,50.0,0.96,0.71,False
96.0,72.0,38.0,125.0,74.0,6.0,6.0,76.0,55.0,5.0,41.0,7.0,35.0,1.24,0.81,False
118.0,89.0,33.0,125.0,56.0,11.0,7.0,81.0,57.0,3.0,42.0,5.0,33.0,0.92,0.58,False
73.0,53.0,24.0,77.0,46.0,8.0,7.0,75.0,46.0,4.0,72.0,19.0,53.0,0.81,0.5,False
89.0,66.0,29.0,109.0,58.0,10.0,9.0,52.0,27.0,23.0,80.0,36.0,72.0,0.63,0.46,False
140.0,107.0,66.0,176.0,109.0,11.0,12.0,86.0,54.0,4.0,69.0,16.0,58.0,1.45,1.01,False
99.0,74.0,42.0,118.0,72.0,11.0,10.0,70.0,47.0,4.0,57.0,14.0,46.0,0.97,0.62,False
91.0,68.0,29.0,111.0,59.0,11.0,10.0,77.0,55.0,3.0,44.0,9.0,35.0,0.88,0.68,False
134.0,102.0,48.0,171.0,87.0,10.0,9.0,73.0,54.0,4.0,55.0,8.0,43.0,0.84,0.6,False
100.0,75.0,45.0,99.0,64.0,5.0,8.0,62.0,46.0,2.0,58.0,11.0,48.0,0.94,0.7,False
120.0,91.0,44.0,143.0,77.0,7.0,8.0,71.0,40.0,4.0,62.0,14.0,51.0,1.05,0.75,False
126.0,96.0,44.0,144.0,73.0,7.0,9.0,83.0,41.0,4.0,80.0,19.0,68.0,1.4,0.75,False
79.0,58.0,27.0,100.0,54.0,6.0,6.0,66.0,37.0,6.0,111.0,31.0,94.0,0.95,0.55,False
95.0,71.0,46.0,105.0,72.0,5.0,7.0,76.0,42.0,3.0,82.0,23.0,66.0,1.13,0.68,False
