城市,河流,流域,断面名称,监测时间,水质类别,水温,pH,溶解氧,高锰酸钾,氨氮,总磷,总氮,电导率,浊度,Reconstruction Error,Anomaly,SHAP_水温,SHAP_pH,SHAP_溶解氧,SHAP_高锰酸钾,SHAP_氨氮,SHAP_总磷,SHAP_总氮,SHAP_电导率,SHAP_浊度
杭州市,千岛湖,浙闽片河流,小金山,2021/1/19 20:00,劣Ⅴ,13.1,7.59,9.8,7.94,0.27,0.204,4.23,138.9,1.8,5.841378,True,-0.15308263058062072,-0.03897819602152266,-0.12975423546377665,-0.19735375381882073,-0.4136567626172185,2.8355776384527016,-0.6558742477022931,-0.23956592426418816,-0.09205202399863022
杭州市,千岛湖,浙闽片河流,大坝前,2021/2/10 12:00,劣Ⅴ,13.6,8.11,9.464,0.34,0.026,0.219,4.001,114.5,2.4,5.418613,True,0.05054722820802197,-0.035301842637110566,-0.004343546029304002,0.18458173085358476,0.11398468323772294,4.870516180010341,-1.024969555968978,0.035553978969115295,0.029166672434705276
杭州市,千岛湖,浙闽片河流,大坝前,2021/2/24 12:00,Ⅳ,14.4,7.9,10.253,0.48,1.095,0.016,0.596,115.5,1.4,6.413257,True,0.0013907016003327543,-0.3312162340770429,0.04725378672059852,-0.11008723404981936,4.225473953427582,-0.2306931866251871,-0.09210401644457229,-0.09006679479093327,0.012600791720461135
杭州市,千岛湖,浙闽片河流,大坝前,2021/2/26 12:00,劣Ⅴ,13.3,7.73,9.798,7.82,1.065,0.215,4.069,115.0,1.6,7.6337204,True,0.10225929681589377,-0.3728083496144277,-0.2543528074108196,0.12618712038153063,1.4395856230823503,2.0316444838893317,-0.2242347938290176,-0.3218242470866904,-0.2847827115940209
杭州市,千岛湖,浙闽片河流,大坝前,2021/3/12 8:00,劣Ⅴ,13.6,8.06,9.923,7.52,1.085,0.211,3.962,115.4,1.5,5.653948,True,0.3163915375926727,-0.15031818776199912,0.05941865458204499,0.31957415105465065,1.6910272887586566,2.2113754635424088,-0.021770737053940482,-0.05582441688054105,-0.0025733367553657516
杭州市,千岛湖,浙闽片河流,大坝前,2021/3/12 12:00,劣Ⅴ,14.6,8.16,10.176,7.57,1.08,0.209,3.909,114.9,1.4,5.7481847,True,0.17529092669801122,-0.23900227952830974,0.08291736688873444,0.20672867681923845,1.62120096376517,2.050527978503334,-0.15272109528194902,-0.11823302831224208,-0.07040705542505998
杭州市,千岛湖,浙闽片河流,大坝前,2021/3/13 0:00,劣Ⅴ,14.1,8.12,10.011,7.37,1.085,0.205,4.077,115.1,1.5,7.1107273,True,0.5239406076319744,0.08034135607397204,0.32492799856321086,0.550868198795246,1.952967084581212,2.3009494434284545,0.23374260460958962,0.19392941339749373,0.23474223431994456
杭州市,千岛湖,浙闽片河流,大坝前,2021/3/13 12:00,劣Ⅴ,14.4,8.22,10.258,7.72,1.065,0.221,3.876,114.9,1.5,5.2300334,True,0.04065612122135128,-0.3888191814627885,-0.038920772594808514,0.07314713601425915,1.5255927083506011,2.1570599320516703,-0.2919396526255358,-0.2820976414214034,-0.2453702044243622
杭州市,千岛湖,浙闽片河流,大坝前,2021/3/13 16:00,劣Ⅴ,14.7,8.23,10.23,7.67,1.075,0.241,3.899,114.9,1.5,16.318047,True,1.6233607904541685,1.200243083873292,1.5209385688753916,1.7475964815001181,3.1995771890602307,4.0817718425779725,1.3408504238280863,1.2917921201007134,1.333798510253441
杭州市,千岛湖,浙闽片河流,大坝前,2021/3/13 20:00,劣Ⅴ,14.4,8.21,10.227,7.58,1.065,0.247,3.937,114.8,1.5,7.274677,True,1.3154979302130343,0.8521890130563735,1.1872560656981523,1.4293829300977188,2.920668771092856,3.831789350922211,1.0166985618056472,0.9588235878134346,0.9972452210886331
杭州市,千岛湖,浙闽片河流,大坝前,2021/3/14 0:00,劣Ⅴ,14.1,8.19,10.152,7.58,1.065,0.247,3.937,114.9,1.5,5.977994,True,-0.08273180737382944,-0.5770108030391622,-0.26817870139891636,0.014429278657251951,1.4837570992242524,2.424617702346077,-0.3969393298805878,-0.4721291129011517,-0.4278714467786122
杭州市,千岛湖,浙闽片河流,大坝前,2021/3/14 4:00,劣Ⅴ,13.9,8.15,10.076,7.51,1.065,0.228,4.075,115.0,1.6,5.7149663,True,0.2977800062291014,-0.18632956924955066,0.08086202944699492,0.3490751402435541,1.7612029461076524,2.503677792873112,-0.024167923275565606,-0.09819116978110426,-0.045907903966533326
杭州市,千岛湖,浙闽片河流,大坝前,2021/3/22 20:00,劣Ⅴ,14.6,7.62,10.181,0.43,0.025,0.233,0.67,114.0,2.7,9.542845,True,-0.4127769731828505,-0.39946609178848186,-0.338253083271033,-0.20605776861834454,-0.2455675566237459,7.276540937094259,-0.2083637241022363,-0.3033159612841048,-0.3550082431333994
