省份,城市,河流,流域,断面名称,监测时间,水质类别,水温,pH,溶解氧,高锰酸钾,氨氮,总磷,总氮,电导率,浊度
浙江省,杭州市,分水江,浙闽片河流,桐君山,2021/1/1 0:00,Ⅱ,10,7.53,9.99,1.95,0.071,0.04,1.5,233.2,8.9
浙江省,杭州市,分水江,浙闽片河流,桐君山,2021/1/1 4:00,Ⅱ,10.2,7.54,10.16,1.66,0.058,0.043,1.53,238.3,6
浙江省,杭州市,分水江,浙闽片河流,桐君山,2021/1/1 8:00,Ⅱ,10.1,7.54,10.06,2.28,0.066,0.042,1.79,237.5,7
浙江省,杭州市,分水江,浙闽片河流,桐君山,2021/1/1 12:00,Ⅱ,10.2,7.56,10.19,1.64,0.074,0.042,1.56,238.5,6.1
浙江省,杭州市,分水江,浙闽片河流,桐君山,2021/1/1 16:00,Ⅱ,10.3,7.6,10.31,1.62,0.068,0.044,1.44,237.2,6.3
浙江省,杭州市,分水江,浙闽片河流,桐君山,2021/1/1 20:00,Ⅱ,9.3,7.47,9.34,1.72,0.06,0.028,1.41,209.2,21.4
浙江省,杭州市,分水江,浙闽片河流,桐君山,2021/1/2 0:00,Ⅱ,9.8,7.51,9.82,1.51,0.068,0.034,1.34,223.7,12.3
浙江省,杭州市,分水江,浙闽片河流,桐君山,2021/1/2 4:00,Ⅱ,10.1,7.55,10.14,1.38,0.066,0.042,1.52,236.6,7.4
浙江省,杭州市,分水江,浙闽片河流,桐君山,2021/1/2 8:00,Ⅱ,10.1,7.54,10.06,1.84,0.065,0.039,1.78,230.8,10.9
浙江省,杭州市,分水江,浙闽片河流,桐君山,2021/1/2 12:00,Ⅱ,10.1,7.57,10.13,1.56,0.061,0.041,1.67,232,8.3
浙江省,杭州市,分水江,浙闽片河流,桐君山,2021/1/2 16:00,Ⅱ,10.3,7.59,10.28,1.64,0.063,0.044,1.25,233.1,7
浙江省,杭州市,分水江,浙闽片河流,桐君山,2021/1/2 20:00,Ⅱ,9.3,7.48,9.27,1.65,0.064,0.03,1.38,224.6,17.8
浙江省,杭州市,分水江,浙闽片河流,桐君山,2021/1/3 0:00,Ⅱ,9.7,7.51,9.7,1.53,0.061,0.033,1.5,226.2,12.3
浙江省,杭州市,分水江,浙闽片河流,桐君山,2021/1/3 4:00,Ⅱ,10,7.56,10,1.66,0.067,0.044,1.39,234.1,8.3
浙江省,杭州市,分水江,浙闽片河流,桐君山,2021/1/3 8:00,Ⅱ,9.9,7.55,9.94,2.29,0.069,0.033,3.98,233,9.1
浙江省,杭州市,分水江,浙闽片河流,桐君山,2021/1/3 12:00,Ⅱ,9.9,8.07,9.91,1.88,0.064,0.038,3.98,228.8,10.3
浙江省,杭州市,分水江,浙闽片河流,桐君山,2021/1/3 16:00,Ⅱ,10,8.09,10.02,1.76,0.07,0.043,1.88,232.2,10.8
浙江省,杭州市,分水江,浙闽片河流,桐君山,2021/1/3 20:00,Ⅱ,9.6,8.02,9.6,1.68,0.071,0.03,1.72,223.8,18.4
浙江省,杭州市,分水江,浙闽片河流,桐君山,2021/1/4 0:00,Ⅱ,9.6,8.01,9.65,1.72,0.065,0.033,1.66,226.8,12.2
浙江省,杭州市,分水江,浙闽片河流,桐君山,2021/1/4 4:00,Ⅱ,9.9,8.05,9.91,1.6,0.074,0.043,1.39,232.9,8.2
浙江省,杭州市,分水江,浙闽片河流,桐君山,2021/1/4 8:00,Ⅱ,9.9,8.04,9.89,1.6,0.074,0.043,1.39,233.3,7.7
浙江省,杭州市,分水江,浙闽片河流,桐君山,2021/1/4 12:00,Ⅱ,9.6,8.04,9.66,1.88,0.08,0.04,0.96,227.4,10.6
浙江省,杭州市,分水江,浙闽片河流,桐君山,2021/1/4 16:00,Ⅱ,9.9,8.04,9.94,2.21,0.07,0.044,1.38,230.7,9.3
浙江省,杭州市,分水江,浙闽片河流,桐君山,2021/1/4 20:00,Ⅱ,10,8.04,10.03,2.2,0.082,0.054,1.38,234,7.1
浙江省,杭州市,分水江,浙闽片河流,桐君山,2021/1/5 0:00,Ⅱ,9.9,8.04,9.91,2.13,0.086,0.058,1.2,234.5,8.6
浙江省,杭州市,分水江,浙闽片河流,桐君山,2021/1/5 4:00,Ⅱ,10,8.05,9.99,1.77,0.088,0.075,1.33,236.8,6.8
浙江省,杭州市,分水江,浙闽片河流,桐君山,2021/1/5 8:00,Ⅱ,9.9,8.04,9.94,2.42,0.102,0.09,1.6,238.1,7.2
浙江省,杭州市,分水江,浙闽片河流,桐君山,2021/1/5 12:00,Ⅱ,9.8,8.02,9.78,2.33,0.1,0.07,1.41,231.9,7.6
浙江省,杭州市,分水江,浙闽片河流,桐君山,2021/1/5 16:00,Ⅲ,9.9,8.04,9.88,2.49,0.138,0.109,1.45,240,6.6
浙江省,杭州市,分水江,浙闽片河流,桐君山,2021/1/5 20:00,Ⅲ,10,8.06,9.97,2.54,0.152,0.132,1.26,240.2,6.6
浙江省,杭州市,分水江,浙闽片河流,桐君山,2021/1/6 0:00,Ⅲ,9.9,8.05,9.86,2.2,0.147,0.132,1.29,240,6.9
浙江省,杭州市,分水江,浙闽片河流,桐君山,2021/1/6 4:00,Ⅲ,10.1,8.08,10.09,2.04,0.172,0.133,1.18,238,6.7
浙江省,杭州市,分水江,浙闽片河流,桐君山,2021/1/6 8:00,Ⅲ,10.3,8.11,10.29,2.83,0.213,0.14,1.88,237.4,9.3
浙江省,杭州市,分水江,浙闽片河流,桐君山,2021/1/6 12:00,Ⅲ,10.2,8.11,10.22,2.34,0.2,0.139,1.54,237.4,8.4
浙江省,杭州市,分水江,浙闽片河流,桐君山,2021/1/6 16:00,Ⅲ,10.4,8.14,10.44,2.28,0.243,0.148,1.55,237.7,9.5
浙江省,杭州市,分水江,浙闽片河流,桐君山,2021/1/6 20:00,Ⅲ,10.6,8.17,10.59,2.34,0.246,0.152,1.56,236.4,10.6
浙江省,杭州市,分水江,浙闽片河流,桐君山,2021/1/7 0:00,Ⅲ,10.8,8.22,10.85,2.2,0.237,0.148,1.54,236.2,10.7
浙江省,杭州市,分水江,浙闽片河流,桐君山,2021/1/7 4:00,Ⅲ,11.2,8.32,11.16,2.08,0.217,0.129,1.34,235.7,9.3
浙江省,杭州市,分水江,浙闽片河流,桐君山,2021/1/7 8:00,Ⅲ,11.3,8.35,11.26,2.41,0.171,0.113,1.54,233.6,9.9
浙江省,杭州市,分水江,浙闽片河流,桐君山,2021/1/7 12:00,Ⅲ,10.9,8.24,10.92,2.27,0.194,0.117,1.42,232.1,10.5
浙江省,杭州市,分水江,浙闽片河流,桐君山,2021/1/7 16:00,Ⅲ,10.6,8.19,10.64,2.17,0.163,0.1,1.16,227.4,11.7
浙江省,杭州市,分水江,浙闽片河流,桐君山,2021/1/7 20:00,Ⅲ,11.1,8.28,11.06,2.08,0.191,0.118,1.41,234.6,9.7
浙江省,杭州市,分水江,浙闽片河流,桐君山,2021/1/8 0:00,Ⅲ,11,8.31,11.02,2.08,0.191,0.118,1.41,234.5,8
浙江省,杭州市,分水江,浙闽片河流,桐君山,2021/1/8 4:00,Ⅱ,10.8,8.25,10.84,1.37,0.097,0.062,1.31,234.8,7.9
浙江省,杭州市,分水江,浙闽片河流,桐君山,2021/1/8 8:00,Ⅱ,10.6,8.21,10.62,2.29,0.089,0.044,1.43,235.2,7.9
浙江省,杭州市,分水江,浙闽片河流,桐君山,2021/1/8 12:00,Ⅱ,10.7,8.24,10.69,1.73,0.092,0.051,1.49,235.1,7.7
浙江省,杭州市,分水江,浙闽片河流,桐君山,2021/1/8 16:00,Ⅱ,10.7,8.23,10.68,1.73,0.1,0.048,1.49,234.9,7.5
浙江省,杭州市,分水江,浙闽片河流,桐君山,2021/1/8 20:00,Ⅱ,10.6,8.2,10.6,1.74,0.091,0.047,1.49,235.5,7.9
浙江省,杭州市,分水江,浙闽片河流,桐君山,2021/1/9 0:00,Ⅱ,10.4,8.14,10.35,1.74,0.091,0.047,1.49,236.5,7.8
浙江省,杭州市,分水江,浙闽片河流,桐君山,2021/1/9 4:00,Ⅱ,10.4,8.01,10.36,1.32,0.063,0.026,0.92,237.4,7.7
浙江省,杭州市,分水江,浙闽片河流,桐君山,2021/1/9 8:00,Ⅱ,10.5,8.01,10.5,1.99,0.051,0.031,4.02,239.7,7.5
浙江省,杭州市,分水江,浙闽片河流,桐君山,2021/1/9 12:00,Ⅱ,10.3,8.07,10.31,2.72,0.062,0.037,4.02,236.6,7.5
浙江省,杭州市,分水江,浙闽片河流,桐君山,2021/1/9 16:00,Ⅱ,10.3,7.39,10.31,3.2,0.063,0.036,4.02,236.1,7
浙江省,杭州市,分水江,浙闽片河流,桐君山,2021/1/9 20:00,Ⅱ,10.2,7.4,10.2,2.62,0.064,0.037,0.05,234.5,9.2
浙江省,杭州市,分水江,浙闽片河流,桐君山,2021/1/10 0:00,Ⅱ,10.2,7.43,10.18,2.62,0.064,0.037,0.05,238.3,8
浙江省,杭州市,分水江,浙闽片河流,桐君山,2021/1/10 4:00,Ⅱ,10.2,7.42,10.17,2.12,0.074,0.032,2.31,237,14.2
浙江省,杭州市,分水江,浙闽片河流,桐君山,2021/1/10 8:00,Ⅱ,10.2,7.42,10.21,1.38,0.078,0.032,1.04,238.5,15
浙江省,杭州市,分水江,浙闽片河流,桐君山,2021/1/10 12:00,Ⅱ,10.2,7.43,10.18,2.51,0.068,0.034,1,236.8,11.8
浙江省,杭州市,分水江,浙闽片河流,桐君山,2021/1/10 16:00,Ⅱ,10.1,7.43,10.14,1.99,0.069,0.031,0.77,234.9,11.7
浙江省,杭州市,分水江,浙闽片河流,桐君山,2021/1/10 20:00,Ⅱ,9.9,7.36,9.92,1.92,0.052,0.032,0.82,212.8,17.9
浙江省,杭州市,分水江,浙闽片河流,桐君山,2021/1/11 0:00,Ⅱ,10.1,7.4,10.07,1.92,0.052,0.032,0.82,231.9,14.2
浙江省,杭州市,分水江,浙闽片河流,桐君山,2021/1/11 4:00,Ⅱ,10.1,7.41,10.06,2.12,0.082,0.033,0.6,234.8,12.7
浙江省,杭州市,分水江,浙闽片河流,桐君山,2021/1/11 8:00,Ⅱ,10,7.41,9.97,2.7,0.085,0.033,1.49,236.6,13.2
浙江省,杭州市,分水江,浙闽片河流,桐君山,2021/1/11 12:00,Ⅱ,9.9,7.37,9.87,2.3,0.072,0.032,1.23,215.7,17.8
浙江省,杭州市,分水江,浙闽片河流,桐君山,2021/1/11 16:00,Ⅱ,10,7.41,10,2.33,0.074,0.034,1.17,228,14.9
浙江省,杭州市,分水江,浙闽片河流,桐君山,2021/1/11 20:00,Ⅱ,9.8,7.33,9.78,2.36,0.057,0.031,1.27,203.6,20.3
浙江省,杭州市,分水江,浙闽片河流,桐君山,2021/1/12 0:00,Ⅱ,9.9,7.38,9.92,2.36,0.057,0.031,1.27,230.2,13
浙江省,杭州市,分水江,浙闽片河流,桐君山,2021/1/12 4:00,Ⅱ,10,7.38,10.04,2.15,0.089,0.033,0.96,231.6,12.1
浙江省,杭州市,分水江,浙闽片河流,桐君山,2021/1/12 8:00,Ⅱ,10,7.38,10.04,2.74,0.083,0.036,1.43,231.3,13.2
浙江省,杭州市,分水江,浙闽片河流,桐君山,2021/1/12 12:00,Ⅱ,10,7.4,9.97,2.26,0.082,0.033,1.17,232,10.1
浙江省,杭州市,分水江,浙闽片河流,桐君山,2021/1/12 16:00,Ⅱ,10,7.41,10,2.33,0.099,0.035,1.19,232,10.6
浙江省,杭州市,分水江,浙闽片河流,桐君山,2021/1/12 20:00,Ⅱ,9.9,7.36,9.91,2.49,0.049,0.03,1.09,211.2,13.6
浙江省,杭州市,分水江,浙闽片河流,桐君山,2021/1/13 0:00,Ⅱ,10,7.39,9.97,2.49,0.049,0.03,1.09,227.6,11.1
浙江省,杭州市,分水江,浙闽片河流,桐君山,2021/1/13 4:00,Ⅱ,10,7.37,9.96,2.05,0.095,0.037,1.13,232.4,9.6
浙江省,杭州市,分水江,浙闽片河流,桐君山,2021/1/13 8:00,Ⅱ,10,7.38,9.98,2.78,0.094,0.037,1.26,230.5,10.1
浙江省,杭州市,分水江,浙闽片河流,桐君山,2021/1/13 12:00,Ⅱ,9.9,7.38,9.9,2.33,0.091,0.043,1.49,232.5,9.3
