省份,城市,河流,流域,断面名称,监测时间,水质类别,水温,pH,溶解氧,高锰酸钾,氨氮,总磷,总氮,电导率,浊度
浙江省,杭州市,东苕溪,太湖流域,汪家埠,2021/1/1 0:00,Ⅱ,8.4,8.08,10.91,1.82,0.102,0.051,1.87,415.8,20.7
浙江省,杭州市,东苕溪,太湖流域,汪家埠,2021/1/1 4:00,Ⅱ,8,8.04,10.73,1.74,0.109,0.05,1.69,418.2,18.2
浙江省,杭州市,东苕溪,太湖流域,汪家埠,2021/1/1 8:00,Ⅱ,7.8,8.02,10.59,1.65,0.119,0.048,2.4,418.6,15.9
浙江省,杭州市,东苕溪,太湖流域,汪家埠,2021/1/1 12:00,Ⅱ,8.3,8.05,10.9,1.74,0.117,0.044,2.1,418.8,13.9
浙江省,杭州市,东苕溪,太湖流域,汪家埠,2021/1/1 16:00,Ⅱ,8.9,8.07,11,1.59,0.121,0.046,2.05,418.8,13.2
浙江省,杭州市,东苕溪,太湖流域,汪家埠,2021/1/1 20:00,Ⅱ,8.4,8.06,10.83,1.78,0.136,0.049,2,419.8,13.7
浙江省,杭州市,东苕溪,太湖流域,汪家埠,2021/1/2 0:00,Ⅱ,8.1,8.03,10.68,1.72,0.141,0.048,1.8,421.3,13.4
浙江省,杭州市,东苕溪,太湖流域,汪家埠,2021/1/2 4:00,Ⅱ,7.8,7.99,10.42,1.7,0.144,0.048,1.9,423.8,13.4
浙江省,杭州市,东苕溪,太湖流域,汪家埠,2021/1/2 8:00,Ⅱ,7.5,7.93,10.18,1.56,0.151,0.049,2.21,429.2,12.4
浙江省,杭州市,东苕溪,太湖流域,汪家埠,2021/1/2 12:00,Ⅱ,8.1,7.86,10.23,2.04,0.207,0.051,2.23,439,12.2
浙江省,杭州市,东苕溪,太湖流域,汪家埠,2021/1/2 16:00,Ⅱ,8.6,7.81,10.21,2.12,0.278,0.056,2.17,450.4,11.7
浙江省,杭州市,东苕溪,太湖流域,汪家埠,2021/1/2 20:00,Ⅱ,8.5,7.77,10.08,2.66,0.338,0.059,2.12,463.5,14
浙江省,杭州市,东苕溪,太湖流域,汪家埠,2021/1/3 0:00,Ⅱ,8.3,7.75,10.14,2.12,0.358,0.059,2.22,472.4,15.1
浙江省,杭州市,东苕溪,太湖流域,汪家埠,2021/1/3 4:00,Ⅱ,8.1,7.77,10.45,2.38,0.333,0.055,2.06,474.9,15.9
浙江省,杭州市,东苕溪,太湖流域,汪家埠,2021/1/3 8:00,Ⅱ,8,7.81,10.7,1.89,0.306,0.055,2.51,470.8,15.3
浙江省,杭州市,东苕溪,太湖流域,汪家埠,2021/1/3 12:00,Ⅱ,8.5,7.85,10.96,1.56,0.243,0.05,2.36,462.4,13.7
浙江省,杭州市,东苕溪,太湖流域,汪家埠,2021/1/3 16:00,Ⅱ,8.7,7.85,10.84,1.5,0.213,0.049,2.08,458.3,12.7
浙江省,杭州市,东苕溪,太湖流域,汪家埠,2021/1/3 20:00,Ⅱ,8.6,7.82,10.62,1.56,0.205,0.048,2.09,457.7,11.5
