省份,城市,河流,流域,断面名称,监测时间,水质类别,水温,pH,溶解氧,高锰酸钾,氨氮,总磷,总氮,电导率,浊度
浙江省,杭州市,京杭运河,太湖流域,顾家桥,2021/1/1 0:00,Ⅱ,9.5,7.49,9.38,2.2,0.168,0.025,1.24,197,25.7
浙江省,杭州市,京杭运河,太湖流域,顾家桥,2021/1/1 4:00,Ⅱ,9.1,7.52,10.37,2.45,0.173,0.027,1.24,198.9,30.8
浙江省,杭州市,京杭运河,太湖流域,顾家桥,2021/1/1 8:00,Ⅱ,9.4,7.53,9.53,2.38,0.133,0.027,1.28,181.8,25.4
浙江省,杭州市,京杭运河,太湖流域,顾家桥,2021/1/1 12:00,Ⅱ,9.9,7.59,9.8,1.85,0.097,0.026,1.17,182.7,29.3
浙江省,杭州市,京杭运河,太湖流域,顾家桥,2021/1/1 16:00,Ⅱ,9.7,7.64,9.78,1.79,0.076,0.026,1.19,183.2,23.8
浙江省,杭州市,京杭运河,太湖流域,顾家桥,2021/1/1 20:00,Ⅱ,9.7,7.65,9.64,1.79,0.098,0.033,1.15,185.5,56.6
浙江省,杭州市,京杭运河,太湖流域,顾家桥,2021/1/2 0:00,Ⅱ,9.7,7.68,10.28,1.88,0.14,0.033,1.16,194.1,66
浙江省,杭州市,京杭运河,太湖流域,顾家桥,2021/1/2 4:00,Ⅱ,9.4,7.65,9.39,1.87,0.192,0.038,1.24,210.3,75.4
浙江省,杭州市,京杭运河,太湖流域,顾家桥,2021/1/2 8:00,Ⅱ,9.1,7.6,9.6,1.87,0.23,0.038,1.29,212.8,48.2
浙江省,杭州市,京杭运河,太湖流域,顾家桥,2021/1/2 12:00,Ⅱ,9.6,7.65,9.37,1.86,0.207,0.038,1.28,212.1,52.4
浙江省,杭州市,京杭运河,太湖流域,顾家桥,2021/1/2 16:00,Ⅱ,9.7,7.65,10.37,1.84,0.218,0.039,1.28,209.9,64.3
浙江省,杭州市,京杭运河,太湖流域,顾家桥,2021/1/2 20:00,Ⅱ,9.8,7.66,9.53,1.79,0.235,0.04,1.22,211.5,60.2
浙江省,杭州市,京杭运河,太湖流域,顾家桥,2021/1/3 0:00,Ⅱ,9.6,7.65,9.18,1.83,0.242,0.041,1.2,213.7,56.8
浙江省,杭州市,京杭运河,太湖流域,顾家桥,2021/1/3 4:00,Ⅱ,9.3,7.63,9.32,2.02,0.243,0.041,1.27,219.2,49.6
浙江省,杭州市,京杭运河,太湖流域,五杭运河大桥,2021/1/3 8:00,Ⅲ,8,7.76,13.49,4.32,0.482,0.095,1.98,354.8,188.3
浙江省,杭州市,京杭运河,太湖流域,顾家桥,2021/1/3 8:00,Ⅱ,9.4,7.61,9.08,1.92,0.296,0.045,1.27,226.1,58
浙江省,杭州市,京杭运河,太湖流域,五杭运河大桥,2021/1/3 12:00,Ⅲ,8.7,7.78,13.12,4.63,0.484,0.1,2.8,354.3,197.6
浙江省,杭州市,京杭运河,太湖流域,顾家桥,2021/1/3 12:00,Ⅱ,9.7,7.6,9.14,1.92,0.283,0.038,1.29,230.4,52.5
浙江省,杭州市,京杭运河,太湖流域,五杭运河大桥,2021/1/3 16:00,Ⅲ,8.8,7.79,13.09,4.21,0.465,0.103,2.11,357.3,189.3
浙江省,杭州市,京杭运河,太湖流域,顾家桥,2021/1/3 16:00,Ⅱ,9.7,7.64,9.33,1.06,0.272,0.043,1.37,233.4,58
浙江省,杭州市,京杭运河,太湖流域,五杭运河大桥,2021/1/3 20:00,Ⅲ,8.5,7.78,13.16,4.25,0.465,0.099,2.05,372.3,157.7
浙江省,杭州市,京杭运河,太湖流域,顾家桥,2021/1/3 20:00,Ⅱ,10,7.66,8.99,1.25,0.149,0.051,1.26,239.7,70.5
浙江省,杭州市,京杭运河,太湖流域,五杭运河大桥,2021/1/4 0:00,Ⅲ,8.7,7.77,13.37,3.77,0.48,0.095,2.05,374.9,164.1
浙江省,杭州市,京杭运河,太湖流域,顾家桥,2021/1/4 0:00,Ⅱ,9.7,7.61,9.12,1.29,0.132,0.054,1.23,241.3,68
浙江省,杭州市,京杭运河,太湖流域,五杭运河大桥,2021/1/4 4:00,Ⅱ,8.6,7.78,13.34,3.71,0.47,0.095,1.99,369.7,166.5
浙江省,杭州市,京杭运河,太湖流域,顾家桥,2021/1/4 4:00,Ⅱ,10.1,7.59,9.7,1.22,0.125,0.054,1.31,249.6,80.1
浙江省,杭州市,京杭运河,太湖流域,五杭运河大桥,2021/1/4 8:00,Ⅲ,8.6,7.78,13.12,4.35,0.477,0.098,2.16,366.1,229.9
浙江省,杭州市,京杭运河,太湖流域,顾家桥,2021/1/4 8:00,Ⅱ,10.1,7.6,8.72,1.43,0.142,0.055,1.38,256.9,73.3
浙江省,杭州市,京杭运河,太湖流域,五杭运河大桥,2021/1/4 12:00,Ⅲ,9.2,7.78,12.97,4.5,0.249,0.099,2.34,372.9,221.2
浙江省,杭州市,京杭运河,太湖流域,顾家桥,2021/1/4 12:00,Ⅱ,10.6,7.61,8.72,1.24,0.126,0.057,1.37,268.1,70.5
浙江省,杭州市,京杭运河,太湖流域,五杭运河大桥,2021/1/4 16:00,Ⅲ,9.4,7.77,13.18,4.62,0.496,0.1,2.32,380.1,209.8
浙江省,杭州市,京杭运河,太湖流域,顾家桥,2021/1/4 16:00,Ⅱ,10.4,7.64,8.8,1.23,0.156,0.066,1.31,290.9,103.8
浙江省,杭州市,京杭运河,太湖流域,五杭运河大桥,2021/1/4 20:00,Ⅱ,9,7.77,13.06,3.92,0.238,0.099,2.05,387.4,174.9
浙江省,杭州市,京杭运河,太湖流域,顾家桥,2021/1/4 20:00,Ⅱ,10.8,7.59,8.69,1.29,0.178,0.069,1.25,302.3,98.4
浙江省,杭州市,京杭运河,太湖流域,五杭运河大桥,2021/1/5 0:00,Ⅱ,9,7.77,13.05,4.33,0.236,0.097,2.1,376.8,180.8
浙江省,杭州市,京杭运河,太湖流域,顾家桥,2021/1/5 0:00,Ⅱ,10.4,7.62,8.66,1.28,0.174,0.069,1.29,312.8,93.5
浙江省,杭州市,京杭运河,太湖流域,五杭运河大桥,2021/1/5 4:00,Ⅲ,9.1,7.78,12.93,4.36,0.255,0.098,2.15,379.1,232.8
浙江省,杭州市,京杭运河,太湖流域,顾家桥,2021/1/5 4:00,Ⅱ,10.9,7.62,8.51,1.19,0.131,0.069,1.23,336.2,97.8
浙江省,杭州市,京杭运河,太湖流域,五杭运河大桥,2021/1/5 8:00,Ⅲ,9,7.76,12.96,4.41,0.496,0.099,2.24,402.8,201.1
浙江省,杭州市,京杭运河,太湖流域,顾家桥,2021/1/5 8:00,Ⅱ,10.3,7.65,9,1.55,0.11,0.067,1.29,356.9,106
浙江省,杭州市,京杭运河,太湖流域,五杭运河大桥,2021/1/5 12:00,Ⅲ,9.1,7.79,12.94,4.78,0.263,0.098,2.06,398.3,232
浙江省,杭州市,京杭运河,太湖流域,顾家桥,2021/1/5 12:00,Ⅱ,10.3,7.68,9.07,1.32,0.078,0.065,1.25,350.4,107.1
浙江省,杭州市,京杭运河,太湖流域,五杭运河大桥,2021/1/5 16:00,Ⅲ,8.9,7.93,12.91,4.8,0.264,0.1,2.35,397.5,270
浙江省,杭州市,京杭运河,太湖流域,顾家桥,2021/1/5 16:00,Ⅱ,10.2,7.66,9.11,1.38,0.085,0.066,1.23,325.8,83.6
浙江省,杭州市,京杭运河,太湖流域,五杭运河大桥,2021/1/5 20:00,Ⅲ,8.8,7.93,13.11,5.33,0.276,0.105,2.28,389.9,343.9
