省份,城市,河流,流域,断面名称,监测时间,水质类别,水温,pH,溶解氧,高锰酸钾,氨氮,总磷,总氮,电导率,浊度
浙江省,杭州市,南苕溪,太湖流域,汪家埠,2021/8/6 8:00,Ⅲ,25.2,6.97,7.874,3.015,0.7449,0.0162,2.367,210,23.2
浙江省,杭州市,南苕溪,太湖流域,汪家埠,2021/8/6 12:00,Ⅲ,25.78,7.08,8.434,3.282,0.7449,0.015,2.163,208.1,22
浙江省,杭州市,南苕溪,太湖流域,汪家埠,2021/8/6 16:00,Ⅲ,26.28,7.04,8.334,3.265,0.7449,0.0177,2.046,216.9,19.9
浙江省,杭州市,南苕溪,太湖流域,汪家埠,2021/8/6 20:00,Ⅲ,26.08,6.96,7.731,2.784,0.7449,0.0185,2.018,223.4,18.7
浙江省,杭州市,南苕溪,太湖流域,汪家埠,2021/8/7 0:00,Ⅲ,25.98,6.92,6.362,3.033,0.7449,0.0184,2.13,230.5,19
浙江省,杭州市,南苕溪,太湖流域,汪家埠,2021/8/7 4:00,Ⅲ,25.39,6.81,5.48,2.818,0.7449,0.021,2.031,227.6,19.7
浙江省,杭州市,南苕溪,太湖流域,汪家埠,2021/8/7 8:00,Ⅲ,25.39,6.79,5.403,3.033,0.0318,0.0216,2.237,225,22.1
浙江省,杭州市,南苕溪,太湖流域,汪家埠,2021/8/7 12:00,Ⅱ,26.18,6.94,6.479,2.784,0.025,0.018,2.255,229.3,22.2
浙江省,杭州市,南苕溪,太湖流域,汪家埠,2021/8/7 16:00,Ⅱ,27,7.25,7.818,3.015,0.025,0.018,2.004,226.4,19.6
浙江省,杭州市,南苕溪,太湖流域,汪家埠,2021/8/7 20:00,Ⅱ,26.59,7.05,6.846,2.973,0.025,0.0523,1.96,227,15.3
浙江省,杭州市,南苕溪,太湖流域,汪家埠,2021/8/8 0:00,Ⅲ,26.39,6.85,5.616,2.93,0.0407,0.0532,1.919,230.1,17
浙江省,杭州市,南苕溪,太湖流域,汪家埠,2021/8/8 4:00,Ⅲ,26.18,6.76,5.144,2.818,0.0795,0.0594,1.964,244.3,16
浙江省,杭州市,南苕溪,太湖流域,汪家埠,2021/8/8 8:00,Ⅲ,26.28,6.78,5.651,2.809,0.0482,0.0536,2.123,234.8,12.8
浙江省,杭州市,南苕溪,太湖流域,汪家埠,2021/8/8 12:00,Ⅱ,26.8,6.98,6.952,3.162,0.025,0.0568,2.043,246.3,18.6
浙江省,杭州市,南苕溪,太湖流域,汪家埠,2021/8/8 16:00,Ⅱ,27.64,7.06,7.382,3.084,0.025,0.0533,2.37,260.9,18.9
浙江省,杭州市,南苕溪,太湖流域,汪家埠,2021/8/8 20:00,Ⅱ,27.42,6.95,6.847,2.403,0.0384,0.0511,2.076,262.4,16.8
浙江省,杭州市,南苕溪,太湖流域,汪家埠,2021/8/9 0:00,Ⅲ,27,6.83,5.968,2.286,0.0528,0.0476,1.968,262.6,15
浙江省,杭州市,南苕溪,太湖流域,汪家埠,2021/8/9 4:00,Ⅲ,26.8,6.75,5.216,2.151,0.0747,0.0548,1.948,265,16.3
浙江省,杭州市,南苕溪,太湖流域,汪家埠,2021/8/9 8:00,Ⅱ,26.8,6.86,6.418,1.891,0.0408,0.0505,2.134,260.3,15.2
浙江省,杭州市,南苕溪,太湖流域,汪家埠,2021/8/9 12:00,Ⅱ,27.64,6.94,7.03,2.303,0.0322,0.0532,2.012,251.1,20.2
浙江省,杭州市,南苕溪,太湖流域,汪家埠,2021/8/9 16:00,Ⅱ,28.72,7.93,11.671,3.025,0.025,0.0597,1.832,249.6,22.2
浙江省,杭州市,南苕溪,太湖流域,汪家埠,2021/8/9 20:00,Ⅱ,27.85,7.25,7.87,2.714,0.0521,0.0526,1.971,273.5,19.9
浙江省,杭州市,南苕溪,太湖流域,汪家埠,2021/8/10 0:00,Ⅱ,27.63,6.91,6.146,2.714,0.0521,0.0526,1.971,276.4,22
浙江省,杭州市,南苕溪,太湖流域,汪家埠,2021/8/10 4:00,Ⅲ,27.42,6.86,5.903,2.487,0.0816,0.0494,1.949,274.4,18.3
浙江省,杭州市,南苕溪,太湖流域,汪家埠,2021/8/10 8:00,Ⅲ,27.21,6.74,5.15,2.16,0.1278,0.0615,2.201,275.2,26.6
浙江省,杭州市,南苕溪,太湖流域,汪家埠,2021/8/10 12:00,Ⅱ,27.53,7.37,8.355,2.588,0.0401,0.0626,2.098,248.4,23.2
浙江省,杭州市,南苕溪,太湖流域,汪家埠,2021/8/10 16:00,Ⅱ,27.42,7.07,6.879,2.571,0.0997,0.0606,1.854,235.1,29
浙江省,杭州市,南苕溪,太湖流域,汪家埠,2021/8/10 20:00,Ⅱ,26.79,7.02,6.046,2.731,0.0982,0.0627,1.964,235.2,33.7
浙江省,杭州市,南苕溪,太湖流域,汪家埠,2021/8/11 0:00,Ⅱ,26.69,7.02,6.298,2.731,0.0982,0.0627,1.964,231,24.5
浙江省,杭州市,南苕溪,太湖流域,汪家埠,2021/8/11 4:00,Ⅳ,26.4,6.79,4.925,2.513,0.1587,0.0619,1.968,237.7,23.8
浙江省,杭州市,南苕溪,太湖流域,汪家埠,2021/8/11 8:00,Ⅳ,26.49,6.78,4.955,2.361,0.1509,0.0602,2.06,236.3,20
浙江省,杭州市,南苕溪,太湖流域,汪家埠,2021/8/11 12:00,Ⅱ,26.69,7,6.284,2.689,0.0918,0.068,2.142,244.2,34.2
浙江省,杭州市,南苕溪,太湖流域,汪家埠,2021/8/11 16:00,Ⅲ,26.49,6.93,5.706,2.487,0.1533,0.0662,2.159,263.3,35.3
浙江省,杭州市,南苕溪,太湖流域,汪家埠,2021/8/11 20:00,Ⅱ,26.59,7.11,6.725,2.395,0.075,0.055,1.83,234.9,23.1
浙江省,杭州市,南苕溪,太湖流域,汪家埠,2021/8/12 0:00,Ⅱ,26.49,7.09,6.212,2.395,0.075,0.055,1.83,227.3,20.9
浙江省,杭州市,南苕溪,太湖流域,汪家埠,2021/8/12 4:00,Ⅲ,26.28,7.02,5.923,2.588,0.0829,0.0531,1.744,227.9,21.8
浙江省,杭州市,南苕溪,太湖流域,汪家埠,2021/8/12 8:00,Ⅲ,26.16,6.97,5.692,2.546,0.0913,0.0552,1.996,224.9,26.2
浙江省,杭州市,南苕溪,太湖流域,汪家埠,2021/8/12 12:00,Ⅱ,26.59,7.01,6.09,2.588,0.1008,0.0605,2.049,229.1,38.8
浙江省,杭州市,南苕溪,太湖流域,汪家埠,2021/8/12 16:00,Ⅱ,26.59,7.08,6.809,2.597,0.0777,0.07,2.073,233.9,31.1
浙江省,杭州市,南苕溪,太湖流域,汪家埠,2021/8/12 20:00,Ⅱ,26.9,7.17,6.888,2.714,0.0824,0.0651,1.955,229.9,33.9
浙江省,杭州市,南苕溪,太湖流域,汪家埠,2021/8/13 0:00,Ⅱ,26.28,7.04,7.272,2.714,0.0824,0.0651,1.955,217.9,26.7
浙江省,杭州市,南苕溪,太湖流域,汪家埠,2021/8/13 4:00,Ⅱ,26.23,6.98,7.199,2.471,0.0876,0.0548,1.797,220.4,21.5
浙江省,杭州市,南苕溪,太湖流域,汪家埠,2021/8/13 8:00,Ⅱ,26.18,6.94,7.09,2.168,0.1194,0.0563,2.208,222.7,25.9
浙江省,杭州市,南苕溪,太湖流域,汪家埠,2021/8/13 12:00,Ⅱ,26.18,6.95,7.299,2.361,0.1549,0.0606,2.035,230.6,24.9
浙江省,杭州市,南苕溪,太湖流域,汪家埠,2021/8/13 16:00,Ⅱ,25.98,6.95,7.225,2.487,0.1787,0.072,2.187,238.6,35.2
浙江省,杭州市,南苕溪,太湖流域,汪家埠,2021/8/13 20:00,Ⅱ,25.78,6.89,7.037,2.588,0.2169,0.0769,2.355,248.2,33.4
浙江省,杭州市,南苕溪,太湖流域,汪家埠,2021/8/14 0:00,Ⅱ,25.78,6.88,7.142,2.555,0.2018,0.0761,2.283,247.4,29
浙江省,杭州市,南苕溪,太湖流域,汪家埠,2021/8/14 4:00,Ⅱ,25.59,6.9,7.122,2.277,0.1911,0.0747,2.26,247.7,28.7
浙江省,杭州市,南苕溪,太湖流域,汪家埠,2021/8/14 8:00,Ⅱ,25.3,6.89,7.165,2.378,0.1869,0.0773,2.489,251,31.2
浙江省,杭州市,南苕溪,太湖流域,汪家埠,2021/8/14 12:00,Ⅱ,25.1,6.92,7.376,2.445,0.1799,0.0822,2.375,246.4,37
浙江省,杭州市,南苕溪,太湖流域,汪家埠,2021/8/14 16:00,Ⅱ,24.91,6.94,7.246,2.403,0.1657,0.0844,2.365,254.6,41.5
浙江省,杭州市,南苕溪,太湖流域,汪家埠,2021/8/14 20:00,Ⅱ,24.82,6.92,7.134,2.361,0.1674,0.084,2.328,259.7,38.7
浙江省,杭州市,南苕溪,太湖流域,汪家埠,2021/8/15 0:00,Ⅱ,24.72,6.91,7.019,2.235,0.1406,0.0805,2.217,261.9,32.4
浙江省,杭州市,南苕溪,太湖流域,汪家埠,2021/8/15 4:00,Ⅱ,24.44,6.85,6.613,2.319,0.129,0.0775,2.181,269.1,26.1
浙江省,杭州市,南苕溪,太湖流域,汪家埠,2021/8/15 8:00,Ⅱ,24.25,6.8,6.229,1.95,0.1165,0.078,2.581,284.3,24.6
浙江省,杭州市,南苕溪,太湖流域,汪家埠,2021/8/15 12:00,Ⅱ,24.25,6.8,6.421,2.143,0.1073,0.0757,2.235,290,22.8
浙江省,杭州市,南苕溪,太湖流域,汪家埠,2021/8/15 16:00,Ⅱ,24.53,6.81,6.574,2.294,0.1076,0.0745,1.871,285.4,23
浙江省,杭州市,南苕溪,太湖流域,汪家埠,2021/8/15 20:00,Ⅱ,24.72,6.95,7.641,2.445,0.1229,0.083,2.413,243.6,35.3
浙江省,杭州市,南苕溪,太湖流域,汪家埠,2021/8/16 0:00,Ⅱ,24.44,6.92,7.564,2.445,0.1229,0.083,2.413,239.9,31.6
浙江省,杭州市,南苕溪,太湖流域,汪家埠,2021/8/16 4:00,Ⅱ,24.35,6.9,7.607,2.294,0.1195,0.0805,2.294,229.1,29.3
浙江省,杭州市,南苕溪,太湖流域,汪家埠,2021/8/16 8:00,Ⅱ,24.35,6.9,7.602,2.345,0.113,0.0787,2.63,226.8,29
浙江省,杭州市,南苕溪,太湖流域,汪家埠,2021/8/16 12:00,Ⅱ,24.63,6.95,8.011,2.462,0.0994,0.0833,2.637,228.9,36.2
浙江省,杭州市,南苕溪,太湖流域,汪家埠,2021/8/16 16:00,Ⅱ,24.63,6.98,7.987,2.445,0.0798,0.0836,2.3,214.2,33.8
浙江省,杭州市,南苕溪,太湖流域,汪家埠,2021/8/16 20:00,Ⅱ,24.15,6.93,8.168,2.815,0.0927,0.0915,2.505,201.2,53.4
浙江省,杭州市,南苕溪,太湖流域,汪家埠,2021/8/17 0:00,Ⅱ,24.07,6.92,8.092,2.815,0.0927,0.0915,2.505,199,35.7
