省份,城市,河流,流域,断面名称,监测时间,水质类别,水温,pH,pH类别,溶解氧,高锰酸钾,氨氮,总磷,总氮,电导率,浊度,叶绿素,藻密度,站点情况
浙江省,杭州市,千岛湖,浙闽片河流,三潭岛,2021/1/1 0:00,Ⅰ,14.8,6.68,-,9.02,0.25,0.025,0.006,0.76,112.7,4.2,-2,-2,正常
浙江省,杭州市,千岛湖,浙闽片河流,大坝前,2021/1/1 0:00,Ⅰ,14.8,7.86,-,8.52,0.47,0.025,0.005,0.44,109.1,1.4,-2,-2,正常
浙江省,杭州市,千岛湖,浙闽片河流,小金山,2021/1/1 0:00,Ⅱ,14.9,7.45,-,13.58,0.74,0.09,0.01,0.9,136.5,2,-2,-2,正常
浙江省,杭州市,分水江,浙闽片河流,桐君山,2021/1/1 0:00,Ⅱ,10,7.53,-,9.99,1.95,0.071,0.04,1.5,233.2,8.9,-2,-2,正常
浙江省,杭州市,富春江,浙闽片河流,桐庐,2021/1/1 0:00,Ⅱ,12.2,7.43,-,8.5,2.09,0.059,0.032,0.9,181.3,20.3,-2,-2,正常
浙江省,杭州市,东苕溪,太湖流域,汪家埠,2021/1/1 0:00,Ⅱ,8.4,8.08,-,10.91,1.82,0.102,0.051,1.87,415.8,20.7,-2,-2,正常
浙江省,杭州市,浦阳江,浙闽片河流,浦阳江出口,2021/1/1 0:00,Ⅱ,8.4,8.55,-,12.78,1.2,0.154,0.059,0.88,235.8,14.7,-2,-2,正常
浙江省,杭州市,新安江,浙闽片河流,街口(鸠坑口),2021/1/1 0:00,Ⅰ,13.2,7.15,-,8.11,0.82,0.025,0.019,1.41,160.5,14.6,-2,-2,正常
浙江省,杭州市,钱塘江,浙闽片河流,闸口,2021/1/1 0:00,Ⅱ,11.1,7.65,-,10.25,1.19,0.22,0.072,1.18,220.7,18.1,-2,-2,正常
浙江省,杭州市,京杭运河,太湖流域,顾家桥,2021/1/1 0:00,Ⅱ,9.5,7.49,-,9.38,2.2,0.168,0.025,1.24,197,25.7,-2,-2,正常
浙江省,杭州市,千岛湖,浙闽片河流,三潭岛,2021/1/1 4:00,Ⅰ,13.4,7.08,-,10.94,0.3,0.025,0.009,0.73,-1,-1,-2,-2,维护
浙江省,杭州市,千岛湖,浙闽片河流,大坝前,2021/1/1 4:00,Ⅰ,14.7,7.84,-,8.42,0.43,0.025,0.006,0.24,109.3,1.5,-2,-2,正常
浙江省,杭州市,千岛湖,浙闽片河流,小金山,2021/1/1 4:00,Ⅱ,14.8,7.45,-,13.68,0.38,0.09,0.012,1,136.8,2,-2,-2,正常
浙江省,杭州市,分水江,浙闽片河流,桐君山,2021/1/1 4:00,Ⅱ,10.2,7.54,-,10.16,1.66,0.058,0.043,1.53,238.3,6,-2,-2,正常
浙江省,杭州市,富春江,浙闽片河流,桐庐,2021/1/1 4:00,Ⅱ,11.9,7.42,-,8.63,2.08,0.056,0.03,0.78,181.1,18.7,-2,-2,正常
浙江省,杭州市,东苕溪,太湖流域,汪家埠,2021/1/1 4:00,Ⅱ,8,8.04,-,10.73,1.74,0.109,0.05,1.69,418.2,18.2,-2,-2,正常
浙江省,杭州市,浦阳江,浙闽片河流,浦阳江出口,2021/1/1 4:00,Ⅱ,7.4,8.6,-,13.1,1.4,0.137,0.057,0.58,235.3,14.1,-2,-2,正常
浙江省,杭州市,新安江,浙闽片河流,街口(鸠坑口),2021/1/1 4:00,Ⅰ,13.1,7.13,-,8.19,1.04,0.025,0.02,1.23,162.6,14.5,-2,-2,正常
浙江省,杭州市,钱塘江,浙闽片河流,闸口,2021/1/1 4:00,Ⅱ,11.2,7.62,-,10.28,1.19,0.22,0.06,1.16,216.7,17.1,-2,-2,正常
浙江省,杭州市,京杭运河,太湖流域,顾家桥,2021/1/1 4:00,Ⅱ,9.1,7.52,-,10.37,2.45,0.173,0.027,1.24,198.9,30.8,-2,-2,正常
浙江省,杭州市,千岛湖,浙闽片河流,三潭岛,2021/1/1 8:00,Ⅰ,14.7,6.66,-,9.17,0.5,0.025,0.006,0.72,113,4.2,-2,-2,正常
浙江省,杭州市,千岛湖,浙闽片河流,大坝前,2021/1/1 8:00,Ⅰ,14.6,7.86,-,8.53,0.5,0.025,0.005,0.56,109.4,1.5,-2,-2,正常
浙江省,杭州市,千岛湖,浙闽片河流,小金山,2021/1/1 8:00,Ⅱ,14.7,7.44,-,13.58,0.86,0.13,0.01,0.99,137.8,2.9,-2,-2,正常
浙江省,杭州市,分水江,浙闽片河流,桐君山,2021/1/1 8:00,Ⅱ,10.1,7.54,-,10.06,2.28,0.066,0.042,1.79,237.5,7,-2,-2,正常
浙江省,杭州市,富春江,浙闽片河流,桐庐,2021/1/1 8:00,Ⅱ,11.7,7.41,-,8.76,2.2,0.066,0.033,0.89,181.4,21.9,-2,-2,正常
浙江省,杭州市,东苕溪,太湖流域,汪家埠,2021/1/1 8:00,Ⅱ,7.8,8.02,-,10.59,1.65,0.119,0.048,2.4,418.6,15.9,-2,-2,正常
浙江省,杭州市,浦阳江,浙闽片河流,浦阳江出口,2021/1/1 8:00,Ⅱ,7.2,8.63,-,13.14,1,0.16,0.056,1.29,236.8,14.6,-2,-2,正常
浙江省,杭州市,新安江,浙闽片河流,街口(鸠坑口),2021/1/1 8:00,-3,12.7,7.1,-,8.33,-1,0.025,0.02,1.85,164.8,14.6,-2,-2,维护
浙江省,杭州市,钱塘江,浙闽片河流,闸口,2021/1/1 8:00,Ⅱ,11.3,7.63,-,10.29,1.19,0.28,0.052,1.34,213,17.1,-2,-2,正常
浙江省,杭州市,京杭运河,太湖流域,顾家桥,2021/1/1 8:00,Ⅱ,9.4,7.53,-,9.53,2.38,0.133,0.027,1.28,181.8,25.4,-2,-2,正常
浙江省,杭州市,千岛湖,浙闽片河流,三潭岛,2021/1/1 12:00,Ⅰ,15.1,6.7,-,9.09,0.41,0.025,0.009,0.68,113,4.2,-2,-2,正常
浙江省,杭州市,千岛湖,浙闽片河流,大坝前,2021/1/1 12:00,Ⅰ,14.6,7.8,-,8.72,0.33,0.025,0.005,0.56,109.4,2.2,-2,-2,正常
浙江省,杭州市,千岛湖,浙闽片河流,小金山,2021/1/1 12:00,Ⅱ,15.1,7.49,-,13.6,0.65,0.08,0.01,1.13,138.1,1.9,-2,-2,正常
浙江省,杭州市,分水江,浙闽片河流,桐君山,2021/1/1 12:00,Ⅱ,10.2,7.56,-,10.19,1.64,0.074,0.042,1.56,238.5,6.1,-2,-2,正常
浙江省,杭州市,富春江,浙闽片河流,桐庐,2021/1/1 12:00,Ⅱ,12.1,7.43,-,8.68,1.86,0.057,0.03,0.96,181.8,19.9,-2,-2,正常
浙江省,杭州市,东苕溪,太湖流域,汪家埠,2021/1/1 12:00,Ⅱ,8.3,8.05,-,10.9,1.74,0.117,0.044,2.1,418.8,13.9,-2,-2,正常
浙江省,杭州市,浦阳江,浙闽片河流,浦阳江出口,2021/1/1 12:00,Ⅱ,9.7,8.57,-,12.44,1.5,0.137,0.058,0.6,236.5,16.5,-2,-2,正常
浙江省,杭州市,新安江,浙闽片河流,街口(鸠坑口),2021/1/1 12:00,-3,13.2,7.27,-,7.97,-1,0.025,0.02,1.85,163.7,14.2,-2,-2,维护
浙江省,杭州市,钱塘江,浙闽片河流,闸口,2021/1/1 12:00,Ⅱ,11.4,7.62,-,10.31,1.19,0.27,0.059,1.18,210.9,16.5,-2,-2,正常
浙江省,杭州市,京杭运河,太湖流域,顾家桥,2021/1/1 12:00,Ⅱ,9.9,7.59,-,9.8,1.85,0.097,0.026,1.17,182.7,29.3,-2,-2,正常
浙江省,杭州市,千岛湖,浙闽片河流,三潭岛,2021/1/1 16:00,Ⅱ,15.2,6.7,-,9.13,0.4,0.025,0.013,0.67,113.4,1.5,-2,-2,正常
浙江省,杭州市,千岛湖,浙闽片河流,大坝前,2021/1/1 16:00,Ⅰ,15,7.89,-,8.69,0.4,0.025,0.007,0.38,109.3,2.1,-2,-2,正常
浙江省,杭州市,千岛湖,浙闽片河流,小金山,2021/1/1 16:00,Ⅰ,15.3,7.49,-,13.62,0.73,0.08,0.009,0.94,137.8,1.6,-2,-2,正常
浙江省,杭州市,分水江,浙闽片河流,桐君山,2021/1/1 16:00,Ⅱ,10.3,7.6,-,10.31,1.62,0.068,0.044,1.44,237.2,6.3,-2,-2,正常
浙江省,杭州市,富春江,浙闽片河流,桐庐,2021/1/1 16:00,Ⅱ,11.9,7.46,-,8.81,1.88,0.057,0.03,0.92,182,18.3,-2,-2,正常
浙江省,杭州市,东苕溪,太湖流域,汪家埠,2021/1/1 16:00,Ⅱ,8.9,8.07,-,11,1.59,0.121,0.046,2.05,418.8,13.2,-2,-2,正常
浙江省,杭州市,浦阳江,浙闽片河流,浦阳江出口,2021/1/1 16:00,Ⅱ,10,8.62,-,12.35,1.3,0.211,0.085,0.46,245.7,25.5,-2,-2,正常
浙江省,杭州市,新安江,浙闽片河流,街口(鸠坑口),2021/1/1 16:00,-3,13.4,7.34,-,7.99,-1,0.025,0.018,1.33,173,14.3,-2,-2,维护
浙江省,杭州市,钱塘江,浙闽片河流,闸口,2021/1/1 16:00,Ⅰ,11,7.63,-,10.33,1.12,0.1,0.005,0.23,225.6,28.3,-2,-2,正常
浙江省,杭州市,京杭运河,太湖流域,顾家桥,2021/1/1 16:00,Ⅱ,9.7,7.64,-,9.78,1.79,0.076,0.026,1.19,183.2,23.8,-2,-2,正常
浙江省,杭州市,千岛湖,浙闽片河流,三潭岛,2021/1/1 20:00,Ⅱ,14.7,6.66,-,9.04,0.66,0.025,0.013,0.73,113.2,1.6,-2,-2,正常
浙江省,杭州市,千岛湖,浙闽片河流,大坝前,2021/1/1 20:00,Ⅰ,14.8,7.87,-,8.6,0.48,0.025,0.005,0.47,109.4,2.1,-2,-2,正常
浙江省,杭州市,千岛湖,浙闽片河流,小金山,2021/1/1 20:00,Ⅰ,14.9,7.48,-,13.69,0.82,0.13,0.01,0.95,137.8,2,-2,-2,正常
浙江省,杭州市,分水江,浙闽片河流,桐君山,2021/1/1 20:00,Ⅱ,9.3,7.47,-,9.34,1.72,0.06,0.028,1.41,209.2,21.4,-2,-2,正常
浙江省,杭州市,富春江,浙闽片河流,桐庐,2021/1/1 20:00,Ⅱ,12.1,7.45,-,8.66,2.09,0.067,0.034,0.9,188.1,21.6,-2,-2,正常
浙江省,杭州市,东苕溪,太湖流域,汪家埠,2021/1/1 20:00,Ⅱ,8.4,8.06,-,10.83,1.78,0.136,0.049,2,419.8,13.7,-2,-2,正常
浙江省,杭州市,浦阳江,浙闽片河流,浦阳江出口,2021/1/1 20:00,Ⅱ,9.6,8.48,-,12.34,2,0.185,0.076,0.44,232.9,27.7,-2,-2,正常
浙江省,杭州市,新安江,浙闽片河流,街口(鸠坑口),2021/1/1 20:00,Ⅰ,13.2,7.23,-,7.8,0.64,0.025,0.016,1.3,160.9,14,-2,-2,正常
浙江省,杭州市,钱塘江,浙闽片河流,闸口,2021/1/1 20:00,Ⅲ,10.4,7.96,-,10.74,1.71,0.11,0.116,1.46,228.5,59.1,-2,-2,正常
浙江省,杭州市,京杭运河,太湖流域,顾家桥,2021/1/1 20:00,Ⅱ,9.7,7.65,-,9.64,1.79,0.098,0.033,1.15,185.5,56.6,-2,-2,正常
浙江省,杭州市,千岛湖,浙闽片河流,三潭岛,2021/1/2 0:00,Ⅱ,14.7,6.68,-,9.06,0.69,0.025,0.007,0.79,113.3,1.6,-2,-2,正常
浙江省,杭州市,千岛湖,浙闽片河流,大坝前,2021/1/2 0:00,Ⅰ,14.7,7.86,-,8.54,0.41,0.025,0.005,0.56,109.4,2.1,-2,-2,正常
浙江省,杭州市,千岛湖,浙闽片河流,小金山,2021/1/2 0:00,Ⅰ,14.8,7.44,-,13.36,0.63,0.08,0.011,0.92,137.9,3.1,-2,-2,正常
浙江省,杭州市,分水江,浙闽片河流,桐君山,2021/1/2 0:00,Ⅱ,9.8,7.51,-,9.82,1.51,0.068,0.034,1.34,223.7,12.3,-2,-2,正常
浙江省,杭州市,富春江,浙闽片河流,桐庐,2021/1/2 0:00,Ⅱ,11.8,7.36,-,8.72,2.08,0.066,0.031,1.09,192.3,18,-2,-2,正常
浙江省,杭州市,东苕溪,太湖流域,汪家埠,2021/1/2 0:00,Ⅱ,8.1,8.03,-,10.68,1.72,0.141,0.048,1.8,421.3,13.4,-2,-2,正常
浙江省,杭州市,浦阳江,浙闽片河流,浦阳江出口,2021/1/2 0:00,Ⅱ,8.5,8.61,-,12.74,1.4,0.167,0.044,1.27,233.5,20,-2,-2,正常
浙江省,杭州市,新安江,浙闽片河流,街口(鸠坑口),2021/1/2 0:00,Ⅰ,13.2,7.26,-,8.07,0.25,0.025,0.015,1.41,162.3,13.9,-2,-2,正常
