省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
北京市,海河流域,鼓楼外大街,11-22 08:00,Ⅱ,11.9,7.82,8.48,526.0,2.5,1.42,0.061,0.021,4.10,*,*,正常
北京市,海河流域,广北滨河路(桥）,11-22 08:00,Ⅱ,9.4,8.31,11.02,1138.9,16.1,3.30,0.025,0.019,2.26,*,*,正常
北京市,海河流域,沙窝,11-22 08:00,Ⅱ,14.5,7.44,9.62,933.4,7.8,3.73,0.089,0.061,9.59,*,*,正常
北京市,海河流域,新八里桥,11-22 08:00,Ⅲ,14.9,7.31,8.48,842.5,2.4,4.54,0.067,0.057,9.84,*,*,正常
北京市,海河流域,大红门闸上,11-22 08:00,Ⅱ,16.0,7.85,8.44,1306.0,6.0,2.12,0.092,0.080,10.91,*,*,正常
北京市,海河流域,南大荒桥,11-22 08:00,Ⅱ,8.6,8.56,10.87,1295.4,3.8,3.88,0.032,0.020,0.79,*,*,正常
北京市,海河流域,清河闸,11-22 08:00,Ⅱ,15.6,7.58,6.94,963.5,6.4,2.77,0.138,0.074,10.12,*,*,正常
北京市,海河流域,花园路,11-22 08:00,Ⅱ,15.0,7.46,7.94,727.5,2.1,1.40,0.047,0.048,7.36,*,*,正常
北京市,海河流域,白石桥,11-22 08:00,Ⅱ,13.7,7.56,9.97,554.8,2.1,0.96,0.089,0.020,5.09,*,*,正常
北京市,海河流域,八间房漫水桥,11-22 08:00,Ⅲ,10.5,7.99,11.02,1212.7,3.8,4.34,0.037,0.047,5.48,*,*,正常
北京市,海河流域,码头,11-22 08:00,Ⅱ,9.9,7.72,9.84,1249.1,16.9,3.17,0.027,0.050,6.72,*,*,正常
北京市,海河流域,罗庄,11-22 08:00,Ⅱ,10.4,8.03,8.96,1167.0,8.7,3.25,0.091,0.084,8.55,*,*,正常
北京市,海河流域,小屯桥,11-22 08:00,Ⅱ,10.3,8.06,7.61,1201.6,16.7,3.48,0.039,0.078,8.71,*,*,正常
北京市,海河流域,怀柔水库,11-22 08:00,Ⅰ,9.8,8.35,9.90,321.9,1.5,1.52,0.025,0.005,0.79,*,*,正常
北京市,海河流域,密云水库,11-22 08:00,Ⅱ,10.9,8.12,8.98,425.9,3.9,2.25,0.025,0.005,1.84,*,*,正常
北京市,海河流域,大关桥,11-22 08:00,Ⅱ,9.4,8.30,10.65,432.6,3.4,2.19,0.025,0.005,1.89,*,*,正常
北京市,海河流域,辛庄桥,11-22 08:00,Ⅰ,7.1,8.06,10.92,678.4,1.4,0.99,0.025,0.005,7.73,*,*,正常
北京市,海河流域,谷家营,11-22 08:00,Ⅲ,7.9,8.06,6.58,642.4,12.0,3.21,0.660,0.049,2.58,*,*,正常
北京市,海河流域,后城,11-22 08:00,Ⅰ,5.3,7.91,10.31,637.9,4.2,0.87,0.025,0.005,10.66,*,*,正常
天津市,海河流域,三岔口,11-22 08:00,Ⅲ,12.0,7.59,5.00,620.1,9.0,2.43,0.283,0.045,1.64,*,*,正常
天津市,海河流域,北洋桥,11-22 08:00,Ⅱ,11.5,7.86,8.04,629.5,3.8,2.82,0.226,0.030,1.46,*,*,正常
天津市,海河流域,井冈山桥,11-22 08:00,Ⅳ,10.6,7.54,3.17,790.2,6.4,4.41,0.486,0.087,1.76,*,*,正常
天津市,海河流域,大红桥,11-22 08:00,Ⅲ,12.0,7.79,5.04,657.9,3.1,2.06,0.356,0.022,1.44,*,*,正常
天津市,海河流域,曹庄子泵站,11-22 08:00,Ⅰ,14.8,8.27,11.04,285.8,1.8,1.11,0.027,0.005,1.17,*,*,正常
天津市,海河流域,生产圈闸,11-22 08:00,Ⅱ,12.3,7.95,7.99,949.4,14.0,3.63,0.106,0.057,1.98,*,*,正常
天津市,海河流域,土门楼,11-22 08:00,Ⅲ,11.1,8.37,11.48,1013.6,15.3,4.48,0.536,0.084,8.67,*,*,正常
天津市,海河流域,尔王庄泵站,11-22 08:00,Ⅰ,12.5,7.99,9.33,301.2,5.3,1.02,0.043,0.005,1.04,*,*,正常
