省份,流域,断面名称,监测时间,水质类别,水温(℃),pH(无量纲),溶解氧(mg/L),电导率(μS/cm),浊度(NTU),高锰酸盐指数(mg/L),氨氮(mg/L),总磷(mg/L),总氮(mg/L),叶绿素α(mg/L),藻密度(cells/L),站点情况
北京市,海河流域,鼓楼外大街,05-11 20:00,Ⅱ,22.3,8.59,13.41,858.0,5.4,1.29,0.025,0.031,9.87,*,*,正常
北京市,海河流域,广北滨河路（桥）,05-11 20:00,Ⅱ,21.4,8.54,10.13,1214.0,6.3,3.03,0.025,0.021,1.98,*,*,正常
北京市,海河流域,沙窝,05-11 20:00,Ⅲ,22.7,7.82,12.35,793.6,17.3,5.16,0.058,0.061,5.76,*,*,正常
北京市,海河流域,新八里桥,05-11 20:00,Ⅲ,22.0,7.90,8.64,917.9,3.5,4.57,0.051,0.092,6.82,*,*,正常
北京市,海河流域,大红门闸上,05-11 20:00,Ⅲ,22.2,7.84,9.25,1221.8,6.3,4.70,0.031,0.062,10.23,*,*,正常
北京市,海河流域,南大荒桥,05-11 20:00,Ⅲ,20.1,8.44,9.17,1272.8,9.6,4.04,0.025,0.019,1.45,*,*,正常
北京市,海河流域,清河闸,05-11 20:00,Ⅲ,22.2,7.45,6.13,840.1,4.3,3.29,0.196,0.106,5.58,*,*,正常
北京市,海河流域,花园路,05-11 20:00,Ⅱ,20.4,8.00,11.74,921.9,1.4,2.94,0.040,0.025,9.33,*,*,正常
北京市,海河流域,白石桥,05-11 20:00,Ⅱ,21.0,7.85,12.95,935.4,9.2,1.55,0.051,0.020,10.43,*,*,正常
北京市,海河流域,八间房漫水桥,05-11 20:00,Ⅲ,23.0,7.10,9.20,1064.0,6.4,4.39,0.025,0.060,3.21,*,*,正常
北京市,海河流域,码头,05-11 20:00,Ⅲ,22.7,7.79,12.14,1483.3,5.3,4.68,0.025,0.032,3.70,*,*,正常
北京市,海河流域,罗庄,05-11 20:00,Ⅲ,23.9,8.36,7.66,1217.3,28.6,4.57,0.060,0.123,6.51,*,*,正常
北京市,海河流域,小屯桥,05-11 20:00,Ⅲ,24.2,8.69,27.58,1132.0,8.8,4.43,0.042,0.043,5.39,*,*,正常
北京市,海河流域,怀柔水库,05-11 20:00,Ⅱ,20.7,8.70,10.79,407.9,3.4,2.77,0.025,0.005,1.04,*,*,正常
北京市,海河流域,东店,05-11 20:00,劣Ⅴ,17.4,9.04,10.55,677.9,50.9,8.99,0.135,0.134,3.96,*,*,正常
北京市,海河流域,密云水库,05-11 20:00,Ⅱ,16.4,8.54,11.21,435.1,5.8,2.05,0.025,0.005,1.77,*,*,正常
北京市,海河流域,大关桥,05-11 20:00,Ⅰ,18.7,8.47,10.57,429.4,12.0,1.83,0.025,0.005,2.20,*,*,正常
北京市,海河流域,辛庄桥,05-11 20:00,Ⅰ,18.4,8.03,9.52,567.4,3.9,1.00,0.025,0.005,4.89,*,*,正常
北京市,海河流域,谷家营,05-11 20:00,劣Ⅴ,20.3,10.26,26.57,489.6,4.6,3.53,0.025,0.055,0.94,*,*,正常
北京市,海河流域,后城,05-11 20:00,Ⅱ,14.3,8.13,7.86,503.1,26.7,2.26,0.025,0.045,7.51,*,*,正常
天津市,海河流域,三岔口,05-11 20:00,Ⅱ,21.5,8.05,8.62,848.8,17.5,3.31,0.099,0.048,1.71,*,*,正常
天津市,海河流域,北洋桥,05-11 20:00,Ⅲ,23.2,8.56,11.23,709.6,10.2,4.35,0.026,0.038,1.22,*,*,正常
天津市,海河流域,井冈山桥,05-11 20:00,Ⅲ,21.7,8.38,13.35,722.7,10.1,4.10,0.068,0.063,1.46,*,*,正常
天津市,海河流域,大红桥,05-11 20:00,Ⅱ,21.9,8.62,11.59,620.0,6.0,3.07,0.209,0.041,1.36,*,*,正常
天津市,海河流域,曹庄子泵站,05-11 20:00,Ⅰ,20.0,8.10,9.66,284.8,3.2,1.28,0.044,0.005,1.25,*,*,正常
天津市,海河流域,生产圈闸,05-11 20:00,Ⅲ,20.3,8.80,8.81,876.5,84.7,4.21,0.060,0.060,1.75,*,*,正常
天津市,海河流域,土门楼,05-11 20:00,Ⅲ,21.6,8.78,9.23,994.6,40.8,5.03,0.025,0.069,5.80,*,*,正常
天津市,海河流域,尔王庄泵站,05-11 20:00,Ⅱ,21.9,7.99,8.89,296.8,3.8,2.01,0.030,0.005,1.01,*,*,正常
天津市,海河流域,大套桥,05-11 20:00,Ⅳ,21.5,8.47,18.14,954.5,18.1,6.76,0.070,0.081,5.05,*,*,正常
天津市,海河流域,黄白桥,05-11 20:00,Ⅱ,20.4,8.85,8.28,714.2,7.5,4.00,0.106,0.075,1.11,*,*,正常
天津市,海河流域,塘汉公路桥,05-11 20:00,Ⅳ,18.0,8.62,8.19,3186.3,7.0,6.54,0.025,0.064,2.80,*,*,正常
天津市,海河流域,海河大闸,05-11 20:00,Ⅳ,20.6,8.98,16.25,28812.7,27.2,9.19,0.321,0.126,1.71,*,*,正常
天津市,海河流域,北排水河防潮闸,05-11 20:00,Ⅱ,19.6,8.56,9.89,3130.4,67.0,3.42,0.077,0.040,0.80,*,*,正常
天津市,海河流域,沧浪渠出境,05-11 20:00,Ⅳ,21.8,7.83,4.93,30543.0,115.7,5.70,0.786,0.073,1.92,*,*,正常
天津市,海河流域,万家码头,05-11 20:00,Ⅳ,19.8,7.71,6.24,2942.1,26.8,7.05,0.041,0.084,0.99,*,*,正常
天津市,海河流域,蓟运河防潮闸,05-11 20:00,Ⅳ,20.2,8.36,9.64,2218.1,22.0,7.72,0.123,0.107,4.96,*,*,正常
天津市,海河流域,青静黄防潮闸,05-11 20:00,Ⅳ,19.4,8.91,12.71,17196.6,14.2,6.14,0.075,0.059,1.35,*,*,正常
天津市,海河流域,马棚口防潮闸,05-11 20:00,劣Ⅴ,17.6,8.78,8.02,17845.1,37.3,15.58,0.025,0.106,2.34,*,*,正常
天津市,海河流域,阎辛庄,05-11 20:00,Ⅳ,17.8,8.48,6.63,2112.3,23.3,6.22,0.074,0.110,1.21,*,*,正常
天津市,海河流域,于桥水库库中心,05-11 20:00,Ⅱ,20.6,8.66,11.71,543.7,17.2,4.28,0.025,0.025,1.38,0.012,3332227,正常
天津市,海河流域,于桥水库出口,05-11 20:00,Ⅱ,20.4,8.74,10.30,530.6,55.2,2.44,0.025,0.020,1.20,*,*,正常
天津市,海河流域,黎河桥,05-11 20:00,Ⅱ,14.2,8.55,10.81,594.7,4.6,2.40,0.025,0.016,4.74,*,*,正常
天津市,海河流域,沙河桥,05-11 20:00,Ⅱ,22.4,8.40,10.48,848.0,4.1,3.03,0.027,0.051,7.38,*,*,正常
天津市,海河流域,果河桥,05-11 20:00,Ⅱ,16.6,8.49,10.71,604.8,17.3,2.23,0.025,0.018,4.36,*,*,正常
天津市,海河流域,西屯桥,05-11 20:00,Ⅱ,21.1,8.31,8.63,528.7,13.7,3.49,0.025,0.025,1.39,*,*,正常
河北省,海河流域,岗南水库, ,,--,--,--,--,--,--,--,--,--,*,*,维护
河北省,海河流域,下槐镇,05-11 20:00,Ⅱ,18.8,8.71,9.16,655.9,115.5,2.73,0.025,0.076,3.26,*,*,正常
河北省,海河流域,地都,05-11 20:00,Ⅱ,20.3,8.23,8.14,1273.6,27.6,2.08,0.092,0.077,4.38,*,*,正常
河北省,海河流域,平山桥,05-11 20:00,Ⅱ,19.2,8.43,6.11,1034.0,44.8,1.11,0.025,0.035,6.32,*,*,正常
河北省,海河流域,兆通,05-11 20:00,Ⅰ,20.3,8.84,9.70,485.9,4.9,1.55,0.025,0.013,2.24,*,*,正常
