省份,城市,河流,流域,断面名称,监测时间,水质类别,水温,pH,溶解氧,高锰酸钾,氨氮,总磷,总氮,电导率,浊度
浙江省,杭州市,千岛湖,浙闽片河流,三潭岛,2021/1/1 0:00,Ⅰ,14.8,6.68,9.02,0.25,0.025,0.006,0.76,112.7,4.2
浙江省,杭州市,千岛湖,浙闽片河流,大坝前,2021/1/1 0:00,Ⅰ,14.8,7.86,8.52,0.47,0.025,0.005,0.44,109.1,1.4
浙江省,杭州市,千岛湖,浙闽片河流,小金山,2021/1/1 0:00,Ⅱ,14.9,7.45,13.58,0.74,0.09,0.01,0.9,136.5,2
浙江省,杭州市,千岛湖,浙闽片河流,大坝前,2021/1/1 4:00,Ⅰ,14.7,7.84,8.42,0.43,0.025,0.006,0.24,109.3,1.5
浙江省,杭州市,千岛湖,浙闽片河流,小金山,2021/1/1 4:00,Ⅱ,14.8,7.45,13.68,0.38,0.09,0.012,1,136.8,2
浙江省,杭州市,千岛湖,浙闽片河流,三潭岛,2021/1/1 8:00,Ⅰ,14.7,6.66,9.17,0.5,0.025,0.006,0.72,113,4.2
浙江省,杭州市,千岛湖,浙闽片河流,大坝前,2021/1/1 8:00,Ⅰ,14.6,7.86,8.53,0.5,0.025,0.005,0.56,109.4,1.5
浙江省,杭州市,千岛湖,浙闽片河流,小金山,2021/1/1 8:00,Ⅱ,14.7,7.44,13.58,0.86,0.13,0.01,0.99,137.8,2.9
浙江省,杭州市,千岛湖,浙闽片河流,三潭岛,2021/1/1 12:00,Ⅰ,15.1,6.7,9.09,0.41,0.025,0.009,0.68,113,4.2
浙江省,杭州市,千岛湖,浙闽片河流,大坝前,2021/1/1 12:00,Ⅰ,14.6,7.8,8.72,0.33,0.025,0.005,0.56,109.4,2.2
浙江省,杭州市,千岛湖,浙闽片河流,小金山,2021/1/1 12:00,Ⅱ,15.1,7.49,13.6,0.65,0.08,0.01,1.13,138.1,1.9
浙江省,杭州市,千岛湖,浙闽片河流,三潭岛,2021/1/1 16:00,Ⅱ,15.2,6.7,9.13,0.4,0.025,0.013,0.67,113.4,1.5
浙江省,杭州市,千岛湖,浙闽片河流,大坝前,2021/1/1 16:00,Ⅰ,15,7.89,8.69,0.4,0.025,0.007,0.38,109.3,2.1
浙江省,杭州市,千岛湖,浙闽片河流,小金山,2021/1/1 16:00,Ⅰ,15.3,7.49,13.62,0.73,0.08,0.009,0.94,137.8,1.6
浙江省,杭州市,千岛湖,浙闽片河流,三潭岛,2021/1/1 20:00,Ⅱ,14.7,6.66,9.04,0.66,0.025,0.013,0.73,113.2,1.6
浙江省,杭州市,千岛湖,浙闽片河流,大坝前,2021/1/1 20:00,Ⅰ,14.8,7.87,8.6,0.48,0.025,0.005,0.47,109.4,2.1
浙江省,杭州市,千岛湖,浙闽片河流,小金山,2021/1/1 20:00,Ⅰ,14.9,7.48,13.69,0.82,0.13,0.01,0.95,137.8,2
浙江省,杭州市,千岛湖,浙闽片河流,三潭岛,2021/1/2 0:00,Ⅱ,14.7,6.68,9.06,0.69,0.025,0.007,0.79,113.3,1.6
浙江省,杭州市,千岛湖,浙闽片河流,大坝前,2021/1/2 0:00,Ⅰ,14.7,7.86,8.54,0.41,0.025,0.005,0.56,109.4,2.1
浙江省,杭州市,千岛湖,浙闽片河流,小金山,2021/1/2 0:00,Ⅰ,14.8,7.44,13.36,0.63,0.08,0.011,0.92,137.9,3.1
浙江省,杭州市,千岛湖,浙闽片河流,三潭岛,2021/1/2 4:00,Ⅰ,14.6,6.69,8.97,0.39,0.1,0.006,0.69,113.2,1.6
浙江省,杭州市,千岛湖,浙闽片河流,大坝前,2021/1/2 4:00,Ⅰ,14.6,7.85,8.52,0.39,0.025,0.007,0.56,109.6,2.6
浙江省,杭州市,千岛湖,浙闽片河流,小金山,2021/1/2 4:00,Ⅱ,14.8,7.44,13.29,0.58,0.08,0.011,0.98,137.9,2.1
浙江省,杭州市,千岛湖,浙闽片河流,三潭岛,2021/1/2 8:00,Ⅰ,14.7,6.67,9.12,0.72,0.03,0.005,0.72,113.2,1.6
浙江省,杭州市,千岛湖,浙闽片河流,大坝前,2021/1/2 8:00,Ⅰ,14.6,7.85,8.45,0.48,0.025,0.005,0.59,109.5,2.1
浙江省,杭州市,千岛湖,浙闽片河流,小金山,2021/1/2 8:00,Ⅱ,14.7,7.46,13.33,0.74,0.09,0.01,0.97,138.1,2.1
浙江省,杭州市,千岛湖,浙闽片河流,三潭岛,2021/1/2 12:00,Ⅰ,14.9,6.73,9.16,0.55,0.03,0.005,0.74,113.1,1.5
浙江省,杭州市,千岛湖,浙闽片河流,大坝前,2021/1/2 12:00,Ⅰ,15,7.88,8.67,0.4,0.025,0.005,0.54,109.5,2.1
浙江省,杭州市,千岛湖,浙闽片河流,小金山,2021/1/2 12:00,Ⅰ,15.2,7.51,13.42,0.71,0.09,0.009,0.96,138.5,1.8
浙江省,杭州市,千岛湖,浙闽片河流,三潭岛,2021/1/2 16:00,Ⅰ,14.9,6.73,9.11,0.67,0.04,0.007,0.63,113,1.6
浙江省,杭州市,千岛湖,浙闽片河流,大坝前,2021/1/2 16:00,Ⅰ,15,7.91,8.78,0.44,0.025,0.005,0.52,109.6,2.2
浙江省,杭州市,千岛湖,浙闽片河流,小金山,2021/1/2 16:00,Ⅱ,15.2,7.53,13.51,0.73,0.09,0.01,0.86,137.5,1.8
浙江省,杭州市,千岛湖,浙闽片河流,三潭岛,2021/1/2 20:00,Ⅰ,14.6,6.67,9.05,0.53,0.03,0.009,0.77,113.4,1.7
浙江省,杭州市,千岛湖,浙闽片河流,大坝前,2021/1/2 20:00,Ⅰ,14.8,7.88,8.67,0.45,0.025,0.005,0.41,109.5,2.1
浙江省,杭州市,千岛湖,浙闽片河流,小金山,2021/1/2 20:00,Ⅰ,14.9,7.5,13.74,0.67,0.12,0.008,0.91,138.2,2.2
浙江省,杭州市,千岛湖,浙闽片河流,三潭岛,2021/1/3 0:00,Ⅰ,14.5,6.68,9.17,0.5,0.04,0.005,0.71,113.4,1.6
浙江省,杭州市,千岛湖,浙闽片河流,大坝前,2021/1/3 0:00,Ⅰ,14.7,7.87,8.56,0.3,0.025,0.016,0.56,109.6,2.2
浙江省,杭州市,千岛湖,浙闽片河流,小金山,2021/1/3 0:00,Ⅰ,14.8,7.46,13.33,0.57,0.08,0.009,0.97,139.9,2.1
浙江省,杭州市,千岛湖,浙闽片河流,三潭岛,2021/1/3 4:00,Ⅰ,14.5,6.69,9.02,0.55,0.1,0.009,0.64,113.3,1.6
浙江省,杭州市,千岛湖,浙闽片河流,小金山,2021/1/3 4:00,Ⅰ,14.7,7.46,13.19,0.55,0.08,0.009,0.99,139,2.9
浙江省,杭州市,千岛湖,浙闽片河流,三潭岛,2021/1/3 8:00,Ⅰ,14.5,6.66,9.14,0.64,0.04,0.008,0.64,113.3,1.6
浙江省,杭州市,千岛湖,浙闽片河流,大坝前,2021/1/3 8:00,Ⅰ,14.6,7.87,8.57,0.43,0.025,0.005,0.74,109.5,2.1
浙江省,杭州市,千岛湖,浙闽片河流,小金山,2021/1/3 8:00,Ⅰ,14.7,7.47,12.96,0.78,0.08,0.009,0.88,138.3,2.1
浙江省,杭州市,千岛湖,浙闽片河流,大坝前,2021/1/3 12:00,Ⅰ,14.9,7.89,8.7,0.49,0.025,0.005,0.55,109.6,2
浙江省,杭州市,千岛湖,浙闽片河流,小金山,2021/1/3 12:00,Ⅰ,14.8,7.47,13.19,0.78,0.09,0.009,0.75,139,2
浙江省,杭州市,千岛湖,浙闽片河流,三潭岛,2021/1/3 16:00,Ⅰ,14.7,6.72,9.12,0.75,0.03,0.008,0.67,113.3,1.5
浙江省,杭州市,千岛湖,浙闽片河流,大坝前,2021/1/3 16:00,Ⅰ,14.8,7.89,8.72,0.48,0.025,0.005,0.6,109.7,2.1
浙江省,杭州市,千岛湖,浙闽片河流,小金山,2021/1/3 16:00,Ⅱ,14.8,7.47,13.18,0.59,0.09,0.01,0.84,139.2,2.5
浙江省,杭州市,千岛湖,浙闽片河流,三潭岛,2021/1/3 20:00,Ⅱ,14.6,6.69,9.05,0.62,0.03,0.014,0.64,113.2,1.5
浙江省,杭州市,千岛湖,浙闽片河流,大坝前,2021/1/3 20:00,Ⅰ,14.8,7.88,8.58,0.43,0.025,0.005,0.49,109.7,2.1
浙江省,杭州市,千岛湖,浙闽片河流,小金山,2021/1/3 20:00,Ⅰ,14.8,7.46,13.29,0.59,0.11,0.009,0.87,137.8,2.3
浙江省,杭州市,千岛湖,浙闽片河流,三潭岛,2021/1/4 0:00,Ⅱ,14.6,6.68,9.07,0.84,0.03,0.009,0.61,113.3,1.6
浙江省,杭州市,千岛湖,浙闽片河流,大坝前,2021/1/4 0:00,Ⅰ,14.7,7.86,8.53,0.42,0.025,0.005,0.57,109.6,2.1
浙江省,杭州市,千岛湖,浙闽片河流,小金山,2021/1/4 0:00,Ⅰ,14.7,7.44,13.07,0.76,0.08,0.009,0.9,137.8,2.3
浙江省,杭州市,千岛湖,浙闽片河流,三潭岛,2021/1/4 4:00,Ⅰ,14.5,6.67,9.13,0.74,0.04,0.005,0.63,113.3,1.6
浙江省,杭州市,千岛湖,浙闽片河流,大坝前,2021/1/4 4:00,Ⅰ,14.6,7.86,8.5,0.38,0.025,0.005,0.46,109.7,2.2
浙江省,杭州市,千岛湖,浙闽片河流,小金山,2021/1/4 4:00,Ⅰ,14.6,7.45,13.04,0.63,0.08,0.009,0.9,137.9,2.1
浙江省,杭州市,千岛湖,浙闽片河流,大坝前,2021/1/4 8:00,Ⅰ,14.6,7.86,8.47,0.4,0.025,0.005,0.63,109.8,2.1
浙江省,杭州市,千岛湖,浙闽片河流,小金山,2021/1/4 8:00,Ⅰ,14.6,7.44,13.2,0.69,0.07,0.008,0.92,137.4,2.4
浙江省,杭州市,千岛湖,浙闽片河流,三潭岛,2021/1/4 12:00,Ⅰ,14.8,6.71,9.04,0.94,0.03,0.007,0.64,113,1.4
浙江省,杭州市,千岛湖,浙闽片河流,大坝前,2021/1/4 12:00,Ⅰ,14.9,7.9,8.68,0.38,0.025,0.005,0.6,109.6,2.1
浙江省,杭州市,千岛湖,浙闽片河流,小金山,2021/1/4 12:00,Ⅰ,15.2,7.49,13.16,0.57,0.08,0.007,0.9,137,1.9
浙江省,杭州市,千岛湖,浙闽片河流,三潭岛,2021/1/4 16:00,Ⅰ,15.1,6.74,9.11,0.9,0.03,0.006,0.66,113,1.4
浙江省,杭州市,千岛湖,浙闽片河流,大坝前,2021/1/4 16:00,Ⅰ,15.1,7.92,8.8,0.53,0.025,0.005,0.52,109.5,2.1
浙江省,杭州市,千岛湖,浙闽片河流,小金山,2021/1/4 16:00,Ⅰ,15.3,7.5,13.36,0.61,0.08,0.01,0.88,137.8,2.2
浙江省,杭州市,千岛湖,浙闽片河流,三潭岛,2021/1/4 20:00,Ⅰ,14.7,6.71,9.14,0.83,0.025,0.007,0.59,113,1.4
浙江省,杭州市,千岛湖,浙闽片河流,大坝前,2021/1/4 20:00,Ⅰ,14.8,7.9,8.67,0.48,0.025,0.008,0.71,109.8,2.1
浙江省,杭州市,千岛湖,浙闽片河流,小金山,2021/1/4 20:00,Ⅱ,15,7.5,13.48,0.62,0.16,0.007,0.85,136.3,1.9
浙江省,杭州市,千岛湖,浙闽片河流,三潭岛,2021/1/5 0:00,Ⅰ,14.7,6.71,9.09,0.81,0.025,0.005,0.57,113,1.5
浙江省,杭州市,千岛湖,浙闽片河流,大坝前,2021/1/5 0:00,Ⅰ,14.7,7.87,8.47,0.45,0.025,0.005,0.66,109.6,2.2
浙江省,杭州市,千岛湖,浙闽片河流,小金山,2021/1/5 0:00,Ⅱ,14.8,7.49,13.31,0.63,0.08,0.008,0.91,138.5,1.9
浙江省,杭州市,千岛湖,浙闽片河流,三潭岛,2021/1/5 4:00,Ⅰ,14.6,6.7,8.97,0.57,0.09,0.006,0.63,113,1.5
浙江省,杭州市,千岛湖,浙闽片河流,大坝前,2021/1/5 4:00,Ⅰ,14.7,7.87,8.45,0.25,0.025,0.005,0.51,109.7,2.2
浙江省,杭州市,千岛湖,浙闽片河流,小金山,2021/1/5 4:00,Ⅰ,14.7,7.46,13.06,0.73,0.08,0.008,0.9,135.5,2.1
浙江省,杭州市,千岛湖,浙闽片河流,大坝前,2021/1/5 8:00,Ⅰ,14.7,7.87,8.47,0.54,0.025,0.005,0.65,109.7,2.1
浙江省,杭州市,千岛湖,浙闽片河流,小金山,2021/1/5 8:00,Ⅰ,14.6,7.46,13.17,0.69,0.08,0.009,0.88,133.3,4.4
浙江省,杭州市,千岛湖,浙闽片河流,三潭岛,2021/1/5 12:00,Ⅰ,14.4,6.69,9.09,0.83,0.03,0.005,0.66,113.2,1.6
浙江省,杭州市,千岛湖,浙闽片河流,小金山,2021/1/5 12:00,Ⅰ,14.6,7.5,13.5,0.64,0.09,0.009,0.85,131,2.5
浙江省,杭州市,千岛湖,浙闽片河流,三潭岛,2021/1/5 16:00,Ⅰ,14.4,6.71,9.06,0.72,0.04,0.005,0.6,113.2,1.6
浙江省,杭州市,千岛湖,浙闽片河流,大坝前,2021/1/5 16:00,Ⅰ,14.6,7.9,8.62,0.42,0.025,0.005,0.59,109.6,2.1
浙江省,杭州市,千岛湖,浙闽片河流,小金山,2021/1/5 16:00,Ⅰ,14.6,7.53,13.8,0.61,0.09,0.008,0.92,129,2.1
浙江省,杭州市,千岛湖,浙闽片河流,三潭岛,2021/1/5 20:00,Ⅰ,14.4,6.7,9.06,0.53,0.05,0.005,0.67,113.2,1.7
浙江省,杭州市,千岛湖,浙闽片河流,大坝前,2021/1/5 20:00,Ⅰ,14.6,7.89,8.6,0.48,0.025,0.005,0.55,109.6,2.2
浙江省,杭州市,千岛湖,浙闽片河流,小金山,2021/1/5 20:00,Ⅰ,14.5,7.49,13.46,0.63,0.1,0.009,0.87,130.8,2
