省份,城市,河流,流域,断面名称,监测时间,水质类别,水温,pH,溶解氧,高锰酸钾,氨氮,总磷,总氮,电导率,浊度
浙江省,杭州市,浦阳江,浙闽片河流,浦阳江出口,2021/1/1 0:00,Ⅱ,8.4,8.55,12.78,1.2,0.154,0.059,0.88,235.8,14.7
浙江省,杭州市,浦阳江,浙闽片河流,浦阳江出口,2021/1/1 4:00,Ⅱ,7.4,8.6,13.1,1.4,0.137,0.057,0.58,235.3,14.1
浙江省,杭州市,浦阳江,浙闽片河流,浦阳江出口,2021/1/1 8:00,Ⅱ,7.2,8.63,13.14,1,0.16,0.056,1.29,236.8,14.6
浙江省,杭州市,浦阳江,浙闽片河流,浦阳江出口,2021/1/1 12:00,Ⅱ,9.7,8.57,12.44,1.5,0.137,0.058,0.6,236.5,16.5
浙江省,杭州市,浦阳江,浙闽片河流,浦阳江出口,2021/1/1 16:00,Ⅱ,10,8.62,12.35,1.3,0.211,0.085,0.46,245.7,25.5
浙江省,杭州市,浦阳江,浙闽片河流,浦阳江出口,2021/1/1 20:00,Ⅱ,9.6,8.48,12.34,2,0.185,0.076,0.44,232.9,27.7
浙江省,杭州市,浦阳江,浙闽片河流,浦阳江出口,2021/1/2 0:00,Ⅱ,8.5,8.61,12.74,1.4,0.167,0.044,1.27,233.5,20
浙江省,杭州市,浦阳江,浙闽片河流,浦阳江出口,2021/1/2 4:00,Ⅱ,7.8,8.67,12.95,1.3,0.178,0.047,1.63,234.8,19.7
浙江省,杭州市,浦阳江,浙闽片河流,浦阳江出口,2021/1/2 8:00,Ⅱ,8,8.64,12.9,1.4,0.161,0.036,6.34,233.2,19.3
浙江省,杭州市,浦阳江,浙闽片河流,浦阳江出口,2021/1/2 12:00,Ⅱ,10.2,8.6,12.31,1.4,0.141,0.022,8.72,236.6,18.7
浙江省,杭州市,浦阳江,浙闽片河流,浦阳江出口,2021/1/2 16:00,Ⅱ,10.9,8.48,12.06,1,0.141,0.07,1.59,242,17.5
浙江省,杭州市,浦阳江,浙闽片河流,浦阳江出口,2021/1/2 20:00,Ⅱ,10.1,8.47,12.24,1.4,0.116,0.045,0.84,238.1,37.6
浙江省,杭州市,浦阳江,浙闽片河流,浦阳江出口,2021/1/3 0:00,Ⅱ,9.1,8.6,12.59,1.4,0.097,0.035,0.88,241,26
浙江省,杭州市,浦阳江,浙闽片河流,浦阳江出口,2021/1/3 4:00,Ⅱ,8.5,8.61,12.75,1.4,0.09,0.038,0.88,241.2,22.2
浙江省,杭州市,浦阳江,浙闽片河流,浦阳江出口,2021/1/3 8:00,Ⅱ,8.8,8.57,12.67,1.3,0.076,0.039,0.91,236.2,23.9
浙江省,杭州市,浦阳江,浙闽片河流,浦阳江出口,2021/1/3 16:00,Ⅱ,10.6,8.48,12.14,1.6,0.11,0.045,0.82,239.2,20.6
浙江省,杭州市,浦阳江,浙闽片河流,浦阳江出口,2021/1/3 20:00,Ⅱ,10.5,8.45,12.12,1.3,0.087,0.046,0.71,233.5,42.8
浙江省,杭州市,浦阳江,浙闽片河流,浦阳江出口,2021/1/4 0:00,Ⅱ,10.2,8.51,12.23,2,0.097,0.043,0.91,235.2,26.7
浙江省,杭州市,浦阳江,浙闽片河流,浦阳江出口,2021/1/4 4:00,Ⅱ,10.2,8.49,12.22,1.1,0.094,0.042,0.94,238,22.6
浙江省,杭州市,浦阳江,浙闽片河流,浦阳江出口,2021/1/4 8:00,Ⅱ,10.3,8.43,12.16,1.2,0.086,0.04,0.64,237.1,20.6
浙江省,杭州市,浦阳江,浙闽片河流,浦阳江出口,2021/1/4 12:00,Ⅱ,11.2,8.39,11.89,1.3,0.107,0.051,0.56,240.7,21.4
浙江省,杭州市,浦阳江,浙闽片河流,浦阳江出口,2021/1/4 16:00,Ⅱ,11.7,8.34,11.75,1.3,0.064,0.036,1.03,245.9,21.5
浙江省,杭州市,浦阳江,浙闽片河流,浦阳江出口,2021/1/4 20:00,Ⅱ,11.5,8.23,11.79,1.5,0.058,0.033,0.97,235.1,30.6
浙江省,杭州市,浦阳江,浙闽片河流,浦阳江出口,2021/1/5 0:00,Ⅱ,11.1,8.34,11.93,1.4,0.067,0.032,0.95,235.4,25.7
浙江省,杭州市,浦阳江,浙闽片河流,浦阳江出口,2021/1/5 4:00,Ⅱ,11,8.32,11.94,1.4,0.058,0.034,0.97,235.9,23
浙江省,杭州市,浦阳江,浙闽片河流,浦阳江出口,2021/1/5 8:00,Ⅱ,11,8.22,11.93,1.3,0.072,0.035,1.09,239.5,21.4
浙江省,杭州市,浦阳江,浙闽片河流,浦阳江出口,2021/1/5 12:00,Ⅱ,10.4,8.28,12.14,1.6,0.062,0.033,1,242.4,21.5
浙江省,杭州市,浦阳江,浙闽片河流,浦阳江出口,2021/1/5 16:00,Ⅱ,10.5,8.27,12.1,1.6,0.062,0.033,1,249.5,20.1
浙江省,杭州市,浦阳江,浙闽片河流,浦阳江出口,2021/1/5 20:00,Ⅱ,10.8,8.15,11.98,1.7,0.068,0.031,1.17,243.6,23.1
浙江省,杭州市,浦阳江,浙闽片河流,浦阳江出口,2021/1/6 0:00,Ⅱ,10.4,8.25,12.14,1.9,0.069,0.031,1.1,238.5,24.3
浙江省,杭州市,浦阳江,浙闽片河流,浦阳江出口,2021/1/6 4:00,Ⅱ,10,8.28,12.24,1.6,0.069,0.03,1.13,240.5,20.3
浙江省,杭州市,浦阳江,浙闽片河流,浦阳江出口,2021/1/6 8:00,Ⅱ,9.8,8.23,12.29,1.2,0.06,0.032,1.16,246.7,18.3
浙江省,杭州市,浦阳江,浙闽片河流,浦阳江出口,2021/1/6 12:00,Ⅱ,10.2,8.23,12.19,1.5,0.07,0.032,1.19,257.1,18.9
浙江省,杭州市,浦阳江,浙闽片河流,浦阳江出口,2021/1/6 16:00,Ⅱ,9.9,8.28,12.26,2,0.071,0.033,1.24,271.8,20.3
浙江省,杭州市,浦阳江,浙闽片河流,浦阳江出口,2021/1/6 20:00,Ⅱ,9.1,8.37,12.54,2,0.088,0.027,1.36,295.4,20.8
浙江省,杭州市,浦阳江,浙闽片河流,浦阳江出口,2021/1/7 0:00,Ⅱ,9.8,8.17,12.29,1.8,0.064,0.028,1.34,244.8,14.7
浙江省,杭州市,浦阳江,浙闽片河流,浦阳江出口,2021/1/7 4:00,Ⅱ,9,8.25,12.56,1.7,0.067,0.032,1.22,248.2,14.9
浙江省,杭州市,浦阳江,浙闽片河流,浦阳江出口,2021/1/7 8:00,Ⅱ,7.6,8.52,13.07,1.7,0.076,0.029,1.37,304.8,19.5
浙江省,杭州市,浦阳江,浙闽片河流,浦阳江出口,2021/1/7 12:00,Ⅱ,7.7,8.59,13.09,2.4,0.07,0.028,1.5,301.4,17.7
浙江省,杭州市,浦阳江,浙闽片河流,浦阳江出口,2021/1/7 16:00,Ⅱ,8.2,8.55,13,1.8,0.06,0.028,1.4,247.5,12.7
浙江省,杭州市,浦阳江,浙闽片河流,浦阳江出口,2021/1/7 20:00,Ⅱ,6.5,8.65,13.55,1.8,0.078,0.03,1.22,254.2,13
浙江省,杭州市,浦阳江,浙闽片河流,浦阳江出口,2021/1/8 0:00,Ⅱ,5.8,8.77,13.75,1.8,0.078,0.03,1.22,268.1,16.4
浙江省,杭州市,浦阳江,浙闽片河流,浦阳江出口,2021/1/8 4:00,Ⅱ,4.9,8.79,13.98,2.5,0.1,0.03,1.55,387,28.6
浙江省,杭州市,浦阳江,浙闽片河流,浦阳江出口,2021/1/8 8:00,Ⅱ,4.3,8.8,13.39,2.9,0.088,0.029,2.1,498.5,34.8
浙江省,杭州市,浦阳江,浙闽片河流,浦阳江出口,2021/1/8 12:00,劣Ⅴ,6.2,9.04,13.6,3.5,0.097,0.032,2.56,539.8,28.5
浙江省,杭州市,浦阳江,浙闽片河流,浦阳江出口,2021/1/8 16:00,Ⅱ,6.8,8.93,13.34,3.7,0.096,0.034,2.8,563.8,24.5
浙江省,杭州市,浦阳江,浙闽片河流,浦阳江出口,2021/1/8 20:00,Ⅱ,5.4,8.95,13.77,3.7,0.125,0.035,2.89,585.3,18.1
浙江省,杭州市,浦阳江,浙闽片河流,浦阳江出口,2021/1/9 0:00,劣Ⅴ,4.5,9.01,14.12,3.7,0.125,0.035,2.89,538.5,18.7
浙江省,杭州市,浦阳江,浙闽片河流,浦阳江出口,2021/1/9 4:00,Ⅲ,5.3,8.44,12.59,4.1,0.137,0.037,2.86,524.3,37
浙江省,杭州市,浦阳江,浙闽片河流,浦阳江出口,2021/1/9 8:00,Ⅱ,1.1,8.96,15.28,3.8,0.093,0.038,3.09,578,25.7
浙江省,杭州市,浦阳江,浙闽片河流,浦阳江出口,2021/1/9 12:00,Ⅱ,6.4,8.92,13.46,4,0.124,0.039,3.14,602.6,17.3
