省份,城市,河流,流域,断面名称,监测时间,水质类别,水温,pH,溶解氧,高锰酸钾,氨氮,总磷,总氮,电导率,浊度
浙江省,杭州市,东苕溪,太湖流域,奉口,2022/1/1 20:00,Ⅱ,9.61,8.14,9.381,3.059,0.24,0.0764,1.986,375.1,14.1
浙江省,杭州市,东苕溪,太湖流域,奉口,2022/1/2 0:00,Ⅱ,9.48,8.15,9.426,2.944,0.28,0.0689,1.94,371.2,14.8
浙江省,杭州市,东苕溪,太湖流域,奉口,2022/1/2 4:00,Ⅱ,9.24,8.15,9.31,2.797,0.28,0.0598,1.908,368.3,10.7
浙江省,杭州市,东苕溪,太湖流域,奉口,2022/1/2 8:00,Ⅱ,9,8.16,9.359,2.752,0.21,0.0636,1.802,366.6,12
浙江省,杭州市,东苕溪,太湖流域,奉口,2022/1/2 12:00,Ⅱ,10.01,8.25,10.089,2.868,0.19,0.0713,1.778,364,15.5
浙江省,杭州市,东苕溪,太湖流域,奉口,2022/1/2 16:00,Ⅱ,10.16,8.24,10.055,2.853,0.21,0.068,1.721,366.2,11.8
浙江省,杭州市,东苕溪,太湖流域,奉口,2022/1/2 20:00,Ⅱ,9.79,8.19,9.651,2.969,0.2,0.0673,1.708,365.8,13.2
浙江省,杭州市,东苕溪,太湖流域,奉口,2022/1/3 0:00,Ⅱ,9.49,8.19,9.531,2.762,0.2,0.0612,1.723,362.2,11.1
浙江省,杭州市,东苕溪,太湖流域,奉口,2022/1/3 4:00,Ⅱ,9.26,8.19,9.52,2.762,0.2,0.0554,1.718,360.7,9.4
浙江省,杭州市,东苕溪,太湖流域,奉口,2022/1/3 8:00,Ⅱ,9.05,8.19,9.498,2.812,0.19,0.056,1.623,359.7,13.1
浙江省,杭州市,东苕溪,太湖流域,奉口,2022/1/3 12:00,Ⅱ,10.04,8.31,10.337,2.812,0.14,0.0509,1.635,358.7,8.5
浙江省,杭州市,东苕溪,太湖流域,奉口,2022/1/3 16:00,Ⅱ,10.21,8.28,10.089,2.823,0.13,0.0623,1.737,358.6,12.7
浙江省,杭州市,东苕溪,太湖流域,奉口,2022/1/3 20:00,Ⅱ,9.82,8.25,9.777,2.828,0.15,0.054,1.703,359,9.3
浙江省,杭州市,东苕溪,太湖流域,奉口,2022/1/4 0:00,Ⅱ,9.61,8.22,9.72,2.782,0.14,0.0561,1.729,357.9,9.5
浙江省,杭州市,东苕溪,太湖流域,奉口,2022/1/4 8:00,Ⅱ,9.24,8.22,9.672,2.823,0.17,0.0556,1.587,358.2,8.5
浙江省,杭州市,东苕溪,太湖流域,奉口,2022/1/4 12:00,Ⅱ,9.94,8.27,10.037,2.767,0.14,0.0565,1.674,355.4,10.5
浙江省,杭州市,东苕溪,太湖流域,奉口,2022/1/4 16:00,Ⅱ,10.11,8.29,10.12,2.908,0.16,0.0583,1.678,354.4,12.4
浙江省,杭州市,东苕溪,太湖流域,奉口,2022/1/4 20:00,Ⅱ,10.02,8.24,9.91,2.954,0.16,0.062,1.533,354.5,10.4
浙江省,杭州市,东苕溪,太湖流域,奉口,2022/1/5 0:00,Ⅱ,9.98,8.23,9.906,2.782,0.17,0.0553,1.653,353.7,9.6
浙江省,杭州市,东苕溪,太湖流域,奉口,2022/1/5 4:00,Ⅱ,9.73,8.21,9.769,2.818,0.17,0.0476,1.678,353.7,7.3
浙江省,杭州市,东苕溪,太湖流域,奉口,2022/1/5 8:00,Ⅱ,9.82,8.23,9.894,2.772,0.14,0.052,1.508,353.9,7.4
浙江省,杭州市,东苕溪,太湖流域,奉口,2022/1/5 12:00,Ⅱ,9.98,8.25,10.024,2.772,0.14,0.0502,1.618,353.3,8.3
浙江省,杭州市,东苕溪,太湖流域,奉口,2022/1/5 16:00,Ⅳ,12.92,8.45,3.834,2.772,0.14,0.0502,1.618,2.8,5.2
浙江省,杭州市,东苕溪,太湖流域,奉口,2022/1/6 4:00,Ⅱ,12.74,8.43,10.1,2.727,0.12,0.0418,1.701,6.1,6.7
浙江省,杭州市,东苕溪,太湖流域,奉口,2022/1/6 16:00,Ⅱ,9.88,8.22,9.696,3.229,0.23,0.0874,1.226,351.2,22.1
浙江省,杭州市,东苕溪,太湖流域,奉口,2022/1/6 20:00,Ⅱ,9.79,8.17,9.353,3.142,0.13,0.0481,1.372,352.1,7.2
浙江省,杭州市,东苕溪,太湖流域,奉口,2022/1/7 0:00,Ⅱ,9.69,8.16,9.304,3.142,0.13,0.0481,1.372,352.1,8.9
浙江省,杭州市,东苕溪,太湖流域,奉口,2022/1/7 4:00,Ⅱ,9.49,8.12,9.139,3.254,0.23,0.0417,1.378,352.6,5.7
浙江省,杭州市,东苕溪,太湖流域,奉口,2022/1/7 8:00,Ⅳ,9.46,8.11,9.099,6.26,0.71,0.1911,1.363,354.3,7.7
浙江省,杭州市,东苕溪,太湖流域,奉口,2022/1/7 12:00,Ⅱ,9.85,8.14,9.43,3.517,0.34,0.0803,1.514,352.1,18.9
