省份,城市,河流,流域,断面名称,监测时间,水质类别,水温,pH,溶解氧,高锰酸钾,氨氮,总磷,总氮,电导率,浊度
浙江省,杭州市,京杭运河,太湖流域,五杭运河大桥,2022/1/1 0:00,Ⅲ,9.59,8.18,9.83,3.62,0.29,0.18,3.61,463.68,271.82
浙江省,杭州市,京杭运河,太湖流域,顾家桥,2022/1/1 0:00,Ⅱ,10.9,7.388,9.621,3.39,0.1374,0.0732,2.5586,353.247,46.147
浙江省,杭州市,京杭运河,太湖流域,五杭运河大桥,2022/1/1 4:00,Ⅲ,9.39,8.15,9.68,3.37,0.29,0.17,3.5,466.31,239.7
浙江省,杭州市,京杭运河,太湖流域,顾家桥,2022/1/1 4:00,Ⅱ,10.59,7.458,9.779,3.44,0.1265,0.0721,2.6039,322.427,52.202
浙江省,杭州市,京杭运河,太湖流域,五杭运河大桥,2022/1/1 8:00,Ⅲ,9.53,8.16,9.81,3.36,0.29,0.16,2.26,470.7,233.02
浙江省,杭州市,京杭运河,太湖流域,顾家桥,2022/1/1 8:00,Ⅱ,10.56,7.453,10.211,3.24,0.1004,0.0779,2.557,310.787,88.888
浙江省,杭州市,京杭运河,太湖流域,五杭运河大桥,2022/1/1 12:00,Ⅲ,9.76,8.16,9.83,2.47,0.31,0.14,3.48,470.45,270.35
浙江省,杭州市,京杭运河,太湖流域,顾家桥,2022/1/1 12:00,Ⅱ,10.62,7.459,9.708,3.36,0.1351,0.0777,2.5493,316.747,66.76
浙江省,杭州市,京杭运河,太湖流域,五杭运河大桥,2022/1/1 16:00,Ⅲ,9.74,8.19,9.92,3.34,0.24,0.17,1.51,465.98,243.45
浙江省,杭州市,京杭运河,太湖流域,顾家桥,2022/1/1 16:00,Ⅱ,10.52,7.521,10.759,3.49,0.1132,0.072,2.5086,285.361,63.102
浙江省,杭州市,京杭运河,太湖流域,五杭运河大桥,2022/1/1 20:00,Ⅲ,9.68,8.21,9.99,3.51,0.28,0.17,2.97,461.55,313.67
浙江省,杭州市,京杭运河,太湖流域,顾家桥,2022/1/1 20:00,Ⅱ,10.42,7.513,10.697,3.34,0.1204,0.0757,2.3427,293.174,96.088
浙江省,杭州市,京杭运河,太湖流域,五杭运河大桥,2022/1/2 0:00,Ⅲ,9.47,8.19,9.9,3.34,0.34,0.17,3.4,456.81,272.68
浙江省,杭州市,京杭运河,太湖流域,顾家桥,2022/1/2 0:00,Ⅱ,10.33,7.505,9.869,3.14,0.1503,0.0854,2.2939,298.856,100.935
浙江省,杭州市,京杭运河,太湖流域,五杭运河大桥,2022/1/2 4:00,Ⅲ,9.09,8.18,9.85,3.06,0.32,0.17,3.57,459.86,220.05
浙江省,杭州市,京杭运河,太湖流域,顾家桥,2022/1/2 4:00,Ⅱ,10.12,7.504,10.404,2.82,0.1551,0.0917,2.3012,302.931,118.395
浙江省,杭州市,京杭运河,太湖流域,五杭运河大桥,2022/1/2 8:00,Ⅲ,9.04,8.15,9.82,3.09,0.27,0.16,2.29,459.51,208.66
浙江省,杭州市,京杭运河,太湖流域,顾家桥,2022/1/2 8:00,Ⅱ,10.06,7.498,9.677,2.83,0.0927,0.0916,2.3225,305.482,117.607
浙江省,杭州市,京杭运河,太湖流域,五杭运河大桥,2022/1/2 12:00,Ⅲ,10.1,8.15,9.56,3.49,0.25,0.17,2.51,459.65,252.43
浙江省,杭州市,京杭运河,太湖流域,顾家桥,2022/1/2 12:00,Ⅱ,10.69,7.509,9.532,2.68,0.1532,0.0973,2.3242,315.185,151.755
浙江省,杭州市,京杭运河,太湖流域,五杭运河大桥,2022/1/2 16:00,Ⅲ,9.99,8.17,9.54,3.55,0.28,0.17,3.25,463.04,277.7
浙江省,杭州市,京杭运河,太湖流域,五杭运河大桥,2022/1/2 20:00,Ⅲ,9.5,8.17,9.67,3.09,0.3,0.16,3.28,464.99,200.46
浙江省,杭州市,京杭运河,太湖流域,五杭运河大桥,2022/1/3 0:00,Ⅲ,9.26,8.16,9.68,2.81,0.26,0.16,3.29,463.8,181.01
浙江省,杭州市,京杭运河,太湖流域,顾家桥,2022/1/3 0:00,Ⅲ,10.24,7.455,9.492,2.74,0.1669,0.1229,2.289,347.329,183.528
浙江省,杭州市,京杭运河,太湖流域,五杭运河大桥,2022/1/3 4:00,Ⅲ,9.09,8.16,9.71,2.22,0.3,0.15,3.32,460.61,166.35
浙江省,杭州市,京杭运河,太湖流域,顾家桥,2022/1/3 4:00,Ⅲ,10.09,7.41,9.429,2.15,0.1554,0.1206,2.5138,357.185,190.181
浙江省,杭州市,京杭运河,太湖流域,五杭运河大桥,2022/1/3 8:00,Ⅲ,9.17,8.14,9.6,2.95,0.3,0.15,2.21,454.92,199.63
浙江省,杭州市,京杭运河,太湖流域,顾家桥,2022/1/3 8:00,Ⅲ,10.06,7.439,9.426,2.28,0.1599,0.1142,2.5994,377.026,175.015
浙江省,杭州市,京杭运河,太湖流域,五杭运河大桥,2022/1/3 12:00,Ⅲ,10.19,8.12,9.48,3.1,0.29,0.16,2.58,455.65,203.63
浙江省,杭州市,京杭运河,太湖流域,五杭运河大桥,2022/1/3 16:00,Ⅲ,10.33,8.14,10.01,3.22,0.28,0.16,3.66,448.36,237.36
浙江省,杭州市,京杭运河,太湖流域,顾家桥,2022/1/3 16:00,Ⅲ,10.51,7.593,9.124,4.88,0.1929,0.1228,2.5902,849.35,214.408
浙江省,杭州市,京杭运河,太湖流域,五杭运河大桥,2022/1/3 20:00,Ⅲ,9.82,8.16,9.66,2.9,0.28,0.16,3.06,445.04,181.92
浙江省,杭州市,京杭运河,太湖流域,顾家桥,2022/1/3 20:00,Ⅲ,9.98,7.615,9.065,4.88,0.2344,0.1224,2.5341,1108.333,182.532
浙江省,杭州市,京杭运河,太湖流域,五杭运河大桥,2022/1/4 0:00,Ⅲ,9.64,8.15,10.19,1.85,0.3,0.13,3.56,441.91,183.12
浙江省,杭州市,京杭运河,太湖流域,顾家桥,2022/1/4 0:00,Ⅲ,9.94,7.665,9.2,1.88,0.2594,0.1349,2.4174,1119.131,252.801
浙江省,杭州市,京杭运河,太湖流域,五杭运河大桥,2022/1/4 12:00,Ⅳ,10.68,8.2,8.61,5.05,0.24,0.21,2.81,462.97,323.85
浙江省,杭州市,京杭运河,太湖流域,顾家桥,2022/1/4 12:00,Ⅲ,10.28,7.691,9.175,2.36,0.4916,0.1468,2.2279,2837.386,260.021
浙江省,杭州市,京杭运河,太湖流域,五杭运河大桥,2022/1/4 16:00,Ⅲ,10.46,8.11,9.46,4.68,0.27,0.19,4.3,475.86,264.15
浙江省,杭州市,京杭运河,太湖流域,顾家桥,2022/1/4 16:00,Ⅲ,10.36,7.687,9.117,2.7,0.546,0.1443,2.2444,2985.818,277.096
浙江省,杭州市,京杭运河,太湖流域,五杭运河大桥,2022/1/4 20:00,Ⅲ,10.02,8.13,9.46,3.56,0.29,0.18,3.75,472.82,239.75
浙江省,杭州市,京杭运河,太湖流域,五杭运河大桥,2022/1/5 0:00,Ⅲ,9.98,8.14,9.52,3.93,0.3,0.19,4.56,468.05,318.99
浙江省,杭州市,京杭运河,太湖流域,顾家桥,2022/1/5 0:00,Ⅲ,10.2,7.711,9.094,2.81,0.4976,0.1324,2.4605,2830.366,199.699
浙江省,杭州市,京杭运河,太湖流域,五杭运河大桥,2022/1/5 4:00,Ⅲ,9.93,8.13,9.58,3.41,0.32,0.18,3.83,464.81,218.93
浙江省,杭州市,京杭运河,太湖流域,顾家桥,2022/1/5 4:00,Ⅲ,10.22,7.664,9.102,2.43,0.4423,0.1553,2.2397,2446.945,302.345
浙江省,杭州市,京杭运河,太湖流域,五杭运河大桥,2022/1/5 8:00,Ⅲ,9.96,8.12,9.48,3.41,0.32,0.18,3.83,468.64,200.78
浙江省,杭州市,京杭运河,太湖流域,五杭运河大桥,2022/1/5 12:00,Ⅲ,10.3,8.14,9.38,2.93,0.25,0.17,3.28,473.74,217.77
浙江省,杭州市,京杭运河,太湖流域,五杭运河大桥,2022/1/5 20:00,Ⅲ,9.81,8.15,9.62,3.19,0.28,0.16,3.25,482.15,215.56
浙江省,杭州市,京杭运河,太湖流域,五杭运河大桥,2022/1/6 0:00,Ⅲ,9.67,8.13,9.62,3.19,0.28,0.16,3.25,482.59,211.72
浙江省,杭州市,京杭运河,太湖流域,五杭运河大桥,2022/1/6 4:00,Ⅲ,9.74,8.13,10.15,2.63,0.32,0.15,3.64,475.69,201.98
浙江省,杭州市,京杭运河,太湖流域,顾家桥,2022/1/6 4:00,Ⅲ,10.26,7.719,9.292,3.04,0.5252,0.1333,2.4192,2701.886,233.794
浙江省,杭州市,京杭运河,太湖流域,五杭运河大桥,2022/1/6 8:00,Ⅲ,9.68,8.14,9.72,3.41,0.23,0.16,2.73,475.16,287.77
浙江省,杭州市,京杭运河,太湖流域,顾家桥,2022/1/6 8:00,Ⅲ,10.16,7.719,9.51,2.61,0.5147,0.1405,2.3102,2803.877,238.761
浙江省,杭州市,京杭运河,太湖流域,五杭运河大桥,2022/1/6 12:00,Ⅲ,10.13,8.13,9.65,2.64,0.26,0.14,3.02,478.14,316.94
浙江省,杭州市,京杭运河,太湖流域,五杭运河大桥,2022/1/6 16:00,Ⅲ,9.9,8.15,9.59,1.86,0.3,0.13,3.5,487.72,270.73
浙江省,杭州市,京杭运河,太湖流域,顾家桥,2022/1/6 16:00,Ⅲ,10.34,7.704,9.206,2.65,0.4684,0.1453,2.2171,2779.968,252.292
浙江省,杭州市,京杭运河,太湖流域,五杭运河大桥,2022/1/6 20:00,Ⅲ,9.65,8.14,9.61,3.25,0.27,0.16,4.12,488.17,217.75
浙江省,杭州市,京杭运河,太湖流域,顾家桥,2022/1/6 20:00,Ⅲ,10.23,7.778,9.29,2.39,0.3802,0.135,2.1375,2352.829,240.133
浙江省,杭州市,京杭运河,太湖流域,五杭运河大桥,2022/1/7 0:00,Ⅲ,9.46,8.15,9.59,3.25,0.27,0.16,4.12,487.91,207.79
浙江省,杭州市,京杭运河,太湖流域,顾家桥,2022/1/7 0:00,Ⅲ,10.2,7.727,9.374,2.39,0.3802,0.135,2.1375,2032.039,276.845
浙江省,杭州市,京杭运河,太湖流域,五杭运河大桥,2022/1/7 4:00,Ⅲ,9.2,8.15,9.75,2.17,0.28,0.12,4.18,485.21,222.86
