省份,城市,河流,流域,断面名称,监测时间,水质类别,水温,pH,溶解氧,高锰酸钾,氨氮,总磷,总氮,电导率,浊度
浙江省,杭州市,分水江,浙闽片河流,桐君山,2022/1/1 12:00,Ⅱ,10.81,7.82,11.672,1.62,0.1276,0.0682,1.099,242.8,24
浙江省,杭州市,分水江,浙闽片河流,桐君山,2022/1/1 16:00,Ⅱ,11.08,7.61,11.92,1.73,0.1057,0.0684,0.992,241.9,20.1
浙江省,杭州市,分水江,浙闽片河流,桐君山,2022/1/1 20:00,Ⅱ,11.34,7.99,11.826,2.1,0.0372,0.0526,1.445,294,30.3
浙江省,杭州市,分水江,浙闽片河流,桐君山,2022/1/2 0:00,Ⅱ,10.83,7.78,11.898,2.029,0.0786,0.0581,1.322,268,19.2
浙江省,杭州市,分水江,浙闽片河流,桐君山,2022/1/2 4:00,Ⅱ,10.42,8.06,12.104,1.784,0.0823,0.0657,1.078,256,15.5
浙江省,杭州市,分水江,浙闽片河流,桐君山,2022/1/2 8:00,Ⅱ,10.41,7.84,12.104,1.891,0.0717,0.063,1.795,269.2,19
浙江省,杭州市,分水江,浙闽片河流,桐君山,2022/1/2 12:00,Ⅱ,11.07,7.81,11.862,1.773,0.0839,0.0629,1.163,250.9,18.1
浙江省,杭州市,分水江,浙闽片河流,桐君山,2022/1/2 16:00,Ⅱ,11.59,7.94,11.787,1.843,0.0905,0.0735,1.033,247.2,22.5
浙江省,杭州市,分水江,浙闽片河流,桐君山,2022/1/2 20:00,Ⅱ,11.47,7.59,11.77,2.288,0.0314,0.0505,1.824,303.4,34.2
浙江省,杭州市,分水江,浙闽片河流,桐君山,2022/1/3 0:00,Ⅱ,11.07,7.75,11.834,1.86,0.0424,0.0518,1.464,293.6,24.2
浙江省,杭州市,分水江,浙闽片河流,桐君山,2022/1/3 4:00,Ⅱ,10.55,7.86,11.725,2.029,0.0553,0.0541,1.36,280.4,24.6
浙江省,杭州市,分水江,浙闽片河流,桐君山,2022/1/3 8:00,Ⅱ,10.81,8.26,11.957,2.17,0.0434,0.0531,2.207,306.8,25.3
浙江省,杭州市,分水江,浙闽片河流,桐君山,2022/1/3 12:00,Ⅱ,11.35,7.78,12.131,2.029,0.0533,0.0528,1.745,282.3,25.5
浙江省,杭州市,分水江,浙闽片河流,桐君山,2022/1/3 16:00,Ⅱ,11.98,7.78,11.94,2.023,0.0623,0.0547,1.27,275,25.7
浙江省,杭州市,分水江,浙闽片河流,桐君山,2022/1/3 20:00,Ⅱ,11.73,7.84,11.689,2.288,0.025,0.0449,1.595,302.9,31.3
