省份,城市,河流,流域,断面名称,监测时间,水质类别,水温,pH,溶解氧,高锰酸钾,氨氮,总磷,总氮,电导率,浊度
浙江省,杭州市,南苕溪,太湖流域,汪家埠,2022/1/1 0:00,Ⅱ,8.82,7.5,11.111,2.042,0.087,0.057,1.565,373.9,34.4
浙江省,杭州市,南苕溪,太湖流域,汪家埠,2022/1/1 4:00,Ⅱ,8.71,7.47,10.918,2.572,0.0984,0.0536,1.492,374.4,32.6
浙江省,杭州市,南苕溪,太湖流域,汪家埠,2022/1/1 8:00,Ⅱ,8.71,7.46,10.837,2.537,0.101,0.0537,2.036,375,30.3
浙江省,杭州市,南苕溪,太湖流域,汪家埠,2022/1/1 12:00,Ⅱ,8.71,7.46,10.773,2.772,0.1093,0.0572,1.897,376.2,26.4
浙江省,杭州市,南苕溪,太湖流域,汪家埠,2022/1/1 16:00,Ⅱ,8.92,7.44,10.726,2.485,0.1455,0.0555,1.561,376.8,23.5
浙江省,杭州市,南苕溪,太湖流域,汪家埠,2022/1/1 20:00,Ⅱ,8.81,7.45,10.663,2.624,0.1396,0.0542,1.559,376.7,29.4
浙江省,杭州市,南苕溪,太湖流域,汪家埠,2022/1/2 0:00,Ⅱ,8.6,7.43,10.469,2.511,0.1356,0.0547,1.488,377.5,27.5
浙江省,杭州市,南苕溪,太湖流域,汪家埠,2022/1/2 4:00,Ⅱ,8.39,7.42,10.356,2.233,0.1427,0.0576,1.632,378.8,25.7
浙江省,杭州市,南苕溪,太湖流域,汪家埠,2022/1/2 8:00,Ⅱ,8.18,7.4,10.221,1.79,0.1444,0.0545,2.065,379.4,21.8
浙江省,杭州市,南苕溪,太湖流域,汪家埠,2022/1/2 12:00,Ⅱ,8.71,7.38,10.275,2.407,0.1733,0.0551,1.7,385.1,20
浙江省,杭州市,南苕溪,太湖流域,汪家埠,2022/1/2 16:00,Ⅱ,9.14,7.37,10.437,2.745,0.1664,0.0539,1.451,389.2,17.1
浙江省,杭州市,南苕溪,太湖流域,汪家埠,2022/1/2 20:00,Ⅱ,8.5,7.38,10.12,2.363,0.1664,0.0554,1.905,407.9,16.7
浙江省,杭州市,南苕溪,太湖流域,汪家埠,2022/1/3 0:00,Ⅱ,8.6,7.24,9.823,2.537,0.1664,0.0545,1.841,414.3,16.4
浙江省,杭州市,南苕溪,太湖流域,汪家埠,2022/1/3 4:00,Ⅱ,8.29,7.19,9.543,2.997,0.1664,0.0656,1.928,426.6,15.9
浙江省,杭州市,南苕溪,太湖流域,汪家埠,2022/1/3 8:00,Ⅱ,7.87,7.11,9.28,1.955,0.3391,0.0637,2.738,442.9,16.2
浙江省,杭州市,南苕溪,太湖流域,汪家埠,2022/1/3 12:00,Ⅱ,8.39,7.1,9.234,2.893,0.3914,0.0685,2.467,450.9,15.3
浙江省,杭州市,南苕溪,太湖流域,汪家埠,2022/1/3 16:00,Ⅱ,9.14,7.09,9.104,1.964,0.4043,0.0679,2.377,452.9,14.8
浙江省,杭州市,南苕溪,太湖流域,汪家埠,2022/1/3 20:00,Ⅱ,9.15,7.08,9.583,2.685,0.4321,0.073,2.475,454.6,15.6
浙江省,杭州市,南苕溪,太湖流域,汪家埠,2022/1/4 0:00,Ⅱ,9.03,7.1,9.109,2.537,0.4681,0.0765,2.729,453.7,14.3
浙江省,杭州市,南苕溪,太湖流域,汪家埠,2022/1/4 8:00,Ⅱ,8.5,7.07,8.895,2.12,0.3892,0.0692,3.092,455.4,14.8
浙江省,杭州市,南苕溪,太湖流域,汪家埠,2022/1/4 12:00,Ⅱ,8.79,7.07,8.937,3.128,0.4049,0.0688,2.776,451.4,13
浙江省,杭州市,南苕溪,太湖流域,汪家埠,2022/1/4 16:00,Ⅱ,9.19,7.07,9.038,2.129,0.4332,0.0687,2.466,450.6,12.2
浙江省,杭州市,南苕溪,太湖流域,汪家埠,2022/1/4 20:00,Ⅱ,9.36,7.06,9.128,2.276,0.4463,0.0764,2.516,452.6,17.2
浙江省,杭州市,南苕溪,太湖流域,汪家埠,2022/1/5 0:00,Ⅱ,9.29,7.05,9,2.441,0.4254,0.0704,2.425,453.4,17
浙江省,杭州市,南苕溪,太湖流域,汪家埠,2022/1/5 4:00,Ⅱ,9.25,7.04,9.01,2.085,0.4334,0.0765,2.341,452.4,18.8
浙江省,杭州市,南苕溪,太湖流域,汪家埠,2022/1/5 8:00,Ⅱ,9.25,7.04,9.025,2.259,0.4343,0.0761,2.92,451.6,17.6
浙江省,杭州市,南苕溪,太湖流域,汪家埠,2022/1/5 12:00,Ⅱ,9.48,7.04,8.951,1.825,0.4406,0.0748,2.585,451.3,15.3
浙江省,杭州市,南苕溪,太湖流域,汪家埠,2022/1/5 16:00,Ⅱ,9.68,7.04,9.121,2.572,0.4291,0.0757,2.373,449.2,15.1
浙江省,杭州市,南苕溪,太湖流域,汪家埠,2022/1/5 20:00,Ⅱ,9.62,7.03,9.052,2.389,0.4179,0.0741,2.246,447.4,16.3
浙江省,杭州市,南苕溪,太湖流域,汪家埠,2022/1/6 0:00,Ⅱ,17.38,7.03,9.22,2.389,0.4179,0.0741,2.246,2,0.9
浙江省,杭州市,南苕溪,太湖流域,汪家埠,2022/1/6 4:00,Ⅱ,18.26,6.73,8.959,2.32,0.2762,0.0718,2.309,1.9,0.9
浙江省,杭州市,南苕溪,太湖流域,汪家埠,2022/1/6 16:00,Ⅱ,9.9,6.77,8.228,2.337,0.3896,0.0743,2.379,459.6,25.8
