省份,城市,河流,流域,断面名称,监测时间,水质类别,水温,pH,溶解氧,高锰酸钾,氨氮,总磷,总氮,电导率,浊度
浙江省,杭州市,富春江,浙闽片河流,桐庐,2022/1/1 0:00,Ⅱ,11.83,8.14,9.662,1.68,0.025,0.0453,1.866,290.9,7.4
浙江省,杭州市,富春江,浙闽片河流,桐庐,2022/1/1 4:00,Ⅱ,11.62,7.88,9.019,1.672,0.025,0.0352,1.73,286.9,6.8
浙江省,杭州市,富春江,浙闽片河流,桐庐,2022/1/1 8:00,Ⅱ,11.63,7.82,9.239,1.649,0.025,0.0502,1.769,290.4,8.5
浙江省,杭州市,富春江,浙闽片河流,桐庐,2022/1/1 12:00,Ⅱ,11.53,7.82,10.454,1.61,0.025,0.0377,1.863,291.2,16.1
浙江省,杭州市,富春江,浙闽片河流,桐庐,2022/1/1 16:00,Ⅱ,12.2,7.89,9.498,1.688,0.025,0.0403,1.94,287.7,7.4
浙江省,杭州市,富春江,浙闽片河流,桐庐,2022/1/1 20:00,Ⅱ,12.03,7.98,9.518,1.874,0.025,0.0476,1.871,291.7,15
浙江省,杭州市,富春江,浙闽片河流,桐庐,2022/1/2 0:00,Ⅱ,12.03,7.81,9.222,1.68,0.0283,0.0433,1.883,286.7,9.5
浙江省,杭州市,富春江,浙闽片河流,桐庐,2022/1/2 4:00,Ⅱ,11.73,7.76,8.799,1.688,0.025,0.0399,1.925,283.8,7.3
浙江省,杭州市,富春江,浙闽片河流,桐庐,2022/1/2 8:00,Ⅱ,11.63,7.73,8.928,1.587,0.0349,0.0406,2.016,287.4,8.4
浙江省,杭州市,富春江,浙闽片河流,桐庐,2022/1/2 12:00,Ⅱ,12.03,7.92,8.808,1.587,0.0308,0.0394,2.064,285.7,7.6
浙江省,杭州市,富春江,浙闽片河流,桐庐,2022/1/2 16:00,Ⅱ,12.43,7.98,9.278,1.61,0.025,0.0449,1.937,284.1,8.3
浙江省,杭州市,富春江,浙闽片河流,桐庐,2022/1/2 20:00,Ⅱ,12.13,8.05,9.108,1.796,0.025,0.0456,1.913,286.8,11.4
浙江省,杭州市,富春江,浙闽片河流,桐庐,2022/1/3 0:00,Ⅱ,11.83,7.82,9.309,1.742,0.0355,0.0418,1.844,284.1,9.7
浙江省,杭州市,富春江,浙闽片河流,桐庐,2022/1/3 4:00,Ⅱ,11.73,7.76,8.657,1.688,0.0324,0.04,1.769,282,7.9
浙江省,杭州市,富春江,浙闽片河流,桐庐,2022/1/3 8:00,Ⅱ,11.33,7.78,9.993,1.688,0.0324,0.04,1.769,284.3,17.9
浙江省,杭州市,富春江,浙闽片河流,桐庐,2022/1/3 12:00,Ⅱ,12.13,7.77,8.781,1.742,0.025,0.0405,2.065,282.6,11.4
浙江省,杭州市,富春江,浙闽片河流,桐庐,2022/1/3 16:00,Ⅱ,12.53,7.87,9.113,1.587,0.0444,0.0394,1.95,281.1,15.5
浙江省,杭州市,富春江,浙闽片河流,桐庐,2022/1/3 20:00,Ⅱ,12.03,7.77,8.565,1.533,0.0454,0.0386,2.004,270.9,14.4
浙江省,杭州市,富春江,浙闽片河流,桐庐,2022/1/4 0:00,Ⅱ,11.93,7.7,8.562,1.494,0.0506,0.0365,1.808,265.2,9
浙江省,杭州市,富春江,浙闽片河流,桐庐,2022/1/4 8:00,Ⅱ,11.63,7.68,8.633,1.595,0.073,0.037,2.134,267.8,13.5
浙江省,杭州市,富春江,浙闽片河流,桐庐,2022/1/4 12:00,Ⅱ,12.03,7.7,8.648,1.417,0.0759,0.0342,1.95,250.4,9.9
浙江省,杭州市,富春江,浙闽片河流,桐庐,2022/1/4 16:00,Ⅱ,12.23,7.76,8.879,1.363,0.0808,0.0338,1.877,249.6,14.1
浙江省,杭州市,富春江,浙闽片河流,桐庐,2022/1/4 20:00,Ⅱ,12.03,7.72,8.563,1.185,0.0688,0.0328,1.945,244.4,13.8
浙江省,杭州市,富春江,浙闽片河流,桐庐,2022/1/5 0:00,Ⅱ,11.93,7.67,8.477,1.339,0.0808,0.0309,1.719,240.6,9.3
浙江省,杭州市,富春江,浙闽片河流,桐庐,2022/1/5 4:00,Ⅱ,11.83,7.65,8.342,1.231,0.0815,0.0298,1.793,240.6,7.8
浙江省,杭州市,富春江,浙闽片河流,桐庐,2022/1/5 8:00,Ⅱ,11.81,7.63,8.438,1.146,0.0932,0.0315,2.005,240.8,9.6
浙江省,杭州市,富春江,浙闽片河流,桐庐,2022/1/5 12:00,Ⅱ,12.03,7.65,8.446,1.285,0.1046,0.0332,1.715,240.6,13.2
浙江省,杭州市,富春江,浙闽片河流,桐庐,2022/1/5 16:00,Ⅱ,12.12,7.67,8.47,1.417,0.0892,0.0338,1.766,243.5,15
