省份,城市,河流,流域,断面名称,监测时间,水质类别,水温,pH,溶解氧,高锰酸钾,氨氮,总磷,总氮,电导率,浊度
浙江省,杭州市,新安江,浙闽片河流,街口(鸠坑口),2022/1/1 0:00,Ⅰ,14.83,7.05,7.99,1.181,0.025,0.012,1.221,159.29,11.93
浙江省,杭州市,新安江,浙闽片河流,街口(鸠坑口),2022/1/1 4:00,Ⅰ,14.89,7.06,8.01,1.506,0.025,0.012,1.263,158.6,11.79
浙江省,杭州市,新安江,浙闽片河流,街口(鸠坑口),2022/1/1 8:00,Ⅰ,14.88,7.03,7.9,1.402,0.025,0.012,1.11,158.21,11.61
浙江省,杭州市,新安江,浙闽片河流,洋溪渡,2022/1/1 12:00,Ⅰ,13.95,8.45,12.75,1,0.025,0.01,1.05,131.99,4.58
浙江省,杭州市,新安江,浙闽片河流,街口(鸠坑口),2022/1/1 12:00,Ⅰ,15.13,7.08,8.07,1.309,0.025,0.012,1.082,158.07,11.91
浙江省,杭州市,新安江,浙闽片河流,洋溪渡,2022/1/1 16:00,Ⅰ,13.93,8.51,12.98,1.02,0.025,0.01,0.97,132.39,4.92
浙江省,杭州市,新安江,浙闽片河流,街口(鸠坑口),2022/1/1 16:00,Ⅰ,15.2,7.09,8.05,1.251,0.025,0.012,1.179,158.65,11.88
浙江省,杭州市,新安江,浙闽片河流,洋溪渡,2022/1/1 20:00,Ⅰ,13.8,8.47,12.55,1.13,0.025,0.01,1.07,132.93,5.16
浙江省,杭州市,新安江,浙闽片河流,街口(鸠坑口),2022/1/1 20:00,Ⅰ,14.89,7.05,7.84,1.239,0.025,0.016,1.228,160.28,11.87
浙江省,杭州市,新安江,浙闽片河流,洋溪渡,2022/1/2 0:00,Ⅰ,13.85,8.42,12.5,0.94,0.025,0.01,1.03,128.56,5.15
浙江省,杭州市,新安江,浙闽片河流,街口(鸠坑口),2022/1/2 0:00,Ⅰ,14.76,7.07,7.88,1.158,0.025,0.012,1.137,158.79,11.71
浙江省,杭州市,新安江,浙闽片河流,洋溪渡,2022/1/2 4:00,Ⅰ,13.81,8.43,12.5,1.01,0.025,0.01,1.03,127.62,4.81
浙江省,杭州市,新安江,浙闽片河流,街口(鸠坑口),2022/1/2 4:00,Ⅰ,14.68,7.05,7.94,1.181,0.025,0.014,1.11,157.51,12.17
浙江省,杭州市,新安江,浙闽片河流,洋溪渡,2022/1/2 8:00,Ⅰ,13.75,8.42,12.61,1.04,0.025,0.01,1.09,127.6,4.85
浙江省,杭州市,新安江,浙闽片河流,街口(鸠坑口),2022/1/2 8:00,Ⅰ,14.57,7.06,7.94,1.32,0.025,0.012,1.075,158.5,12.06
浙江省,杭州市,新安江,浙闽片河流,洋溪渡,2022/1/2 12:00,Ⅰ,14.35,8.62,13.23,0.92,0.025,0.01,1.06,127.81,4.91
浙江省,杭州市,新安江,浙闽片河流,街口(鸠坑口),2022/1/2 12:00,Ⅰ,15.25,7.09,8.2,1.32,0.025,0.012,1.221,158.63,11.84
浙江省,杭州市,新安江,浙闽片河流,洋溪渡,2022/1/2 16:00,Ⅰ,14.56,8.66,13.36,1.1,0.025,0.01,1.04,128.24,4.72
浙江省,杭州市,新安江,浙闽片河流,街口(鸠坑口),2022/1/2 16:00,Ⅰ,15.32,7.13,8.17,1.216,0.025,0.011,1.137,158.09,11.75
浙江省,杭州市,新安江,浙闽片河流,洋溪渡,2022/1/2 20:00,Ⅰ,14.06,8.47,12.6,0.89,0.025,0.01,1.07,124.75,5.27
浙江省,杭州市,新安江,浙闽片河流,街口(鸠坑口),2022/1/2 20:00,Ⅰ,14.8,7.07,7.94,1.077,0.025,0.012,1.082,157.99,11.67
浙江省,杭州市,新安江,浙闽片河流,洋溪渡,2022/1/3 0:00,Ⅰ,14.05,8.45,12.39,0.88,0.025,0.01,1.11,127.36,5.22
浙江省,杭州市,新安江,浙闽片河流,街口(鸠坑口),2022/1/3 0:00,Ⅰ,14.68,7.05,7.91,1.402,0.025,0.012,1.068,157.58,12.05
浙江省,杭州市,新安江,浙闽片河流,洋溪渡,2022/1/3 4:00,Ⅰ,13.96,8.4,12.24,0.92,0.025,0.01,10.36,125.6,4.95
浙江省,杭州市,新安江,浙闽片河流,街口(鸠坑口),2022/1/3 4:00,Ⅰ,14.63,7.05,7.94,1.471,0.025,0.012,1.012,157.38,11.89
浙江省,杭州市,新安江,浙闽片河流,洋溪渡,2022/1/3 8:00,Ⅰ,13.93,8.39,12.25,0.93,0.025,0.01,9.21,124.76,4.94
浙江省,杭州市,新安江,浙闽片河流,街口(鸠坑口),2022/1/3 8:00,Ⅰ,14.61,7.04,7.93,1.239,0.025,0.012,1.117,158.07,11.73
浙江省,杭州市,新安江,浙闽片河流,洋溪渡,2022/1/3 12:00,Ⅰ,14.64,8.36,12.12,0.89,0.025,0.01,3.29,123.84,4.86
浙江省,杭州市,新安江,浙闽片河流,街口(鸠坑口),2022/1/3 12:00,Ⅰ,15.04,7.07,8.18,1.39,0.025,0.014,1.151,157.72,12.18
浙江省,杭州市,新安江,浙闽片河流,洋溪渡,2022/1/3 16:00,Ⅰ,14.67,8.37,12.07,0.92,0.025,0.01,1.69,123.36,5.47
浙江省,杭州市,新安江,浙闽片河流,街口(鸠坑口),2022/1/3 16:00,Ⅰ,15.64,7.17,8.44,1.251,0.025,0.011,1.103,156.56,11.99
浙江省,杭州市,新安江,浙闽片河流,街口(鸠坑口),2022/1/3 20:00,Ⅰ,14.82,7.07,8.02,1.564,0.025,0.013,1.068,157.61,11.98
浙江省,杭州市,新安江,浙闽片河流,街口(鸠坑口),2022/1/4 0:00,Ⅰ,14.67,7.06,8.04,1.274,0.025,0.012,1.179,157.54,11.86
浙江省,杭州市,新安江,浙闽片河流,洋溪渡,2022/1/4 8:00,Ⅰ,14.79,8.19,10.89,0.82,0.025,0.01,1.54,119.21,4.48
浙江省,杭州市,新安江,浙闽片河流,街口(鸠坑口),2022/1/4 8:00,Ⅰ,14.69,7.05,8.1,1.448,0.025,0.011,1.186,156.5,12.13
浙江省,杭州市,新安江,浙闽片河流,洋溪渡,2022/1/4 12:00,Ⅰ,14.79,8.21,11.16,0.95,0.025,0.01,0.9,119.72,4.92
浙江省,杭州市,新安江,浙闽片河流,街口(鸠坑口),2022/1/4 12:00,Ⅰ,14.97,7.1,8.27,1.367,0.025,0.011,1.089,156.37,11.87
浙江省,杭州市,新安江,浙闽片河流,洋溪渡,2022/1/4 16:00,Ⅰ,14.78,8.24,11.25,0.51,0.025,0.01,0.95,120.42,5.09
浙江省,杭州市,新安江,浙闽片河流,街口(鸠坑口),2022/1/4 16:00,Ⅰ,15.01,7.1,8.14,1.089,0.025,0.016,1.033,157.97,11.95
浙江省,杭州市,新安江,浙闽片河流,洋溪渡,2022/1/4 20:00,Ⅰ,14.97,8.19,10.95,0.58,0.025,0.01,1,119.81,5.16
浙江省,杭州市,新安江,浙闽片河流,街口(鸠坑口),2022/1/4 20:00,Ⅰ,14.89,7.06,8.02,1.008,0.025,0.01,1.04,157.08,11.74
浙江省,杭州市,新安江,浙闽片河流,洋溪渡,2022/1/5 0:00,Ⅰ,14.82,8.15,10.54,0.46,0.025,0.01,0.97,120.06,4.95
浙江省,杭州市,新安江,浙闽片河流,街口(鸠坑口),2022/1/5 0:00,Ⅰ,14.74,7.04,8,1.135,0.025,0.012,1.137,157.13,11.66
