省份,城市,河流,流域,断面名称,监测时间,水质类别,水温,pH,溶解氧,高锰酸钾,氨氮,总磷,总氮,电导率,浊度
浙江省,杭州市,钱塘江,浙闽片河流,闸口,2022/1/1 0:00,Ⅱ,12.46,7.58,9.663,1.02,0.1,0.0689,2.299,314.3,12.2
浙江省,杭州市,钱塘江,浙闽片河流,闸口,2022/1/1 4:00,Ⅱ,12.08,7.55,9.851,1.459,0.1,0.046,2.261,323.8,11.5
浙江省,杭州市,钱塘江,浙闽片河流,闸口,2022/1/1 8:00,Ⅱ,12.33,7.56,9.675,1.042,0.11,0.034,2.169,313,11.1
浙江省,杭州市,钱塘江,浙闽片河流,闸口,2022/1/1 12:00,Ⅱ,12.4,7.56,9.672,0.876,0.1,0.034,2.159,310.5,10.8
浙江省,杭州市,钱塘江,浙闽片河流,闸口,2022/1/1 16:00,Ⅱ,11.83,7.67,9.888,1.22,0.11,0.0466,2.497,334.5,11.8
浙江省,杭州市,钱塘江,浙闽片河流,闸口,2022/1/1 20:00,Ⅱ,12.19,7.64,9.686,1.47,0.11,0.045,2.231,320.4,11.3
浙江省,杭州市,钱塘江,浙闽片河流,闸口,2022/1/2 0:00,Ⅱ,12.03,7.61,9.855,1.064,0.1,0.0373,2.15,323.2,12.3
浙江省,杭州市,钱塘江,浙闽片河流,闸口,2022/1/2 4:00,Ⅱ,11.43,7.72,10.183,1.298,0.1,0.038,2.38,346.7,13.8
浙江省,杭州市,钱塘江,浙闽片河流,闸口,2022/1/2 8:00,Ⅱ,12.16,7.57,9.752,0.992,0.11,0.0476,1.986,312.5,13.2
浙江省,杭州市,钱塘江,浙闽片河流,闸口,2022/1/2 12:00,Ⅱ,12.24,7.57,9.751,1.131,0.11,0.0637,2.353,310.3,11.2
浙江省,杭州市,钱塘江,浙闽片河流,闸口,2022/1/2 16:00,Ⅱ,11.16,7.65,10.318,1.464,0.11,0.0477,2.555,352.5,20.5
浙江省,杭州市,钱塘江,浙闽片河流,闸口,2022/1/2 20:00,Ⅱ,11.95,7.62,9.851,1.481,0.11,0.0464,2.758,328.6,17.9
浙江省,杭州市,钱塘江,浙闽片河流,闸口,2022/1/3 0:00,Ⅱ,11.8,7.66,9.991,1.242,0.1,0.0413,2.328,330.7,30.9
浙江省,杭州市,钱塘江,浙闽片河流,闸口,2022/1/3 4:00,Ⅱ,11.2,7.71,10.326,1.525,0.1,0.0458,3.026,350.9,52.1
浙江省,杭州市,钱塘江,浙闽片河流,闸口,2022/1/3 8:00,Ⅱ,11.82,7.64,9.848,1.026,0.11,0.0387,2.288,328.3,25.5
浙江省,杭州市,钱塘江,浙闽片河流,闸口,2022/1/3 12:00,Ⅱ,11.73,7.69,10.044,1.286,0.1,0.066,2.596,333.1,32
浙江省,杭州市,钱塘江,浙闽片河流,闸口,2022/1/3 16:00,Ⅱ,11.35,7.76,10.26,1.947,0.11,0.0829,2.557,348,75.9
浙江省,杭州市,钱塘江,浙闽片河流,闸口,2022/1/3 20:00,Ⅱ,11.75,7.67,9.96,1.281,0.11,0.0764,2.604,334.2,46.1
浙江省,杭州市,钱塘江,浙闽片河流,闸口,2022/1/4 0:00,Ⅱ,11.49,7.71,10.159,1.592,0.11,0.0712,2.417,348.2,72.8
浙江省,杭州市,钱塘江,浙闽片河流,闸口,2022/1/4 8:00,Ⅱ,11.83,7.68,9.911,1.364,0.11,0.0276,2.652,329.9,42.1
浙江省,杭州市,钱塘江,浙闽片河流,闸口,2022/1/4 12:00,Ⅱ,11.66,7.7,10.069,1.314,0.11,0.073,2.179,338.5,46.6
浙江省,杭州市,钱塘江,浙闽片河流,闸口,2022/1/4 16:00,Ⅱ,11.53,7.75,10.203,2.308,0.11,0.079,2.959,344.4,153.2
浙江省,杭州市,钱塘江,浙闽片河流,闸口,2022/1/4 20:00,Ⅱ,11.18,7.81,10.253,1.636,0.1,0.0838,2.538,502.6,688.6
浙江省,杭州市,钱塘江,浙闽片河流,闸口,2022/1/5 0:00,Ⅱ,10.68,7.79,10.617,1.131,0.1,0.0808,2.744,427,354.5
浙江省,杭州市,钱塘江,浙闽片河流,闸口,2022/1/5 4:00,Ⅱ,10.69,7.81,10.575,1.397,0.1,0.0456,2.225,416,294.5
浙江省,杭州市,钱塘江,浙闽片河流,闸口,2022/1/5 8:00,Ⅱ,10.81,7.78,10.509,1.397,0.1,0.0456,2.225,411.3,254.7
浙江省,杭州市,钱塘江,浙闽片河流,闸口,2022/1/5 12:00,Ⅱ,10.89,7.79,10.444,1.397,0.1,0.0456,2.225,412.7,230.9
浙江省,杭州市,钱塘江,浙闽片河流,闸口,2022/1/5 16:00,Ⅱ,11.02,7.77,10.355,3.107,0.12,0.0102,0.882,411.2,214
浙江省,杭州市,钱塘江,浙闽片河流,闸口,2022/1/5 20:00,Ⅱ,11.07,7.76,10.357,2.618,0.11,0.0655,2.174,389.6,186.5
浙江省,杭州市,钱塘江,浙闽片河流,闸口,2022/1/6 0:00,Ⅱ,10.8,7.76,10.618,2.618,0.11,0.0655,2.174,352.2,160.5
浙江省,杭州市,钱塘江,浙闽片河流,闸口,2022/1/6 4:00,Ⅱ,10.89,7.75,10.721,2.102,0.1,0.0685,2.641,338.8,79.5
浙江省,杭州市,钱塘江,浙闽片河流,闸口,2022/1/6 8:00,Ⅱ,10.92,7.75,10.666,1.575,0.1,0.0682,2.699,339.2,72.3
浙江省,杭州市,钱塘江,浙闽片河流,闸口,2022/1/6 12:00,Ⅱ,10.96,7.73,10.602,1.897,0.1,0.0757,2.617,339.3,64.1
浙江省,杭州市,钱塘江,浙闽片河流,闸口,2022/1/6 20:00,Ⅱ,10.98,7.71,10.462,1.597,0.1,0.0802,2.816,333.7,70.2
浙江省,杭州市,钱塘江,浙闽片河流,闸口,2022/1/7 0:00,Ⅱ,10.96,7.74,10.541,1.597,0.1,0.0802,2.816,338.7,103.9
浙江省,杭州市,钱塘江,浙闽片河流,闸口,2022/1/7 4:00,Ⅱ,11.07,7.71,10.428,1.875,0.09,0.0673,2.581,334.1,61.5
浙江省,杭州市,钱塘江,浙闽片河流,闸口,2022/1/7 8:00,Ⅱ,11.14,7.71,10.335,1.875,0.09,0.0673,2.581,329.8,52.8
浙江省,杭州市,钱塘江,浙闽片河流,闸口,2022/1/7 12:00,Ⅱ,11.15,7.71,10.386,1.93,0.07,0.0779,2.61,328.8,50.1
浙江省,杭州市,钱塘江,浙闽片河流,闸口,2022/1/7 16:00,Ⅱ,11.2,7.67,10.299,1.991,0.1,0.0809,2.678,328.9,38.6
浙江省,杭州市,钱塘江,浙闽片河流,闸口,2022/1/7 20:00,Ⅱ,11.24,7.65,10.238,2.152,0.1,0.0682,2.344,329.5,47.6
浙江省,杭州市,钱塘江,浙闽片河流,闸口,2022/1/8 0:00,Ⅱ,11.26,7.66,10.271,1.636,0.09,0.0743,2.8,326.7,40.8
浙江省,杭州市,钱塘江,浙闽片河流,闸口,2022/1/8 4:00,Ⅱ,11.28,7.58,10.175,2.141,0.09,0.0746,2.798,327,32.7
浙江省,杭州市,钱塘江,浙闽片河流,闸口,2022/1/8 12:00,Ⅱ,11.5,7.58,10.096,1.658,0.1,0.0741,3.259,320.5,34.7
浙江省,杭州市,钱塘江,浙闽片河流,闸口,2022/1/8 16:00,Ⅱ,11.47,7.58,10.148,1.78,0.1,0.0706,2.259,319.3,29.5
浙江省,杭州市,钱塘江,浙闽片河流,闸口,2022/1/8 20:00,Ⅱ,11.06,7.49,10.154,2.18,0.13,0.0755,2.912,333,26.3
浙江省,杭州市,钱塘江,浙闽片河流,闸口,2022/1/9 0:00,Ⅱ,11.01,7.5,10.252,1.847,0.12,0.0723,2.463,329.3,23.4
